block,block_id,calc_type,date,district,district_id,division,domain,indicator,indicator_id,perc_point,type,year
Gilaula,LNX0N5jnA5h,p,2019-04-01,Shrawasti,oyTwneTbWDx,Gonda Division,JSY,% JSY Incentive,indicator_36,0.3543340380549683,JSY,2020.0
Mathura Chaumuha,sbVBq9HPEgp,p,2019-04-01,Mathura,KP2BUB1npih,Agra Division,JSY,% JSY Incentive,indicator_36,0.3033333333333333,JSY,2020.0
Sidhpura,DCamfBCJMSi,p,2019-04-01,Kasganj,hITp09XOBLZ,Alligarh Division,JSY,% JSY Incentive,indicator_36,0.38083708059494986,JSY,2020.0
Dudhi,vqGMYi6W3ep,p,2019-04-01,Sonbhadra,NNk3JP90QZ5,Mirzapur Division,JSY,% JSY Incentive,indicator_36,0.14600231749710313,JSY,2020.0
Mauranipur,cmHMhMayFWq,p,2019-04-01,Jhansi,Mq751wBMqGF,Jhansi Division,JSY,% JSY Incentive,indicator_36,0.4516221648004594,JSY,2020.0
Dobhi,OTeT1SgY1F7,p,2019-04-01,Jaunpur,gmw76vAUMqz,Varanasi Division,JSY,% JSY Incentive,indicator_36,0.3746822572445348,JSY,2020.0
Hamirpur Sumerpur,q73Py9jt80A,p,2019-04-01,Hamirpur,VSI7HobT5qL,Chitrakoot Division,JSY,% JSY Incentive,indicator_36,0.0,JSY,2020.0
Prayagraj DHQ,engUwg3VX3b,p,2019-04-01,Prayagraj,tXgaew1Pd2Y,Prayagraj Division,JSY,% JSY Incentive,indicator_36,0.17382233446799167,JSY,2020.0
Amaria,uIkxxtBPd1K,p,2019-04-01,Pilibhit,c96jwckSd6j,Bareilly Division,JSY,% JSY Incentive,indicator_36,0.4062292909211399,JSY,2020.0
C S M Nagar Gauriganj,WM5EPg47DVT,p,2019-04-01,Amethi,StsLkYw1G0m,Ayodhya Division,JSY,% JSY Incentive,indicator_36,0.3549663632766126,JSY,2020.0
