block,block_id,calc_type,date,district,district_id,division,domain,indicator,indicator_id,perc_point,quarter,type,year
Kanpur Dehat Akberpur,XyAwdfjaKov,p,2019-10-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,JSY,% JSY Incentive,indicator_36,1.4945848375451265,3,JSY,2020
Unnav Bichhiya,EVsunDfk1Xx,p,2019-10-01,Unnav,aT03mfdlNiF,Lucknow Division,JSY,% JSY Incentive,indicator_36,0.9230769230769232,3,JSY,2020
Pahadi,y74T9TfUPuz,p,2019-10-01,Mirzapur,UAicdMLyuk4,Mirzapur Division,JSY,% JSY Incentive,indicator_36,0.3884297520661157,3,JSY,2020
Paniyara,k0SXa6DYHlU,p,2019-10-01,Maharajganj,AcnMkNGgc3S,Gorakhpur Division,JSY,% JSY Incentive,indicator_36,0.7572815533980582,3,JSY,2020
Maunathbhanjan Badraon,DlJoJFtt9AE,p,2019-10-01,Maunathbhanjan,CBSB9v92AwT,Azamgarh Division,JSY,% JSY Incentive,indicator_36,0.0,3,JSY,2020
Charkhari,voVPLJSfahW,p,2019-10-01,Mahoba,sUQMxIc3yXj,Chitrakoot Division,JSY,% JSY Incentive,indicator_36,0.8992248062015504,3,JSY,2020
Hariharpur Rani,miFaxMESSJ2,p,2019-10-01,Shrawasti,oyTwneTbWDx,Gonda Division,JSY,% JSY Incentive,indicator_36,0.5636363636363636,3,JSY,2020
Dhnipur,DeIlv8osqJa,p,2019-10-01,Aligarh,frD2HOp3wAs,Alligarh Division,JSY,% JSY Incentive,indicator_36,0.0,3,JSY,2020
Trivadi Ganj,gDpxx6NrC99,p,2019-10-01,Barabanki,tzH6nJu9SwS,Ayodhya Division,JSY,% JSY Incentive,indicator_36,0.7368421052631579,3,JSY,2020
Kurebhar,wzWcav8jSNr,p,2019-10-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,JSY,% JSY Incentive,indicator_36,1.2125748502994012,3,JSY,2020
Myoerpur,Gbo5ncDmsIv,p,2019-10-01,Sonbhadra,NNk3JP90QZ5,Mirzapur Division,JSY,% JSY Incentive,indicator_36,0.3770491803278688,3,JSY,2020
Bhanwapur,pWd385fXS6s,p,2019-10-01,Siddharth Nagar,cP0p8qfm3il,Basti Division,JSY,% JSY Incentive,indicator_36,0.8075471698113208,3,JSY,2020
Dharora,gEphd9O9pPr,p,2019-10-01,Lakhimpur Kheri,d9ZuMopgX29,Lucknow Division,JSY,% JSY Incentive,indicator_36,0.2891246684350133,3,JSY,2020
Niyamtabad,FyHWyWYiq51,p,2019-10-01,Chandauli,ClbehnmwSec,Varanasi Division,JSY,% JSY Incentive,indicator_36,0.0,3,JSY,2020
Sikrara,pb5hWAn45Rk,p,2019-10-01,Jaunpur,gmw76vAUMqz,Varanasi Division,JSY,% JSY Incentive,indicator_36,1.0438144329896908,3,JSY,2020
Khuniywa,WhN8Tp15uxY,p,2019-10-01,Siddharth Nagar,cP0p8qfm3il,Basti Division,JSY,% JSY Incentive,indicator_36,1.3426724137931034,3,JSY,2020
Gangeshwari,bkkdTIrC9mc,p,2019-10-01,Amroha,hgquAmZaNBu,Moradabad Division,JSY,% JSY Incentive,indicator_36,1.4852173913043478,3,JSY,2020
Handia,Qk15i4lxQ0C,p,2019-10-01,Prayagraj,tXgaew1Pd2Y,Prayagraj Division,JSY,% JSY Incentive,indicator_36,0.8978622327790974,3,JSY,2020
