block,block_id,calc_type,date,district,district_id,division,domain,indicator,indicator_id,perc_point,quarter,type,year
Bhiti,RiDtZZsck6S,p,2019-04-01,Ambedkar Nagar,jM27ji8tyrM,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,71.8550368550367,,coverage,2020
Bhiti,RiDtZZsck6S,p,2019-04-01,Ambedkar Nagar,jM27ji8tyrM,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,32.3718624762708,,coverage,2020
Katehari,UKkd5HV5vPT,p,2019-04-01,Ambedkar Nagar,jM27ji8tyrM,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,48.280475718533204,,coverage,2020
Katehari,UKkd5HV5vPT,p,2019-04-01,Ambedkar Nagar,jM27ji8tyrM,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,26.1145142079292,,coverage,2020
Tanda,c228prMIirC,p,2019-04-01,Ambedkar Nagar,jM27ji8tyrM,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,89.82313013966841,,coverage,2020
Tanda,c228prMIirC,p,2019-04-01,Ambedkar Nagar,jM27ji8tyrM,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,20.6339069642377,,coverage,2020
Ambedkar Nagar  DHQ,dgOT0Nq7Zja,p,2019-04-01,Ambedkar Nagar,jM27ji8tyrM,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,48.0226619853175,,coverage,2020
Ambedkar Nagar  DHQ,dgOT0Nq7Zja,p,2019-04-01,Ambedkar Nagar,jM27ji8tyrM,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,50.4685958566261,,coverage,2020
Jahangir Ganj,oB6hTaKvzgv,p,2019-04-01,Ambedkar Nagar,jM27ji8tyrM,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,98.0298935990542,,coverage,2020
Jahangir Ganj,oB6hTaKvzgv,p,2019-04-01,Ambedkar Nagar,jM27ji8tyrM,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,26.695947121238298,,coverage,2020
Jalapur,zvRpdDBNAj1,p,2019-04-01,Ambedkar Nagar,jM27ji8tyrM,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,83.289458425142,,coverage,2020
Jalapur,zvRpdDBNAj1,p,2019-04-01,Ambedkar Nagar,jM27ji8tyrM,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,18.3341297336041,,coverage,2020
Dostpur,AGFzimgfzIo,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,52.31334062329129,,coverage,2020
Dostpur,AGFzimgfzIo,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,68.6139264264264,,coverage,2020
Jaisinghpur,BKeRkKcuOgW,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,54.3901232153333,,coverage,2020
Jaisinghpur,BKeRkKcuOgW,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,49.09683051302711,,coverage,2020
Dubeypur,C2FFe2TBScZ,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,22.429044647143503,,coverage,2020
Dubeypur,C2FFe2TBScZ,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,40.1708697324322,,coverage,2020
Sultanpur,ES7nfQzse06,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,0.0,,coverage,2020
Sultanpur,ES7nfQzse06,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,0.0,,coverage,2020
Sultanpur DHQ,L7J6pfX9JCH,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,15.8999999999998,,coverage,2020
