,index,date,district_id,indicator_id,perc_point,district,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type
117,26,202503,c96jwckSd6j,indicator_2,65.61990544960744,Pilibhit,151,Bareilly Division,150,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
118,7,202503,GaiLSoQq1ue,indicator_2,55.91583659400554,Shahjahanpur,152,Bareilly Division,150,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
119,17,202503,oNDvGBE5fLq,indicator_2,53.56091782391943,Ballia,193,Azamgarh Division,193,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
120,8,202503,CBSB9v92AwT,indicator_2,77.99125951309975,Maunathbhanjan,192,Azamgarh Division,193,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
121,57,202503,frD2HOp3wAs,indicator_2,80.18729699009286,Aligarh,143,Alligarh Division,201,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
122,36,202503,ZLcx4iOVyN5,indicator_2,61.91265400118946,Etah,201,Alligarh Division,201,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
123,64,202503,m1IAjmqkoFC,indicator_2,81.77837578823528,Hathras,144,Alligarh Division,201,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
124,69,202503,hITp09XOBLZ,indicator_2,67.92056142576364,Kasganj,202,Alligarh Division,201,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
125,0,202503,HJIS3IrQ0Nj,indicator_2,72.59891567176295,Bagpat,139,Meerut Division,140,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
126,24,202503,ogBt4gWCiem,indicator_2,66.04006416206907,Bulandshahar,142,Meerut Division,140,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
127,39,202503,bNmwkrQeP3e,indicator_2,94.7401400227621,Gautam Buddha Nagar,141,Meerut Division,140,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
128,5,202503,M5NHlfAaKYI,indicator_2,66.01418271799088,Ghaziabad,140,Meerut Division,140,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
129,52,202503,CZ8kLjgqvSH,indicator_2,75.07795457483262,Hapur,204,Meerut Division,140,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
130,19,202503,v8YGmR7nOdj,indicator_2,77.31244078102384,Meerut,138,Meerut Division,140,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
131,73,202503,MTIkUw5q5pX,indicator_2,57.01927073191172,Hardoi,155,Lucknow Division,155,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
132,47,202503,d9ZuMopgX29,indicator_2,69.55082728209821,Lakhimpur Kheri,153,Lucknow Division,155,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
133,48,202503,StsLkYw1G0m,indicator_2,62.408582098241915,Amethi,206,Ayodhya Division,176,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
134,2,202503,MfHac5N78aK,indicator_2,90.8737772145904,Lucknow,157,Lucknow Division,155,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
135,16,202503,lLvTDpBDY8u,indicator_2,59.3658476058549,Rae Bareli,158,Lucknow Division,155,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
136,50,202503,XxaOowFtkiJ,indicator_2,67.52508645251211,Sitapur,154,Lucknow Division,155,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
137,63,202503,aT03mfdlNiF,indicator_2,59.5196663994924,Unnav,156,Lucknow Division,155,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
138,42,202503,ibLiLcaKzw2,indicator_2,64.4429113921372,Fatehpur,172,Prayagraj Division,172,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
139,51,202503,jM27ji8tyrM,indicator_2,74.9012734794863,Ambedkar Nagar,178,Ayodhya Division,176,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
140,32,202503,b4XkXzoGqFY,indicator_2,65.83722096291909,Ayodhya,177,Ayodhya Division,176,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
141,3,202503,tzH6nJu9SwS,indicator_2,58.2646317145589,Barabanki,176,Ayodhya Division,176,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
142,43,202503,o4ZQTVcMI7U,indicator_2,68.49495851207482,Sultanpur,179,Ayodhya Division,176,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
143,67,202503,PAj0oVY0Dxu,indicator_2,71.98782654157749,Kaushambi,174,Prayagraj Division,172,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
144,40,202503,fz7bJo3egPX,indicator_2,65.03663468846081,Pratapgarh,173,Prayagraj Division,172,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
145,45,202503,tXgaew1Pd2Y,indicator_2,69.3292525241894,Prayagraj,175,Prayagraj Division,172,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
