,block_id,perc_point,date,indicator_id,uid_district,district,block,0,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type,indicator_index,type_index,domain_index
33,F1Ddi7jawvX,90.60141543615377,202503,indicator_7,ClbehnmwSec,Chandauli,Dhanapur,45,765.0,Varanasi Division,195,coverage,immunization,indicator_7,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",p,0.9030287693195229,0.6462442305317191,0.5456332756346648
34,F1Ddi7jawvX,0.9498814229249012,202503,indicator_6,ClbehnmwSec,Chandauli,Dhanapur,45,765.0,Varanasi Division,195,quality,immunization,indicator_6,Ratio of Pentavalent 3 to BCG,p,0.1882377819498067,0.7195152482714371,0.5456332756346648
35,F1Ddi7jawvX,99.1888326424053,202503,indicator_10,ClbehnmwSec,Chandauli,Dhanapur,45,765.0,Varanasi Division,195,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p,0.9904380715109133,0.6462442305317191,0.9904380715109133
36,F1Ddi7jawvX,5.354186202541661,202503,indicator_8,ClbehnmwSec,Chandauli,Dhanapur,45,765.0,Varanasi Division,195,coverage,family_planning,indicator_8,Permanent Method accepted per 1000 EC,p,0.028979230409631736,0.6462442305317191,0.07761525774999015
37,F1Ddi7jawvX,64.47969955346599,202503,indicator_9,ClbehnmwSec,Chandauli,Dhanapur,45,765.0,Varanasi Division,195,coverage,family_planning,indicator_9,Reversible Method accepted per 1000 EC,p,0.12625128509034855,0.6462442305317191,0.07761525774999015
38,F1Ddi7jawvX,4802.931003094847,202503,indicator_11,ClbehnmwSec,Chandauli,Dhanapur,45,765.0,Varanasi Division,195,coverage,finance,indicator_11,Per ASHA expenditure of ASHA incentive fund,p,0.3804056289341828,0.6462442305317191,0.3804056289341828
39,UuA1Z7kFP5w,100.0,202503,indicator_1,ClbehnmwSec,Chandauli,Naugarh,17,772.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0,0.7123913941779789,1.0
40,UuA1Z7kFP5w,100.0,202503,indicator_2,ClbehnmwSec,Chandauli,Naugarh,17,772.0,Varanasi Division,195,quality,ante_natal,indicator_2,% of pregnant women tested for Hb for 4 or more times against estimated PW,p,1.0,0.6818910554800423,1.0
41,UuA1Z7kFP5w,81.22689085735416,202503,indicator_3,ClbehnmwSec,Chandauli,Naugarh,17,772.0,Varanasi Division,195,coverage,delivery_care,indicator_3,% of pregnant women delivered in institution against estimated delivery,p,0.7934013071738977,0.7123913941779789,0.9050305002082663
42,UuA1Z7kFP5w,8.906882591093117,202503,indicator_4,ClbehnmwSec,Chandauli,Naugarh,17,772.0,Varanasi Division,195,quality,delivery_care,indicator_4,Still birth ratio,n,0.8460381723539618,0.6818910554800423,0.9050305002082663
