,index,district_id,perc_point,date,indicator_id,district,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type
32,32,CBSB9v92AwT,100.0,202503,indicator_1,Maunathbhanjan,192,Azamgarh Division,193,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
33,33,eA37kyBRRuZ,100.0,202503,indicator_1,Budaun,149,Bareilly Division,150,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
34,34,vVqY3DPcpHf,100.0,202503,indicator_1,Bareilly,150,Bareilly Division,150,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
35,35,c96jwckSd6j,100.0,202503,indicator_1,Pilibhit,151,Bareilly Division,150,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
36,36,GaiLSoQq1ue,100.0,202503,indicator_1,Shahjahanpur,152,Bareilly Division,150,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
37,37,J1P16zQEOUT,100.0,202503,indicator_1,Basti,185,Basti Division,185,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
38,38,fe1yBApr2sl,100.0,202503,indicator_1,Sant Kabir Nagar,186,Basti Division,185,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
39,39,cP0p8qfm3il,100.0,202503,indicator_1,Siddharth Nagar,184,Basti Division,185,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
40,40,DggJGxqbWHn,100.0,202503,indicator_1,Banda,170,Chitrakoot Division,170,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
41,41,i2fSZZ3QAJJ,100.0,202503,indicator_1,Chitrakoot,171,Chitrakoot Division,170,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
42,42,VSI7HobT5qL,100.0,202503,indicator_1,Hamirpur,168,Chitrakoot Division,170,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
43,43,sUQMxIc3yXj,99.37966088306102,202503,indicator_1,Mahoba,169,Chitrakoot Division,170,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
44,44,uS0pNSxN3sS,100.0,202503,indicator_1,Balrampur,182,Gonda Division,182,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
45,45,y8WarEkWCul,100.0,202503,indicator_1,Gonda,183,Gonda Division,182,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
46,46,oyTwneTbWDx,100.0,202503,indicator_1,Shrawasti,181,Gonda Division,182,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
47,47,Tf9b9qcbghH,100.0,202503,indicator_1,Deoria,190,Gorakhpur Division,188,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
48,48,vR85cHdsw1w,100.0,202503,indicator_1,Gorakhpur,188,Gorakhpur Division,188,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
49,49,xUeHwd9FQkg,100.0,202503,indicator_1,Kushinagar,189,Gorakhpur Division,188,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
50,50,AcnMkNGgc3S,100.0,202503,indicator_1,Maharajganj,187,Gorakhpur Division,188,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
51,51,NL5xiiHZQSC,100.0,202503,indicator_1,Jalaun,165,Jhansi Division,165,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
52,52,Mq751wBMqGF,100.0,202503,indicator_1,Jhansi,166,Jhansi Division,165,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
53,53,fagfcadhxej,81.28622377160085,202503,indicator_1,Lalitpur,167,Jhansi Division,165,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
54,54,Bd6E8zkVvVt,100.0,202503,indicator_1,Auraiya,162,Kanpur Nagar Division,161,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
55,55,Pm0jLk6EAiE,100.0,202503,indicator_1,Etawah,161,Kanpur Nagar Division,161,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
56,56,uEEwlAGZXWW,100.0,202503,indicator_1,Farrukhabad,159,Kanpur Nagar Division,161,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
57,57,IhQbDYRiF8w,100.0,202503,indicator_1,Kannauj,160,Kanpur Nagar Division,161,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
58,58,k3D0AumUCiC,100.0,202503,indicator_1,Kanpur Dehat,163,Kanpur Nagar Division,161,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
59,59,QVMRMhzVrrS,99.80775564278434,202503,indicator_1,Kanpur Nagar,164,Kanpur Nagar Division,161,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
60,60,PeUY1vj02UQ,97.16320681665292,202503,indicator_1,Bhadohi,198,Mirzapur Division,200,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
61,61,UAicdMLyuk4,100.0,202503,indicator_1,Mirzapur,199,Mirzapur Division,200,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
62,62,NNk3JP90QZ5,99.98388868072851,202503,indicator_1,Sonbhadra,200,Mirzapur Division,200,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
63,63,hgquAmZaNBu,100.0,202503,indicator_1,Amroha,137,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
64,64,uCYjHW7FuGG,100.0,202503,indicator_1,Bijnor,134,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
65,65,YQNQoPjAIpV,100.0,202503,indicator_1,Moradabad,135,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
66,66,IU006h5U7jj,100.0,202503,indicator_1,Rampur,136,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
67,67,YzHpzrN0eLv,100.0,202503,indicator_1,Sambhal,205,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
68,68,MVQs2RrS1Nw,100.0,202503,indicator_1,Muzaffarnagar,133,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
69,69,FKYZ3JbWq84,100.0,202503,indicator_1,Saharanpur,132,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
