,block_id,perc_point,date,indicator_id,uid_district,district,block,0,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type,indicator_index
35,dQvMLUi5rMw,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Sujanganj,37,733.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
36,Y1OSp1Ck66B,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Mogra Badshahpur,35,734.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
37,B9itA8m0ytx,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Mariahu,39,736.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
38,i81wO4m0rn2,97.37209564164297,202503,indicator_1,gmw76vAUMqz,Jaunpur,Jaunpur (Urban),60,,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.9664612041088444
39,CqlV6Koe6vJ,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Barsathi,35,738.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
40,EcaeGqA47MY,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Shahganj,60,743.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
41,OTeT1SgY1F7,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Dobhi,30,747.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
42,OmRJBPDSih0,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Jalalpur,32,745.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
43,joT95cJHrTQ,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Kerakat,35,746.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
44,yQrRCA2ngHE,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Khuthan,38,729.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
45,p6cTEKZv0Bb,99.15007601602954,202503,indicator_1,gmw76vAUMqz,Jaunpur,Machhlishahr,42,735.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.9891527912989936
46,sfvcD32u4kK,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Muftiganj,26,744.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
47,SiApLfkyuVz,98.93877222379443,202503,indicator_1,gmw76vAUMqz,Jaunpur,Ramnagar,39,737.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.9864560132612908
48,MENKSvmhb6i,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Rampur,40,739.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
49,hiCT4rPYCVr,99.53489493000437,202503,indicator_1,MVQs2RrS1Nw,Muzaffarnagar,Baghara,41,20.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.9940640670727158
50,gh2z6ozRHvl,100.0,202503,indicator_1,MVQs2RrS1Nw,Muzaffarnagar,Budhana,38,21.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
51,RAawnADvz9B,100.0,202503,indicator_1,MVQs2RrS1Nw,Muzaffarnagar,Morna,42,23.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
52,XuOunfUuyUX,97.39900566146312,202503,indicator_1,MVQs2RrS1Nw,Muzaffarnagar,Shahpur,33,22.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.9668046449419572
53,IClJwvvGCfX,100.0,202503,indicator_1,MVQs2RrS1Nw,Muzaffarnagar,Jansath,42,24.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
54,e6v2BeJjdF0,100.0,202503,indicator_1,MVQs2RrS1Nw,Muzaffarnagar,Khatauli,49,25.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
55,LwbNBvrbL9f,100.0,202503,indicator_1,MVQs2RrS1Nw,Muzaffarnagar,Muzaffarnagar (Urban),62,,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
56,c0nWxLrugon,100.0,202503,indicator_1,MVQs2RrS1Nw,Muzaffarnagar,Charthawal,39,17.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
57,kE3pd8aET6C,100.0,202503,indicator_1,MVQs2RrS1Nw,Muzaffarnagar,Purkazi,31,18.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
