,block_id,date,indicator_id,perc_point,uid_district,district,block,0,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type
6607,EdjW9d0OX1h,202503,indicator_4,14.02805611222445,iE0E3nLioFr,Bahraich,Mahasi,47,543.0,Gonda Division,182,quality,delivery_care,indicator_4,Still birth ratio,n
6608,F2HjseXcv3G,202503,indicator_4,0.0,iE0E3nLioFr,Bahraich,Nawabganj,41,538.0,Gonda Division,182,quality,delivery_care,indicator_4,Still birth ratio,n
6609,NGqtRmZHnOm,202503,indicator_4,9.836065573770492,iE0E3nLioFr,Bahraich,Visheshwarganj,46,550.0,Gonda Division,182,quality,delivery_care,indicator_4,Still birth ratio,n
6610,PK0wuMfp3LE,202503,indicator_4,6.263048016701462,iE0E3nLioFr,Bahraich,Jarwal,49,548.0,Gonda Division,182,quality,delivery_care,indicator_4,Still birth ratio,n
6611,QTCGfCQMXd3,202503,indicator_4,8.488964346349746,iE0E3nLioFr,Bahraich,Tejwapur,48,544.0,Gonda Division,182,quality,delivery_care,indicator_4,Still birth ratio,n
6612,RXv1GaQ6IyV,202503,indicator_4,17.241379310344826,iE0E3nLioFr,Bahraich,Kaisarganj,46,547.0,Gonda Division,182,quality,delivery_care,indicator_4,Still birth ratio,n
6613,axbfDth7CE1,202503,indicator_4,28.169014084507044,iE0E3nLioFr,Bahraich,Shivpur,55,540.0,Gonda Division,182,quality,delivery_care,indicator_4,Still birth ratio,n
6614,jNYEM4EP98K,202503,indicator_4,25.2486610558531,iE0E3nLioFr,Bahraich,Chitaura,56,542.0,Gonda Division,182,quality,delivery_care,indicator_4,Still birth ratio,n
6615,jo7VYHdzhDi,202503,indicator_4,4.278074866310161,iE0E3nLioFr,Bahraich,Mihinpurwa,82,537.0,Gonda Division,182,quality,delivery_care,indicator_4,Still birth ratio,n
6616,m1nYwKqPcyp,202503,indicator_4,18.32460732984293,iE0E3nLioFr,Bahraich,Payagpur,44,549.0,Gonda Division,182,quality,delivery_care,indicator_4,Still birth ratio,n
