,block_id,perc_point,date,indicator_id,uid_district,district,block,0,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type
6023,ciUK1Y4Eaxf,100.0,202503,indicator_10,MfHac5N78aK,Lucknow,Sarojaninagar,62,299.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6024,ApSm0CuGVfL,100.0,202503,indicator_10,MfHac5N78aK,Lucknow,Bakshi-Ka-Talab,60,296.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6025,aKYlZcPC3HU,100.0,202503,indicator_10,MfHac5N78aK,Lucknow,Chinhat,36,297.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6026,qnglbY5alFS,100.0,202503,indicator_10,MfHac5N78aK,Lucknow,Gosaiganj,47,300.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6027,iK1PfQ9wLbz,96.39513151917068,202503,indicator_10,MfHac5N78aK,Lucknow,Kakori,39,298.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6028,c8dGu0p6B0M,89.02798562623971,202503,indicator_10,MfHac5N78aK,Lucknow,Malihabad,49,295.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6029,ksTeBOfYw9L,100.0,202503,indicator_10,MfHac5N78aK,Lucknow,Mal,41,294.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6030,VKvevXLweem,94.42522386209816,202503,indicator_10,MfHac5N78aK,Lucknow,Mohanlalganj,61,301.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6031,NyYp5W4XZfR,89.99941408071595,202503,indicator_10,MfHac5N78aK,Lucknow,Lucknow (Urban),206,,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6032,pvZgEadkY59,100.0,202503,indicator_10,lLvTDpBDY8u,Rae Bareli,Amawan,25,309.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6033,Y3jGyfeDYe1,74.9165410898213,202503,indicator_10,lLvTDpBDY8u,Rae Bareli,Bachhrawan,29,302.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6034,smTNQ0RRpOL,100.0,202503,indicator_10,lLvTDpBDY8u,Rae Bareli,Rahi,38,311.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6035,KtYM7svxHgY,96.16225696233367,202503,indicator_10,lLvTDpBDY8u,Rae Bareli,Dalmau,32,315.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6036,Sk3orHKxNQG,100.0,202503,indicator_10,lLvTDpBDY8u,Rae Bareli,Deenshah Gaura,21,,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6037,jQRhw2yoQk2,100.0,202503,indicator_10,lLvTDpBDY8u,Rae Bareli,Harchandpur,26,308.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6038,sd2I8M3xhLQ,100.0,202503,indicator_10,lLvTDpBDY8u,Rae Bareli,Lalganj,32,314.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
