,block_id,perc_point,date,indicator_id,uid_district,district,block,0,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type,indicator_index,type_index
2962,miFaxMESSJ2,100.0,202503,indicator_5,oyTwneTbWDx,Shrawasti,Hariharpur Rani,35,552.0,Gonda Division,182,coverage,post_natal_care,indicator_5,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),p,1.0,0.7692010421503741
2963,miFaxMESSJ2,100.0,202503,indicator_7,oyTwneTbWDx,Shrawasti,Hariharpur Rani,35,552.0,Gonda Division,182,coverage,immunization,indicator_7,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",p,1.0,0.7692010421503741
2964,miFaxMESSJ2,100.0,202503,indicator_10,oyTwneTbWDx,Shrawasti,Hariharpur Rani,35,552.0,Gonda Division,182,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p,1.0,0.7692010421503741
2965,miFaxMESSJ2,9.71745771859272,202503,indicator_8,oyTwneTbWDx,Shrawasti,Hariharpur Rani,35,552.0,Gonda Division,182,coverage,family_planning,indicator_8,Permanent Method accepted per 1000 EC,p,0.05259519104682493,0.7692010421503741
2966,miFaxMESSJ2,230.9221316036488,202503,indicator_9,oyTwneTbWDx,Shrawasti,Hariharpur Rani,35,552.0,Gonda Division,182,coverage,family_planning,indicator_9,Reversible Method accepted per 1000 EC,p,0.45298144018824393,0.7692010421503741
2967,miFaxMESSJ2,6192.471401968609,202503,indicator_11,oyTwneTbWDx,Shrawasti,Hariharpur Rani,35,552.0,Gonda Division,182,coverage,finance,indicator_11,Per ASHA expenditure of ASHA incentive fund,p,1.0,0.7692010421503741
2968,rUTBm0fGdMX,100.0,202503,indicator_1,oyTwneTbWDx,Shrawasti,Sirsiya,34,553.0,Gonda Division,182,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0,0.7727066026533964
2969,rUTBm0fGdMX,73.58902699553312,202503,indicator_3,oyTwneTbWDx,Shrawasti,Sirsiya,34,553.0,Gonda Division,182,coverage,delivery_care,indicator_3,% of pregnant women delivered in institution against estimated delivery,p,0.7093463603962561,0.7727066026533964
2970,rUTBm0fGdMX,100.0,202503,indicator_5,oyTwneTbWDx,Shrawasti,Sirsiya,34,553.0,Gonda Division,182,coverage,post_natal_care,indicator_5,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),p,1.0,0.7727066026533964
2971,rUTBm0fGdMX,100.0,202503,indicator_7,oyTwneTbWDx,Shrawasti,Sirsiya,34,553.0,Gonda Division,182,coverage,immunization,indicator_7,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",p,1.0,0.7727066026533964
2972,rUTBm0fGdMX,100.0,202503,indicator_10,oyTwneTbWDx,Shrawasti,Sirsiya,34,553.0,Gonda Division,182,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p,1.0,0.7727066026533964
2973,rUTBm0fGdMX,7.957334463618166,202503,indicator_8,oyTwneTbWDx,Shrawasti,Sirsiya,34,553.0,Gonda Division,182,coverage,family_planning,indicator_8,Permanent Method accepted per 1000 EC,p,0.04306862334339967,0.7727066026533964
2974,rUTBm0fGdMX,218.82669774949957,202503,indicator_9,oyTwneTbWDx,Shrawasti,Sirsiya,34,553.0,Gonda Division,182,coverage,family_planning,indicator_9,Reversible Method accepted per 1000 EC,p,0.4292378374875156,0.7727066026533964
2975,rUTBm0fGdMX,6192.471401968609,202503,indicator_11,oyTwneTbWDx,Shrawasti,Sirsiya,34,553.0,Gonda Division,182,coverage,finance,indicator_11,Per ASHA expenditure of ASHA incentive fund,p,1.0,0.7727066026533964
2976,LNX0N5jnA5h,100.0,202503,indicator_1,oyTwneTbWDx,Shrawasti,Gilaula,32,554.0,Gonda Division,182,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0,0.751912988283914
2977,LNX0N5jnA5h,55.12217991417373,202503,indicator_3,oyTwneTbWDx,Shrawasti,Gilaula,32,554.0,Gonda Division,182,coverage,delivery_care,indicator_3,% of pregnant women delivered in institution against estimated delivery,p,0.5061180917786975,0.751912988283914
2978,LNX0N5jnA5h,100.0,202503,indicator_5,oyTwneTbWDx,Shrawasti,Gilaula,32,554.0,Gonda Division,182,coverage,post_natal_care,indicator_5,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),p,1.0,0.751912988283914
2979,LNX0N5jnA5h,100.0,202503,indicator_7,oyTwneTbWDx,Shrawasti,Gilaula,32,554.0,Gonda Division,182,coverage,immunization,indicator_7,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",p,1.0,0.751912988283914
2980,LNX0N5jnA5h,100.0,202503,indicator_10,oyTwneTbWDx,Shrawasti,Gilaula,32,554.0,Gonda Division,182,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p,1.0,0.751912988283914
2981,LNX0N5jnA5h,12.331968437836151,202503,indicator_8,oyTwneTbWDx,Shrawasti,Gilaula,32,554.0,Gonda Division,182,coverage,family_planning,indicator_8,Permanent Method accepted per 1000 EC,p,0.06674608264365446,0.751912988283914
2982,LNX0N5jnA5h,225.55198885258093,202503,indicator_9,oyTwneTbWDx,Shrawasti,Gilaula,32,554.0,Gonda Division,182,coverage,family_planning,indicator_9,Reversible Method accepted per 1000 EC,p,0.44243973184895924,0.751912988283914
2983,LNX0N5jnA5h,6192.471401968609,202503,indicator_11,oyTwneTbWDx,Shrawasti,Gilaula,32,554.0,Gonda Division,182,coverage,finance,indicator_11,Per ASHA expenditure of ASHA incentive fund,p,1.0,0.751912988283914
2984,a5QF4ok7kUq,100.0,202503,indicator_1,oyTwneTbWDx,Shrawasti,Ekona,38,555.0,Gonda Division,182,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0,0.7392960484617984
2985,a5QF4ok7kUq,50.79720496878597,202503,indicator_3,oyTwneTbWDx,Shrawasti,Ekona,38,555.0,Gonda Division,182,coverage,delivery_care,indicator_3,% of pregnant women delivered in institution against estimated delivery,p,0.4585215981220895,0.7392960484617984
2986,a5QF4ok7kUq,100.0,202503,indicator_5,oyTwneTbWDx,Shrawasti,Ekona,38,555.0,Gonda Division,182,coverage,post_natal_care,indicator_5,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),p,1.0,0.7392960484617984
2987,a5QF4ok7kUq,100.0,202503,indicator_7,oyTwneTbWDx,Shrawasti,Ekona,38,555.0,Gonda Division,182,coverage,immunization,indicator_7,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",p,1.0,0.7392960484617984
2988,a5QF4ok7kUq,100.0,202503,indicator_10,oyTwneTbWDx,Shrawasti,Ekona,38,555.0,Gonda Division,182,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p,1.0,0.7392960484617984
2989,a5QF4ok7kUq,8.657712718929922,202503,indicator_8,oyTwneTbWDx,Shrawasti,Ekona,38,555.0,Gonda Division,182,coverage,family_planning,indicator_8,Permanent Method accepted per 1000 EC,p,0.04685938109197039,0.7392960484617984
2990,a5QF4ok7kUq,208.51075169607816,202503,indicator_9,oyTwneTbWDx,Shrawasti,Ekona,38,555.0,Gonda Division,182,coverage,family_planning,indicator_9,Reversible Method accepted per 1000 EC,p,0.40898740848032783,0.7392960484617984
2991,a5QF4ok7kUq,6192.471401968609,202503,indicator_11,oyTwneTbWDx,Shrawasti,Ekona,38,555.0,Gonda Division,182,coverage,finance,indicator_11,Per ASHA expenditure of ASHA incentive fund,p,1.0,0.7392960484617984
2992,lbYsetq7442,100.0,202503,indicator_1,oyTwneTbWDx,Shrawasti,Jamunaha,35,551.0,Gonda Division,182,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0,0.745775532789084
2993,lbYsetq7442,53.22574880357782,202503,indicator_3,oyTwneTbWDx,Shrawasti,Jamunaha,35,551.0,Gonda Division,182,coverage,delivery_care,indicator_3,% of pregnant women delivered in institution against estimated delivery,p,0.4852478040971629,0.745775532789084
2994,lbYsetq7442,100.0,202503,indicator_5,oyTwneTbWDx,Shrawasti,Jamunaha,35,551.0,Gonda Division,182,coverage,post_natal_care,indicator_5,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),p,1.0,0.745775532789084
2995,lbYsetq7442,100.0,202503,indicator_7,oyTwneTbWDx,Shrawasti,Jamunaha,35,551.0,Gonda Division,182,coverage,immunization,indicator_7,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",p,1.0,0.745775532789084
2996,lbYsetq7442,100.0,202503,indicator_10,oyTwneTbWDx,Shrawasti,Jamunaha,35,551.0,Gonda Division,182,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p,1.0,0.745775532789084
2997,lbYsetq7442,12.626041117946762,202503,indicator_8,oyTwneTbWDx,Shrawasti,Jamunaha,35,551.0,Gonda Division,182,coverage,family_planning,indicator_8,Permanent Method accepted per 1000 EC,p,0.06833773441513337,0.745775532789084
2998,lbYsetq7442,210.36061141664402,202503,indicator_9,oyTwneTbWDx,Shrawasti,Jamunaha,35,551.0,Gonda Division,182,coverage,family_planning,indicator_9,Reversible Method accepted per 1000 EC,p,0.41261872380037556,0.745775532789084
2999,lbYsetq7442,6192.471401968609,202503,indicator_11,oyTwneTbWDx,Shrawasti,Jamunaha,35,551.0,Gonda Division,182,coverage,finance,indicator_11,Per ASHA expenditure of ASHA incentive fund,p,1.0,0.745775532789084
3000,GK26msJSJoZ,34.858280718571216,202503,indicator_1,oyTwneTbWDx,Shrawasti,Shrawasti (Urban),1,,Gonda Division,182,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.16862467995421077,0.5248467183792448
3001,GK26msJSJoZ,100.0,202503,indicator_3,oyTwneTbWDx,Shrawasti,Shrawasti (Urban),1,,Gonda Division,182,coverage,delivery_care,indicator_3,% of pregnant women delivered in institution against estimated delivery,p,1.0,0.5248467183792448
3002,GK26msJSJoZ,0.0,202503,indicator_5,oyTwneTbWDx,Shrawasti,Shrawasti (Urban),1,,Gonda Division,182,coverage,post_natal_care,indicator_5,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),p,0.0,0.5248467183792448
3003,GK26msJSJoZ,9.615355074997936,202503,indicator_7,oyTwneTbWDx,Shrawasti,Shrawasti (Urban),1,,Gonda Division,182,coverage,immunization,indicator_7,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",p,0.06744359286707677,0.5248467183792448
3004,GK26msJSJoZ,100.0,202503,indicator_10,oyTwneTbWDx,Shrawasti,Shrawasti (Urban),1,,Gonda Division,182,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p,1.0,0.5248467183792448
3005,GK26msJSJoZ,24.55572568249369,202503,indicator_8,oyTwneTbWDx,Shrawasti,Shrawasti (Urban),1,,Gonda Division,182,coverage,family_planning,indicator_8,Permanent Method accepted per 1000 EC,p,0.13290647831614316,0.5248467183792448
3006,GK26msJSJoZ,422.88001927551085,202503,indicator_9,oyTwneTbWDx,Shrawasti,Shrawasti (Urban),1,,Gonda Division,182,coverage,family_planning,indicator_9,Reversible Method accepted per 1000 EC,p,0.8297989958965271,0.5248467183792448
3007,GK26msJSJoZ,6192.471401968609,202503,indicator_11,oyTwneTbWDx,Shrawasti,Shrawasti (Urban),1,,Gonda Division,182,coverage,finance,indicator_11,Per ASHA expenditure of ASHA incentive fund,p,1.0,0.5248467183792448
3008,Rhej6WFZaSI,97.19478929118462,202503,indicator_1,J1P16zQEOUT,Basti,Bahadurpur,32,607.0,Basti Division,185,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.9641983205760714,0.5973370021876949
3009,Rhej6WFZaSI,42.234317388409266,202503,indicator_3,J1P16zQEOUT,Basti,Bahadurpur,32,607.0,Basti Division,185,coverage,delivery_care,indicator_3,% of pregnant women delivered in institution against estimated delivery,p,0.3642867344412531,0.5973370021876949
