block_id,date,indicator_id,perc_point
I0SrxhvmkHK,201710,indicator_16,1.406649616
QGh6NT0LgVl,201710,indicator_16,1.605191257
T5YmZQx2cme,201710,indicator_16,1.342281879
lqFb50V1HFl,201710,indicator_16,0.369318182
aKYlZcPC3HU,201710,indicator_16,1.272727273
CNdl7yi4n8S,201710,indicator_16,0.678952473
csfXDnN3Xo3,201710,indicator_16,0.703463203
kuE3K1lT4Ik,201710,indicator_16,8.333333333
jNYEM4EP98K,201710,indicator_16,2.810402685
MIhBWjsHb4j,201710,indicator_16,1.750861079
EbQXwXsACBg,201710,indicator_16,1.360338573
rqYozNDUgyg,201710,indicator_16,2.594866071
qFq9YH9cPE2,201710,indicator_16,1.868206522
SxFTKbP1SXZ,201710,indicator_16,3.808752026
myKgoGwviVc,201710,indicator_16,0.324675325
HZYH9FeKSbz,201710,indicator_16,1.258581236
l02BWTHnGkg,201710,indicator_16,1.698369565
J7htJUPglZb,201710,indicator_16,0.505050505
j4mknIwFS2j,201710,indicator_16,1.274271845
WM5EPg47DVT,201710,indicator_16,0.852272727
btuo0MWP5ET,201710,indicator_16,0.639097744
R35oHPkysFc,201710,indicator_16,1.336633663
rpRvuw2Iiug,201710,indicator_16,1.663201663
KwM7Z0rplba,201710,indicator_16,1.923076923
scpjZUfh7zI,201710,indicator_16,1.022727273
vlnVnG5JxVJ,201710,indicator_16,1.477272727
vRgViyJ0IS6,201710,indicator_16,0.518672199
CzrcP2SLElb,201710,indicator_16,1.875
yxi8x9cQDKH,201710,indicator_16,1.715176715
G7D5lGOMxxz,201710,indicator_16,0.246132208
Rf7c1xtIt4m,201710,indicator_16,1.136363636
YbOAqVBdm86,201710,indicator_16,0.464876033
EmKRIMSIXim,201710,indicator_16,1.315789474
E5A2kSTc3PM,201710,indicator_16,1.838966203
LPTjBQ9rRWx,201710,indicator_16,3.614457831
ULhLz5tR5rr,201710,indicator_16,0.806451613
rMbW2gza9HD,201710,indicator_16,1.713395639
rY5nGyzGedU,201710,indicator_16,0.772727273
AzV6zQXaRba,201710,indicator_16,0.875656743
KsXL0whELQG,201710,indicator_16,2.926587302
Kr0p5SNoG3J,201710,indicator_16,0.681818182
x6V2gbPDLjh,201710,indicator_16,0.516528926
NVFxlXHdSmv,201710,indicator_16,1.220538721
ymNHOw3eRlW,201710,indicator_16,9.782608696
UlR3pGm65VX,201710,indicator_16,1.018808777
uwDViZiXmha,201710,indicator_16,0.961538462
S0dqgoK82zn,201710,indicator_16,0.862068966
tbaPfFzYkRT,201710,indicator_16,3.3203125
MJ1dhXmXROA,201710,indicator_16,0.511508951
YRYbXgGEgwG,201710,indicator_16,0.744514107
rz3th45E7Sa,201710,indicator_16,0.804597701
LsCBHm1wj5S,201710,indicator_16,0.974512744
F1Ddi7jawvX,201710,indicator_16,
KocU1z4MS42,201710,indicator_16,1.102941176
m89LQqFOgTd,201710,indicator_16,1.094276094
LNiRZH5vfaY,201710,indicator_16,0.473484848
ooMZMhdhlnd,201710,indicator_16,1.632970451
K2hjVgS0LFm,201710,indicator_16,0.568181818
gEphd9O9pPr,201710,indicator_16,0.883838384
IywKKXqWKqi,201710,indicator_16,0.723140496
DeIlv8osqJa,201710,indicator_16,1.167929293
yslHqhvvXn0,201710,indicator_16,1.303030303
OTeT1SgY1F7,201710,indicator_16,0.836120401
AGFzimgfzIo,201710,indicator_16,0.576923077
I6SfaoTpBWQ,201710,indicator_16,0.299043062
C2FFe2TBScZ,201710,indicator_16,1.049766719
vqGMYi6W3ep,201710,indicator_16,2.282157676
nH12F0E43cT,201710,indicator_16,2.910238429
sxmq7Z4MO2H,201710,indicator_16,13.04347826
MoUVR7OhsJp,201710,indicator_16,5.617977528
DQKs9hxWhSr,201710,indicator_16,1.072124756
JBG7yZn3ZhD,201710,indicator_16,1.675257732
xraYmPK0pc5,201710,indicator_16,1.426174497
eLIy5rJdmIo,201710,indicator_16,0.668449198
H82DYZCKRwR,201710,indicator_16,1.767676768
L3tm8ZCQ4VU,201710,indicator_16,0.508373206
g6QRDUGvU6j,201710,indicator_16,3.519553073
kxTyOTd53rb,201710,indicator_16,
vVEYFNLCthf,201710,indicator_16,1.455301455
C9qOAPWGoUS,201710,indicator_16,1.328125
Hi4F69xrBS5,201710,indicator_16,0.246826516
pAJMw6V9F29,201710,indicator_16,2.597402597
KRQvi7JBiuf,201710,indicator_16,0.944767442
iRCOLiyhze6,201710,indicator_16,1.054987212
janjc2a7UuX,201710,indicator_16,0.22556391
niYGeZzm6Zu,201710,indicator_16,0.979623824
gAuwshptXMU,201710,indicator_16,1.909090909
w25YwsZC9ZT,201710,indicator_16,1.399688958
Cge552Satby,201710,indicator_16,0.64516129
w0PTR0Qc2H7,201710,indicator_16,0.473071325
HHTQ2caXrBL,201710,indicator_16,1.207386364
QiCjYBLbYGE,201710,indicator_16,0.654613466
LWEb9Onpgzi,201710,indicator_16,0.771103896
OA8wf7skznm,201710,indicator_16,1.599063963
uEEKeL3UnB2,201710,indicator_16,1.37987013
O3U9QEmpjTV,201710,indicator_16,1.378809869
sGcpaNGqN8u,201710,indicator_16,0.235109718
X3gyut5H2FR,201710,indicator_16,2.180685358
PgG4CRGzrlZ,201710,indicator_16,1.254953765
v4LM2W1q50L,201710,indicator_16,0.201288245
njhb7CY73zh,201710,indicator_16,0.82815735
fAXjUK5F5Xr,201710,indicator_16,1.28959276
R0tPbvDqGLH,201710,indicator_16,1.646903821
ipancoUtUKq,201710,indicator_16,1.041666667
C4DRedrM3Pb,201710,indicator_16,2.046035806
TEd7x916bEz,201710,indicator_16,2.375201288
GcLGdTGiU8M,201710,indicator_16,0.241545894
rgR8kKaylIH,201710,indicator_16,1.363636364
TJrLeyFzLWY,201710,indicator_16,1.086956522
aJ8DEEvimsM,201710,indicator_16,0.99862259
S842tHqLUI1,201710,indicator_16,0.693527081
bwQadqgE3oJ,201710,indicator_16,2.487864078
fOvbWnMTlvE,201710,indicator_16,1.669254658
F4PpXNqeUpP,201710,indicator_16,0.868983957
bkkdTIrC9mc,201710,indicator_16,1.576246334
rhv6cneiTR1,201710,indicator_16,1.98541329
lY8m4U7kmq2,201710,indicator_16,0.975261656
b29DRuniQju,201710,indicator_16,1.370510397
y9wSctfMKAu,201710,indicator_16,2.879841112
CRfNWiNZE7d,201710,indicator_16,7.222222222
kRWfFb08HmE,201710,indicator_16,0.792349727
FGqvmr1orP5,201710,indicator_16,0.920598389
H3RUhD0AAjW,201710,indicator_16,0.27173913
dnrD7zqEOQ2,201710,indicator_16,0.996143959
ZjM4my40rTY,201710,indicator_16,0.404468413
r0L9AlrGA7C,201710,indicator_16,1.044504995
HYVom1xMtdc,201710,indicator_16,1.971522453
isevBbVYacc,201710,indicator_16,3.095238095
qpjXx2KEA28,201710,indicator_16,0.483558994
Ne0VFmnLotb,201710,indicator_16,3.89137738
KkUxdrYeeXC,201710,indicator_16,6.413043478
SQuL6ZdC6LY,201710,indicator_16,0.797101449
zv6Gc6aGnXd,201710,indicator_16,0.839920949
kcQKXLIXWNj,201710,indicator_16,4.891304348
PEDIETmpZdA,201710,indicator_16,
mhI69xut9he,201710,indicator_16,6.217391304
NbXqavwiDug,201710,indicator_16,0.885668277
hepZfdzFqgL,201710,indicator_16,0.341614907
J01CgvckM2C,201710,indicator_16,0.597826087
oJK3Sqdic6n,201710,indicator_16,1.376811594
ISeQXIbXref,201710,indicator_16,1.909518214
APE5J6eTM3s,201710,indicator_16,4.765886288
iMSgdsfQfK3,201710,indicator_16,0.569358178
y8eD89Cg95c,201710,indicator_16,
VivEa0lrJEt,201710,indicator_16,5.623818526
w2mC1IzGqJO,201710,indicator_16,0.937031484
