date,district,district_id,indicator_id,perc_point
201712,Kanpur Nagar,QVMRMhzVrrS,indicator_13,1.048951049
201712,Kasganj,hITp09XOBLZ,indicator_13,3.664921466
201712,Kaushambi,PAj0oVY0Dxu,indicator_13,2.487562189
201712,Kushinagar,xUeHwd9FQkg,indicator_13,7.843137255
201712,Lakhimpur Kheri,d9ZuMopgX29,indicator_13,6.739130435
201712,Lalitpur,fagfcadhxej,indicator_13,3.652968037
201712,Lucknow,MfHac5N78aK,indicator_13,3.287671233
201712,Maharajganj,AcnMkNGgc3S,indicator_13,3.943661972
201712,Mahoba,sUQMxIc3yXj,indicator_13,1.129943503
201712,Mainpuri,XBLhrSWGytu,indicator_13,1.304347826
201712,Mathura,KP2BUB1npih,indicator_13,1.831501832
201712,Maunathbhanjan,CBSB9v92AwT,indicator_13,6.177606178
201712,Meerut,v8YGmR7nOdj,indicator_13,1.126126126
201712,Mirzapur,UAicdMLyuk4,indicator_13,4.702194357
201712,Moradabad,YQNQoPjAIpV,indicator_13,5.373134328
201712,Muzaffarnagar,MVQs2RrS1Nw,indicator_13,3.170028818
201712,Pilibhit,c96jwckSd6j,indicator_13,1.244813278
201712,Pratapgarh,fz7bJo3egPX,indicator_13,4.199475066
201712,Prayagraj,tXgaew1Pd2Y,indicator_13,2.155887231
201712,Rae Bareli,lLvTDpBDY8u,indicator_13,4.134366925
201712,Rampur,IU006h5U7jj,indicator_13,1.214574899
201712,Saharanpur,FKYZ3JbWq84,indicator_13,2.702702703
201712,Sambhal,YzHpzrN0eLv,indicator_13,2.34375
201712,Sant Kabir Nagar,fe1yBApr2sl,indicator_13,2.702702703
201712,Shahjahanpur,GaiLSoQq1ue,indicator_13,2.110817942
201712,Shamli,AdiUcz9BXhx,indicator_13,1.226993865
201712,Shrawasti,oyTwneTbWDx,indicator_13,2.205882353
201712,Siddharth Nagar,cP0p8qfm3il,indicator_13,7.744107744
201712,Sitapur,XxaOowFtkiJ,indicator_13,2.490421456
201712,Sonbhadra,NNk3JP90QZ5,indicator_13,3.524229075
201712,Sultanpur,o4ZQTVcMI7U,indicator_13,2.670623145
201712,Unnav,aT03mfdlNiF,indicator_13,1.813471503
201712,Varanasi,LeuBT7KfuuA,indicator_13,3.485254692
201801,Agra,N5WWbRtsjWp,indicator_13,1.877934272
201801,Aligarh,frD2HOp3wAs,indicator_13,2.073732719
201801,Ambedkar Nagar,jM27ji8tyrM,indicator_13,1.869158879
201801,Amethi,StsLkYw1G0m,indicator_13,2.448979592
201801,Amroha,hgquAmZaNBu,indicator_13,0.966183575
201801,Auraiya,Bd6E8zkVvVt,indicator_13,2.717391304
201801,Ayodhya,b4XkXzoGqFY,indicator_13,6.005221932
201801,Azamgarh,NjckKfm3g0k,indicator_13,1.751313485
201801,Bagpat,HJIS3IrQ0Nj,indicator_13,1.19047619
201801,Bahraich,iE0E3nLioFr,indicator_13,4.761904762
