calc_type,composite_index,composite_rank,date,district,district_id,div_map_id,division,domain,domain_index,domain_rank,indicator,indicator_id,indicator_ids,indicator_index,indicator_rank,map_id,perc_point,type,type_index,type_rank,value,year
p,0.5888523729999999,31.0,2017-04-01,Basti,J1P16zQEOUT,185,Basti Division,communicable_diseases,0.67391077,34.0,% of PW screened for HIV against estimated pregnancy,indicator_11,indicator_11,0.34782154,34.0,185,22.03871469,coverage,0.435800716,35.0,,2018
p,0.5888523729999999,31.0,2017-04-01,Basti,J1P16zQEOUT,185,Basti Division,communicable_diseases,0.67391077,34.0,Total case notification rate of TB against expected TB cases,indicator_10,indicator_10,1.0,1.0,185,100.0,quality,0.621521902,39.0,,2018
p,0.5888523729999999,31.0,2017-04-01,Basti,J1P16zQEOUT,185,Basti Division,family_planning,0.132811751,54.0,Permanent Method accepted per 1000 EC,indicator_8,indicator_8,0.048806752,59.0,185,1.242786934,coverage,0.435800716,35.0,,2018
p,0.5888523729999999,31.0,2017-04-01,Basti,J1P16zQEOUT,185,Basti Division,family_planning,0.132811751,54.0,Reversible Method accepted per 1000 EC,indicator_9,indicator_9,0.216816749,47.0,185,6.91051225,coverage,0.435800716,35.0,,2018
p,0.5888523729999999,31.0,2017-04-01,Basti,J1P16zQEOUT,185,Basti Division,finance,0.635613574,18.0,Per ASHA expenditure of ASHA incentive fund,indicator_12,indicator_12,0.635613574,18.0,185,25032.08066,coverage,0.435800716,35.0,,2018
p,0.656010602,9.0,2017-04-01,Agra,N5WWbRtsjWp,146,Agra Division,ante_natal,0.5283593679999999,23.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,indicator_1,indicator_1,0.5283593679999999,23.0,146,59.73338729,coverage,0.5576921570000001,12.0,,2018
p,0.656010602,9.0,2017-04-01,Agra,N5WWbRtsjWp,146,Agra Division,delivery_care,0.7516990090000001,7.0,% of pregnant women delivered in institution against estimated delivery,indicator_2,indicator_2,0.7118421429999999,12.0,146,80.18625127,coverage,0.5576921570000001,12.0,,2018
p,0.656010602,9.0,2017-04-01,Agra,N5WWbRtsjWp,146,Agra Division,delivery_care,0.7516990090000001,7.0,% of C-section delivery against reported delivery (70% weightage to CHC),indicator_31,indicator_31,0.003642241,51.0,146,0.083659784,quality,0.6917918340000001,26.0,,2018
p,0.656010602,9.0,2017-04-01,Agra,N5WWbRtsjWp,146,Agra Division,delivery_care,0.7516990090000001,7.0,% of C-section delivery against reported delivery (30% to DH),indicator_32,indicator_32,0.7210949870000001,7.0,146,10.18985464,quality,0.6917918340000001,26.0,,2018
n,0.656010602,9.0,2017-04-01,Agra,N5WWbRtsjWp,146,Agra Division,delivery_care,0.7516990090000001,7.0,Still birth ratio,indicator_4,indicator_4,0.8185176559999999,25.0,146,11.77722058,quality,0.6917918340000001,26.0,,2018
