,block,composite_index,rank,month,district
2491,Masodha,0.75578,347.0,Sep 2023,Ayodhya
2493,Bikapur,0.756033,346.0,Sep 2023,Ayodhya
2497,Bhiyaon,0.758487,337.0,Sep 2023,Ambedkar Nagar
2499,Ramnagar,0.798682,94.0,Sep 2023,Ambedkar Nagar
2500,Katehari,0.772557,240.0,Sep 2023,Ambedkar Nagar
2502,Tanda,0.780965,191.0,Sep 2023,Ambedkar Nagar
2511,Sultanpur (Urban),0.502014,868.0,Sep 2023,Sultanpur
2512,Dhanpatganj,0.7534,357.0,Sep 2023,Sultanpur
2513,Lambhua,0.717241,548.0,Sep 2023,Sultanpur
2516,Akhand Nagar,0.608588,813.0,Sep 2023,Sultanpur
2522,Tappal,0.822124,23.0,Sep 2023,Aligarh
2528,Lodha,0.793623,118.0,Sep 2023,Aligarh
2529,Jawan Sikanderpur,0.780707,195.0,Sep 2023,Aligarh
2537,Saidpur,0.770544,253.0,Sep 2023,Ghazipur
2539,Ghazipur (Urban),0.516632,860.0,Sep 2023,Ghazipur
2540,Varachakwar,0.709582,579.0,Sep 2023,Ghazipur
2544,Bhanwarkol,0.634921,785.0,Sep 2023,Ghazipur
2546,Hathras (Urban),0.662493,731.0,Sep 2023,Hathras
2550,Hathras,0.765544,294.0,Sep 2023,Hathras
2552,Nawabganj,0.785442,165.0,Sep 2023,Gonda
2555,Tarabganj,0.750364,378.0,Sep 2023,Gonda
2557,Katra Bazar,0.674621,694.0,Sep 2023,Gonda
2559,Rupaidih,0.667582,717.0,Sep 2023,Gonda
2560,Saidnagar,0.800915,90.0,Sep 2023,Rampur
2577,Dhanapur,0.637375,780.0,Sep 2023,Chandauli
2582,Bankata,0.660478,736.0,Sep 2023,Deoria
2585,Baitalpur,0.662252,732.0,Sep 2023,Deoria
2588,Gauri Bazar,0.671932,698.0,Sep 2023,Deoria
2596,Uska Bazar,0.639214,776.0,Sep 2023,Siddharth Nagar
2597,Bansi,0.611038,809.0,Sep 2023,Siddharth Nagar
2601,Bhanwapur,0.635393,784.0,Sep 2023,Siddharth Nagar
2605,Moradabad (Urban),0.658096,739.0,Sep 2023,Moradabad
2609,Kundarki Dingpur,0.772946,236.0,Sep 2023,Moradabad
2613,Ramkola,0.56131,848.0,Sep 2023,Kushinagar
2619,Bilsanda,0.688881,645.0,Sep 2023,Pilibhit
2623,Mahrajganj,0.734453,468.0,Sep 2023,Jaunpur
2624,Dharampur,0.813437,53.0,Sep 2023,Jaunpur
2633,Jaunpur (Urban),0.603083,819.0,Sep 2023,Jaunpur
2635,Machhlishahr,0.703814,600.0,Sep 2023,Jaunpur
2642,Khuthan,0.729586,494.0,Sep 2023,Jaunpur
2643,Raya,0.766636,284.0,Sep 2023,Mathura
2644,Mat,0.759745,327.0,Sep 2023,Mathura
2649,Pahasu,0.765842,290.0,Sep 2023,Bulandshahar
2653,Bulandshahar (Urban),0.573139,838.0,Sep 2023,Bulandshahar
2654,Danpur,0.751973,365.0,Sep 2023,Bulandshahar
2657,Dibai,0.788468,143.0,Sep 2023,Bulandshahar
2660,Shikarpur,0.740643,431.0,Sep 2023,Bulandshahar
2671,Anupshahr,0.813829,52.0,Sep 2023,Bulandshahar
2672,Bangarmau,0.770673,252.0,Sep 2023,Unnav
2680,Deoband,0.758193,338.0,Sep 2023,Saharanpur
2683,Sadauli Qadeem,0.813856,51.0,Sep 2023,Saharanpur
2686,Rajgarh,0.813127,55.0,Sep 2023,Mirzapur
2688,Marihan,0.812514,58.0,Sep 2023,Mirzapur
2693,Fatehganj Pashchim,0.725734,518.0,Sep 2023,Bareilly
2697,Bhuta,0.644889,767.0,Sep 2023,Bareilly
2701,Ramnagar,0.657272,741.0,Sep 2023,Bareilly
2702,Kyara,0.769725,258.0,Sep 2023,Bareilly
2707,Sareni,0.774779,229.0,Sep 2023,Rae Bareli
2708,Dalmau,0.768375,275.0,Sep 2023,Rae Bareli
2710,Mahrajganj,0.733042,481.0,Sep 2023,Rae Bareli
2713,Deenshah Gaura,0.818483,36.0,Sep 2023,Rae Bareli
2714,Dih,0.71836,546.0,Sep 2023,Rae Bareli
2715,Chhatoh,0.734049,473.0,Sep 2023,Rae Bareli
2726,Amrodha,0.735442,462.0,Sep 2023,Kanpur Dehat
2734,Mainpuri (Urban),0.496301,872.0,Sep 2023,Mainpuri
2736,Kotla (Narkhi),0.695441,628.0,Sep 2023,Firozabad
2737,Tundla,0.638487,777.0,Sep 2023,Firozabad
2740,Kheragarh (Hathwant),0.688832,646.0,Sep 2023,Firozabad
2742,Jarwal,0.706323,593.0,Sep 2023,Bahraich
2750,Meja,0.712535,564.0,Sep 2023,Prayagraj
2751,Mauaima,0.75328,358.0,Sep 2023,Prayagraj
2756,Koraon,0.753213,359.0,Sep 2023,Prayagraj
2758,Dadrol,0.673612,696.0,Sep 2023,Shahjahanpur
2762,Madnapur,0.759051,333.0,Sep 2023,Shahjahanpur
2771,Mauranipur,0.791588,126.0,Sep 2023,Jhansi
2780,Agra (Urban),0.454982,880.0,Sep 2023,Agra
2788,Fatehabad,0.760347,323.0,Sep 2023,Agra
