,block,composite_index,rank,month,district
0,Samrer,0.660224,737.0,Sep 2023,Budaun
13,Maya Bazar,0.68369,667.0,Sep 2023,Ayodhya
26,Bhiti,0.818379,37.0,Sep 2023,Ambedkar Nagar
39,Kurebhar,0.650212,755.0,Sep 2023,Sultanpur
51,Khair,0.790686,132.0,Sep 2023,Aligarh
64,Gonda,0.648293,761.0,Sep 2023,Aligarh
76,Kasimabad,0.671109,700.0,Sep 2023,Ghazipur
88,Colonelganj,0.687556,652.0,Sep 2023,Gonda
101,Wazirganj,0.740079,439.0,Sep 2023,Gonda
114,Jhanjhari,0.724283,524.0,Sep 2023,Gonda
124,Mujhana,0.75964,329.0,Sep 2023,Gonda
137,Haldharmau,0.768308,276.0,Sep 2023,Gonda
150,Chamraua,0.816607,42.0,Sep 2023,Rampur
163,Lar,0.730349,491.0,Sep 2023,Deoria
175,Birdpur,0.697966,619.0,Sep 2023,Siddharth Nagar
188,Mithwal,0.674278,695.0,Sep 2023,Siddharth Nagar
201,Munda Pandey,0.78352,175.0,Sep 2023,Moradabad
214,Kasiya,0.628296,793.0,Sep 2023,Kushinagar
227,Sukrauli,0.770888,251.0,Sep 2023,Kushinagar
240,Kaptanganj,0.724999,520.0,Sep 2023,Kushinagar
253,Dudhahi,0.689325,642.0,Sep 2023,Kushinagar
266,Marori,0.76932,264.0,Sep 2023,Pilibhit
279,Amariya,0.8141,48.0,Sep 2023,Pilibhit
292,Barsathi,0.766088,289.0,Sep 2023,Jaunpur
305,Kerakat,0.722614,530.0,Sep 2023,Jaunpur
318,Muftiganj,0.831087,6.0,Sep 2023,Jaunpur
331,Nandgaon,0.771986,243.0,Sep 2023,Mathura
344,Govardhan,0.771354,248.0,Sep 2023,Mathura
357,Sikandrabad,0.745974,407.0,Sep 2023,Bulandshahar
370,Lakhaothi,0.720265,541.0,Sep 2023,Bulandshahar
383,Asoha,0.819366,32.0,Sep 2023,Unnav
396,Bighapur,0.821078,28.0,Sep 2023,Unnav
409,Safipur,0.815087,45.0,Sep 2023,Unnav
422,Mianganj,0.724519,523.0,Sep 2023,Unnav
434,Fatehpur Chaurasi,0.785274,167.0,Sep 2023,Unnav
447,Ballia Kheri,0.772909,237.0,Sep 2023,Saharanpur
460,Jamalpur,0.787771,145.0,Sep 2023,Mirzapur
473,Hallia,0.806732,70.0,Sep 2023,Mirzapur
486,Bithrichainpur,0.681798,674.0,Sep 2023,Bareilly
499,Sataon,0.737247,451.0,Sep 2023,Rae Bareli
512,Harchandpur,0.733075,480.0,Sep 2023,Rae Bareli
525,Unchahar,0.683184,670.0,Sep 2023,Rae Bareli
537,Malasa,0.764419,303.0,Sep 2023,Kanpur Dehat
550,Ghiror,0.68724,656.0,Sep 2023,Mainpuri
562,Sultanganj,0.595024,823.0,Sep 2023,Mainpuri
574,Mainpuri,0.769646,260.0,Sep 2023,Mainpuri
587,Visheshwarganj,0.614483,806.0,Sep 2023,Bahraich
600,Shivpur,0.701721,609.0,Sep 2023,Bahraich
613,Risia,0.716451,552.0,Sep 2023,Bahraich
626,Holagarh,0.807293,67.0,Sep 2023,Prayagraj
639,Jasra,0.750276,381.0,Sep 2023,Prayagraj
652,Jalalabad,0.593425,825.0,Sep 2023,Shahjahanpur
664,Bhawal Khera,0.716283,553.0,Sep 2023,Shahjahanpur
677,Bangra,0.77668,218.0,Sep 2023,Jhansi
690,Jhansi (Urban),0.689188,643.0,Sep 2023,Jhansi
703,Bamaur,0.711568,568.0,Sep 2023,Jhansi
715,Akola,0.84542,2.0,Sep 2023,Agra
728,Chail,0.781463,185.0,Sep 2023,Kaushambi
741,Amauli,0.781159,188.0,Sep 2023,Fatehpur
754,Bhitaura,0.771353,249.0,Sep 2023,Fatehpur
767,Azmatgarh,0.685662,660.0,Sep 2023,Azamgarh
780,Mirzapur,0.626675,796.0,Sep 2023,Azamgarh
792,Sidhpura,0.706355,592.0,Sep 2023,Kasganj
805,Etawah (Urban),0.64222,771.0,Sep 2023,Etawah
818,Chakarnagar,0.571366,841.0,Sep 2023,Etawah
831,DHQ Hapur,0.561361,847.0,Sep 2023,Hapur
844,Tondarpur,0.764816,298.0,Sep 2023,Hardoi
857,Mohammadabad Gohana,0.669932,706.0,Sep 2023,Maunathbhanjan
870,Ranipur,0.728905,497.0,Sep 2023,Maunathbhanjan
883,Sambhal,0.76881,271.0,Sep 2023,Sambhal
896,Panwasa,0.676625,686.0,Sep 2023,Sambhal
909,Kamasin,0.727609,506.0,Sep 2023,Banda
921,Bisanda,0.751988,364.0,Sep 2023,Banda
934,Jaitpur,0.78945,139.0,Sep 2023,Mahoba
947,Kanpur Nagar (Urban),0.37716,886.0,Sep 2023,Kanpur Nagar
959,Noorpur,0.759646,328.0,Sep 2023,Bijnor
972,Kaptanganj,0.743382,420.0,Sep 2023,Basti
985,Basti (Urban),0.551576,852.0,Sep 2023,Basti
998,Dhanaura,0.782707,181.0,Sep 2023,Amroha
1011,Joya,0.78994,136.0,Sep 2023,Amroha
1024,Bansdih,0.705309,595.0,Sep 2023,Ballia
1036,Revati,0.203089,889.0,Sep 2023,Ballia
1045,Dubhad,0.756081,345.0,Sep 2023,Ballia
1058,Kharkhoda,0.818209,38.0,Sep 2023,Meerut
1071,Hastinapur,0.785699,161.0,Sep 2023,Meerut
1084,Sarurpur Khurd,0.81237,59.0,Sep 2023,Meerut
1097,Machra,0.791797,125.0,Sep 2023,Meerut
1110,Baghpat,0.817947,39.0,Sep 2023,Bagpat
1123,Utraula,0.742349,428.0,Sep 2023,Balrampur
1136,Nadigaon,0.731504,486.0,Sep 2023,Jalaun
1149,Sotha,0.715339,557.0,Sep 2023,Sant Kabir Nagar
1162,Aliganj,0.714851,558.0,Sep 2023,Etah
1175,Siddhaur,0.768995,269.0,Sep 2023,Barabanki
1188,Dariyabad,0.768247,278.0,Sep 2023,Barabanki
1201,Bani Kodar,0.723021,526.0,Sep 2023,Barabanki
1214,Bhojpur,0.779555,203.0,Sep 2023,Ghaziabad
1227,Musafir Khana,0.783271,178.0,Sep 2023,Amethi
1240,Sant Ravidas Nagar (Urban),0.603215,818.0,Sep 2023,Bhadohi
1253,Garh Mukteshwar,0.735955,458.0,Sep 2023,Hapur
1266,Bijua,0.716584,551.0,Sep 2023,Lakhimpur Kheri
1279,Pasgawan,0.736305,456.0,Sep 2023,Lakhimpur Kheri
1292,Barhalganj,0.705499,594.0,Sep 2023,Gorakhpur
1304,Campierganj,0.660522,735.0,Sep 2023,Gorakhpur
1317,Pali,0.779138,206.0,Sep 2023,Gorakhpur
1330,Umarda,0.730718,489.0,Sep 2023,Kannauj
1343,Kannauj (Urban),0.502281,866.0,Sep 2023,Kannauj
1355,Paniwara,0.749368,386.0,Sep 2023,Maharajganj
1368,Karvi (Chitrakoot Dham),0.73737,450.0,Sep 2023,Chitrakoot
1695,Bisauli,0.687286,654.0,Sep 2023,Budaun
1696,Sahaswan,0.725298,519.0,Sep 2023,Budaun
1697,Dataganj,0.649222,758.0,Sep 2023,Budaun
1699,Qadar Chowk,0.631914,787.0,Sep 2023,Budaun
1700,Budaun (Urban),0.495526,873.0,Sep 2023,Budaun
1701,Jagat,0.663958,730.0,Sep 2023,Budaun
1702,Wazirganj,0.751219,368.0,Sep 2023,Budaun
1703,Sohawal,0.745878,408.0,Sep 2023,Ayodhya
1705,Pura Bazar,0.784743,170.0,Sep 2023,Ayodhya
1706,Harringtonganj,0.812617,57.0,Sep 2023,Ayodhya
1707,Ayodhya (Urban),0.591803,828.0,Sep 2023,Ayodhya
1709,Amaniganj,0.721876,534.0,Sep 2023,Ayodhya
1710,Milkipur,0.75453,353.0,Sep 2023,Ayodhya
1711,Tarun,0.780991,189.0,Sep 2023,Ayodhya
1712,Baskhari,0.731116,488.0,Sep 2023,Ambedkar Nagar
1713,Akbarpur,0.796146,110.0,Sep 2023,Ambedkar Nagar
1715,Ambedkar Nagar  (Urban),0.576866,837.0,Sep 2023,Ambedkar Nagar
1716,Jahangirganj,0.681547,676.0,Sep 2023,Ambedkar Nagar
1720,Jalalpur,0.747753,397.0,Sep 2023,Ambedkar Nagar
1722,Dostpur,0.797798,99.0,Sep 2023,Sultanpur
1723,Jai Singh Pur,0.779138,206.0,Sep 2023,Sultanpur
1724,Dubey Pur,0.792782,119.0,Sep 2023,Sultanpur
1725,Waldi Rai,0.728692,498.0,Sep 2023,Sultanpur
1726,Kadipur,0.653541,749.0,Sep 2023,Sultanpur
1727,Bhadayeea,0.753082,361.0,Sep 2023,Sultanpur
1729,Pratap Pur Kamaicha,0.75301,362.0,Sep 2023,Sultanpur
1731,Aligarh (Urban),0.650918,753.0,Sep 2023,Aligarh
1732,Atrauli,0.777438,214.0,Sep 2023,Aligarh
1733,Bijauli,0.813312,54.0,Sep 2023,Aligarh
1734,Gangiri,0.740057,440.0,Sep 2023,Aligarh
1736,Akrabad,0.745074,411.0,Sep 2023,Aligarh
1737,Iglas,0.810926,61.0,Sep 2023,Aligarh
1739,Manihari,0.682481,671.0,Sep 2023,Ghazipur
1740,Mohammadabad,0.772559,239.0,Sep 2023,Ghazipur
1741,Karanda,0.72261,531.0,Sep 2023,Ghazipur
1742,Bhadaura,0.570973,842.0,Sep 2023,Ghazipur
1744,Jakhania,0.701488,610.0,Sep 2023,Ghazipur
1746,Ghazipur,0.650451,754.0,Sep 2023,Ghazipur
1747,Zamania,0.691204,637.0,Sep 2023,Ghazipur
1749,Deokali,0.744572,416.0,Sep 2023,Ghazipur
1751,Virno,0.701112,611.0,Sep 2023,Ghazipur
1752,Sahpau,0.823598,19.0,Sep 2023,Hathras
1753,Mursan,0.773367,235.0,Sep 2023,Hathras
1754,Sasni,0.785528,163.0,Sep 2023,Hathras
1756,Paraspur,0.722084,532.0,Sep 2023,Gonda
1757,Pandri Krapal,0.783238,180.0,Sep 2023,Gonda
1759,Chhapia,0.801217,87.0,Sep 2023,Gonda
1761,Belsar,0.741472,429.0,Sep 2023,Gonda
1762,Itia Thok,0.707692,583.0,Sep 2023,Gonda
1764,Babhanjot,0.712715,562.0,Sep 2023,Gonda
1766,Mankapur,0.711343,571.0,Sep 2023,Gonda
1767,Shahabad,0.786196,159.0,Sep 2023,Rampur
1768,Bilaspur,0.774521,230.0,Sep 2023,Rampur
1771,Milak,0.81289,56.0,Sep 2023,Rampur
1774,Rampur (Urban),0.637711,779.0,Sep 2023,Rampur
1775,Suar,0.764794,300.0,Sep 2023,Rampur
1776,Bakshi-Ka-Talab,0.756844,340.0,Sep 2023,Lucknow
1777,Lucknow (Urban),0.611315,807.0,Sep 2023,Lucknow
1779,Mohanlalganj,0.761571,318.0,Sep 2023,Lucknow
1783,Chinhat,0.720887,539.0,Sep 2023,Lucknow
1785,Malihabad,0.742715,425.0,Sep 2023,Lucknow
1786,Sarojaninagar,0.697446,621.0,Sep 2023,Lucknow
1787,Kakori,0.761813,314.0,Sep 2023,Lucknow
1788,Gosaiganj,0.711382,570.0,Sep 2023,Lucknow
1790,Sakaldiha,0.734471,467.0,Sep 2023,Chandauli
1792,Chandauli,0.608873,810.0,Sep 2023,Chandauli
1794,Chakia,0.787031,154.0,Sep 2023,Chandauli
1796,Barhani,0.791355,128.0,Sep 2023,Chandauli
1797,Chandauli (Urban),0.508016,865.0,Sep 2023,Chandauli
1798,Deoria (Urban),0.438807,882.0,Sep 2023,Deoria
1800,Desai Deoria,0.639261,775.0,Sep 2023,Deoria
1801,Rampur Karkhana,0.698906,616.0,Sep 2023,Deoria
1803,Rudrapur,0.630343,792.0,Sep 2023,Deoria
1804,Pathar Dewa,0.737101,452.0,Sep 2023,Deoria
1806,Itwa,0.588689,832.0,Sep 2023,Siddharth Nagar
1807,Siddharth Nagar (Urban),0.435215,883.0,Sep 2023,Siddharth Nagar
1808,Khesraha,0.639425,774.0,Sep 2023,Siddharth Nagar
1809,Jogia Khas,0.512251,863.0,Sep 2023,Siddharth Nagar
1810,Shoharatgarh,0.590122,829.0,Sep 2023,Siddharth Nagar
1811,Lotan,0.710858,574.0,Sep 2023,Siddharth Nagar
1812,Bilari,0.727938,502.0,Sep 2023,Moradabad
1813,Moradabad,0.700218,612.0,Sep 2023,Moradabad
1814,Chhajlet,0.771699,245.0,Sep 2023,Moradabad
1815,Bhagatpur Tanda,0.798508,95.0,Sep 2023,Moradabad
1816,Fazilnagar,0.722626,529.0,Sep 2023,Kushinagar
1817,Hata,0.733565,478.0,Sep 2023,Kushinagar
1819,Motichak,0.780851,192.0,Sep 2023,Kushinagar
1821,Kushinagar (Urban),0.562507,846.0,Sep 2023,Kushinagar
1822,Sevarhi,0.794292,116.0,Sep 2023,Kushinagar
1825,Nebua Naurangiya,0.746241,406.0,Sep 2023,Kushinagar
1827,Padrauna,0.636968,781.0,Sep 2023,Kushinagar
1829,Lalaurikhera,0.808309,64.0,Sep 2023,Pilibhit
1830,Pilibhit (Urban),0.554667,851.0,Sep 2023,Pilibhit
1831,Puranpur,0.775133,226.0,Sep 2023,Pilibhit
1833,Barkhera,0.801758,86.0,Sep 2023,Pilibhit
1834,Bisalpur,0.769702,259.0,Sep 2023,Pilibhit
1835,Mariahu,0.668676,710.0,Sep 2023,Jaunpur
1837,Shahganj,0.750382,377.0,Sep 2023,Jaunpur
1838,Badlapur,0.791523,127.0,Sep 2023,Jaunpur
1839,Dobhi,0.693731,630.0,Sep 2023,Jaunpur
1842,Jalalpur,0.677976,681.0,Sep 2023,Jaunpur
1843,Baksha,0.710681,575.0,Sep 2023,Jaunpur
1844,Sujanganj,0.714597,559.0,Sep 2023,Jaunpur
1847,Sikrara,0.780033,200.0,Sep 2023,Jaunpur
1848,Suithakala,0.716187,554.0,Sep 2023,Jaunpur
1849,Mathura (Urban),0.522524,858.0,Sep 2023,Mathura
1850,Mathura,0.786687,157.0,Sep 2023,Mathura
1851,Nohjhil,0.750337,379.0,Sep 2023,Mathura
1853,Farah,0.657316,740.0,Sep 2023,Mathura
1854,Araniya,0.721363,536.0,Sep 2023,Bulandshahar
1855,Jahangirabad,0.768953,270.0,Sep 2023,Bulandshahar
1856,Khurja,0.643674,768.0,Sep 2023,Bulandshahar
1857,Bulandshahr,0.66956,708.0,Sep 2023,Bulandshahar
1858,Bhawan Bahadur Nagar,0.651204,752.0,Sep 2023,Bulandshahar
1859,Syana,0.750179,383.0,Sep 2023,Bulandshahar
1860,Unchagaon,0.746609,402.0,Sep 2023,Bulandshahar
1861,Unnao (Urban),0.70311,603.0,Sep 2023,Unnav
1864,Sumerpur,0.677059,684.0,Sep 2023,Unnav
1866,Purwa,0.779549,204.0,Sep 2023,Unnav
1867,Ganj Moradabad,0.811829,60.0,Sep 2023,Unnav
1868,Hasanganj,0.77715,216.0,Sep 2023,Unnav
1870,Hilauli,0.709191,580.0,Sep 2023,Unnav
1871,Auras,0.749153,389.0,Sep 2023,Unnav
1872,Gangoh,0.734095,472.0,Sep 2023,Saharanpur
1873,Nakur,0.821523,25.0,Sep 2023,Saharanpur
1874,Sarsawan,0.738286,444.0,Sep 2023,Saharanpur
1875,Puwarka,0.790961,130.0,Sep 2023,Saharanpur
1876,Nagal,0.785596,162.0,Sep 2023,Saharanpur
1877,Rampur Maniharan,0.733719,476.0,Sep 2023,Saharanpur
1880,Majhawa,0.649592,756.0,Sep 2023,Mirzapur
1883,Chhanvey,0.78536,166.0,Sep 2023,Mirzapur
1884,Narainpur,0.826057,17.0,Sep 2023,Mirzapur
1888,Nagar (City),0.801189,88.0,Sep 2023,Mirzapur
1890,Lalganj,0.787161,152.0,Sep 2023,Mirzapur
1891,Pahari,0.747739,398.0,Sep 2023,Mirzapur
1893,Kon,0.798056,97.0,Sep 2023,Mirzapur
1894,Nawabganj,0.724608,522.0,Sep 2023,Bareilly
1895,Shergarh,0.796933,103.0,Sep 2023,Bareilly
1897,Bhadpura,0.706474,588.0,Sep 2023,Bareilly
1898,Faridpur,0.668277,713.0,Sep 2023,Bareilly
1899,Majhgawan,0.661366,733.0,Sep 2023,Bareilly
1900,Baheri,0.654561,748.0,Sep 2023,Bareilly
1901,Bareily (Urban),0.5332,855.0,Sep 2023,Bareilly
1902,Mirganj,0.731922,484.0,Sep 2023,Bareilly
1903,Bhojipura,0.677095,683.0,Sep 2023,Bareilly
1905,Salon,0.7426,426.0,Sep 2023,Rae Bareli
1906,Khiron,0.796699,106.0,Sep 2023,Rae Bareli
1907,Rohniya,0.803276,83.0,Sep 2023,Rae Bareli
1908,Amawan,0.787051,153.0,Sep 2023,Rae Bareli
1911,Rae Bareli (Urban),0.620651,801.0,Sep 2023,Rae Bareli
1912,Rahi,0.729406,496.0,Sep 2023,Rae Bareli
1913,Jagatpur,0.822296,22.0,Sep 2023,Rae Bareli
1914,Sandalpur,0.717357,547.0,Sep 2023,Kanpur Dehat
1915,Derapur,0.670246,703.0,Sep 2023,Kanpur Dehat
1917,Rajpur,0.787499,148.0,Sep 2023,Kanpur Dehat
1920,Akbarpur,0.765258,296.0,Sep 2023,Kanpur Dehat
1921,Maitha,0.734708,466.0,Sep 2023,Kanpur Dehat
1922,Jagir,0.667608,716.0,Sep 2023,Mainpuri
1923,Bewar,0.664879,725.0,Sep 2023,Mainpuri
1924,Barnahal,0.631029,789.0,Sep 2023,Mainpuri
1925,Karhal,0.55507,850.0,Sep 2023,Mainpuri
1926,Kuraoli,0.694332,629.0,Sep 2023,Mainpuri
1928,Kishni,0.711227,573.0,Sep 2023,Mainpuri
1929,Araon,0.748625,392.0,Sep 2023,Firozabad
1931,Shikohabad,0.696705,625.0,Sep 2023,Firozabad
1932,Eka,0.572431,839.0,Sep 2023,Firozabad
1933,Phakharpur,0.608284,814.0,Sep 2023,Bahraich
1934,Huzoorpur,0.710011,577.0,Sep 2023,Bahraich
1935,Mahasi,0.704509,598.0,Sep 2023,Bahraich
1936,Tejwapur,0.649184,759.0,Sep 2023,Bahraich
1937,Kaisarganj,0.70973,578.0,Sep 2023,Bahraich
1938,Mihinpurwa,0.675872,688.0,Sep 2023,Bahraich
1939,Payagpur,0.780437,196.0,Sep 2023,Bahraich
1943,Bahraich (Urban),0.410475,885.0,Sep 2023,Bahraich
1944,Balaha,0.737943,448.0,Sep 2023,Bahraich
1945,Manda,0.822849,21.0,Sep 2023,Prayagraj
1946,Soraon,0.67879,678.0,Sep 2023,Prayagraj
1947,Handia,0.776934,217.0,Sep 2023,Prayagraj
1949,Bahria,0.737971,446.0,Sep 2023,Prayagraj
1950,Saidabad,0.826748,14.0,Sep 2023,Prayagraj
1953,Kaurihar,0.774203,232.0,Sep 2023,Prayagraj
1955,Uruwan,0.81406,49.0,Sep 2023,Prayagraj
1956,Prayagraj (Urban),0.625391,798.0,Sep 2023,Prayagraj
1958,Chaka,0.78604,160.0,Sep 2023,Prayagraj
1959,Shankargarh,0.759745,327.0,Sep 2023,Prayagraj
1960,Dhanupur,0.813993,50.0,Sep 2023,Prayagraj
1962,Bahadurpur,0.750254,382.0,Sep 2023,Prayagraj
1963,Phulpur,0.816531,43.0,Sep 2023,Prayagraj
1964,Powayan,0.593594,824.0,Sep 2023,Shahjahanpur
1965,Mirzapur,0.635837,783.0,Sep 2023,Shahjahanpur
1966,Khutar,0.691963,635.0,Sep 2023,Shahjahanpur
1967,Sindhauli,0.6931,632.0,Sep 2023,Shahjahanpur
1968,Katra (Khudaganj),0.656118,745.0,Sep 2023,Shahjahanpur
1969,Kalan,0.667611,715.0,Sep 2023,Shahjahanpur
1970,Shahjahanpur (Urban),0.511001,864.0,Sep 2023,Shahjahanpur
1972,Jaitipur,0.693297,631.0,Sep 2023,Shahjahanpur
1974,Tilhar,0.762056,312.0,Sep 2023,Shahjahanpur
1975,Nigohi,0.484173,876.0,Sep 2023,Shahjahanpur
1976,Banda,0.608858,811.0,Sep 2023,Shahjahanpur
1978,Chirgaon,0.821511,26.0,Sep 2023,Jhansi
1979,Moth,0.808584,63.0,Sep 2023,Jhansi
1980,Gursarai,0.806809,69.0,Sep 2023,Jhansi
1982,Babina,0.834677,4.0,Sep 2023,Jhansi
1984,Shamsabad,0.681664,675.0,Sep 2023,Agra
1986,Jagner,0.790665,133.0,Sep 2023,Agra
1987,Khandauli,0.736748,454.0,Sep 2023,Agra
1988,Barauli Ahir,0.702993,605.0,Sep 2023,Agra
1989,Achhnera,0.726364,513.0,Sep 2023,Agra
1990,Pinahat,0.814558,46.0,Sep 2023,Agra
1993,Etmadpur,0.762441,310.0,Sep 2023,Agra
1994,Newada,0.737962,447.0,Sep 2023,Kaushambi
1995,Sarsawan,0.821926,24.0,Sep 2023,Kaushambi
1996,Sirathu,0.768306,277.0,Sep 2023,Kaushambi
1997,Kaushambi,0.780302,198.0,Sep 2023,Kaushambi
1998,Manjhanpur,0.766178,288.0,Sep 2023,Kaushambi
2000,Kaushambi (Urban),0.670146,704.0,Sep 2023,Kaushambi
2001,Ghorawal,0.781794,184.0,Sep 2023,Sonbhadra
2002,Robertsganj,0.738239,445.0,Sep 2023,Sonbhadra
2003,Nagwa,0.778853,209.0,Sep 2023,Sonbhadra
2004,Devmai,0.751005,370.0,Sep 2023,Fatehpur
2005,Hathgaon,0.688207,647.0,Sep 2023,Fatehpur
2006,Vijayipur,0.802894,84.0,Sep 2023,Fatehpur
2007,Bahua,0.774793,228.0,Sep 2023,Fatehpur
2010,Asothar,0.746533,403.0,Sep 2023,Fatehpur
2011,Airaya,0.764301,304.0,Sep 2023,Fatehpur
2012,Dhata,0.791901,123.0,Sep 2023,Fatehpur
2013,Rani Ki Sarai,0.720043,543.0,Sep 2023,Azamgarh
2014,Mehnagar,0.676646,685.0,Sep 2023,Azamgarh
2015,Jahanaganj,0.600761,820.0,Sep 2023,Azamgarh
2017,Tarwa,0.605254,817.0,Sep 2023,Azamgarh
2018,Mohammadpur,0.638396,778.0,Sep 2023,Azamgarh
2019,Bilariyaganj,0.664613,726.0,Sep 2023,Azamgarh
2020,Tahbarpur,0.458187,879.0,Sep 2023,Azamgarh
2021,Pawai,0.669992,705.0,Sep 2023,Azamgarh
2022,Martinganj,0.665268,723.0,Sep 2023,Azamgarh
2023,Haraiya,0.674646,692.0,Sep 2023,Azamgarh
2024,Atraulia,0.75116,369.0,Sep 2023,Azamgarh
2026,Pindra,0.76131,319.0,Sep 2023,Varanasi
2027,Baragaon,0.801003,89.0,Sep 2023,Varanasi
2028,Sevapuri,0.803783,80.0,Sep 2023,Varanasi
2029,Varanasi (Urban),0.643616,769.0,Sep 2023,Varanasi
2030,Chirai Gaon,0.734135,471.0,Sep 2023,Varanasi
2031,Sahawar,0.697846,620.0,Sep 2023,Kasganj
2032,Amanpur,0.74831,394.0,Sep 2023,Kasganj
2033,Kasganj,0.791867,124.0,Sep 2023,Kasganj
2034,Soron,0.707098,586.0,Sep 2023,Kasganj
2036,Ganj Dundwara,0.719896,544.0,Sep 2023,Kasganj
2038,Ailiya,0.696365,626.0,Sep 2023,Sitapur
2039,Kasmanda,0.743718,418.0,Sep 2023,Sitapur
2041,Maholi,0.75091,372.0,Sep 2023,Sitapur
2042,Khairabad,0.773719,234.0,Sep 2023,Sitapur
2043,Machhrehta,0.731342,487.0,Sep 2023,Sitapur
2045,Biswan,0.687344,653.0,Sep 2023,Sitapur
2047,Hargaon,0.754433,354.0,Sep 2023,Sitapur
2048,Sitapur (Urban),0.611216,808.0,Sep 2023,Sitapur
2049,Parsendi,0.753915,356.0,Sep 2023,Sitapur
2050,Laharpur,0.754227,355.0,Sep 2023,Sitapur
2051,Rampur Mathura,0.785192,168.0,Sep 2023,Sitapur
2052,Pisawan,0.779308,205.0,Sep 2023,Sitapur
2054,Sakran,0.732659,482.0,Sep 2023,Sitapur
2055,Barhpura,0.778968,207.0,Sep 2023,Etawah
2056,Jaswantnagar,0.707124,584.0,Sep 2023,Etawah
2057,Mahewa,0.764801,299.0,Sep 2023,Etawah
2058,Sefai,0.290395,888.0,Sep 2023,Etawah
2059,Mandawara,0.73363,477.0,Sep 2023,Lalitpur
2061,Lalitpur  (Urban),0.680283,677.0,Sep 2023,Lalitpur
2062,Jakhaura,0.803636,82.0,Sep 2023,Lalitpur
2064,Talbehat,0.775393,224.0,Sep 2023,Lalitpur
2067,Mahrauni,0.736923,453.0,Sep 2023,Lalitpur
2069,Bar,0.74916,388.0,Sep 2023,Lalitpur
2071,Ahrori,0.803771,81.0,Sep 2023,Hardoi
2072,Mallawan,0.746392,405.0,Sep 2023,Hardoi
2073,Shahabad,0.756644,342.0,Sep 2023,Hardoi
2076,Harpalpur,0.786486,158.0,Sep 2023,Hardoi
2077,Bilgram,0.780967,190.0,Sep 2023,Hardoi
2079,Madhoganj,0.787262,150.0,Sep 2023,Hardoi
2081,Hariyawan,0.708007,582.0,Sep 2023,Hardoi
2082,Sandila,0.766186,287.0,Sep 2023,Hardoi
2084,Bharawan,0.795841,112.0,Sep 2023,Hardoi
2086,Maunathbhanjan (Urban),0.57858,836.0,Sep 2023,Maunathbhanjan
2087,Fatehpur Madaun,0.815165,44.0,Sep 2023,Maunathbhanjan
2089,Ghosi,0.790554,134.0,Sep 2023,Maunathbhanjan
2090,Ratanpura,0.819574,30.0,Sep 2023,Maunathbhanjan
2094,Dohari Ghat,0.824683,18.0,Sep 2023,Maunathbhanjan
2095,Sambhal (Urban),0.678138,680.0,Sep 2023,Sambhal
2097,Bahjoi,0.77427,231.0,Sep 2023,Sambhal
2098,Badokhar Khurd,0.734037,474.0,Sep 2023,Banda
2101,Naraini,0.726623,510.0,Sep 2023,Banda
2102,Banda (Urban) ,0.652086,750.0,Sep 2023,Banda
2104,Tindwari,0.516418,861.0,Sep 2023,Banda
2105,Jaspura,0.740152,437.0,Sep 2023,Banda
2106,Kabrai (Mahoba),0.760047,326.0,Sep 2023,Mahoba
2107,Mahoba (Urban),0.677951,682.0,Sep 2023,Mahoba
2109,Charkhari,0.735203,463.0,Sep 2023,Mahoba
2110,Ghatampur,0.708933,581.0,Sep 2023,Kanpur Nagar
2112,Kalyanpur,0.796469,108.0,Sep 2023,Kanpur Nagar
2113,Bilhaur,0.739278,441.0,Sep 2023,Kanpur Nagar
2114,Patara,0.721983,533.0,Sep 2023,Kanpur Nagar
2116,Haldaur(Khari Jhalu),0.647355,764.0,Sep 2023,Bijnor
2117,Budhanpur Seohara,0.758561,336.0,Sep 2023,Bijnor
2118,Kotwali,0.766225,286.0,Sep 2023,Bijnor
2120,Bijnor  (Urban)  ,0.692418,633.0,Sep 2023,Bijnor
2121,Nehtaur,0.746433,404.0,Sep 2023,Bijnor
2122,Kiratpur,0.744667,415.0,Sep 2023,Bijnor
2123,Patti,0.726523,512.0,Sep 2023,Pratapgarh
2124,Baba Belkharnath,0.640319,773.0,Sep 2023,Pratapgarh
2125,Mandhata,0.706419,591.0,Sep 2023,Pratapgarh
2127,Rampur Sangramgarh,0.684692,664.0,Sep 2023,Pratapgarh
2129,Pratapgarh (Sadar),0.779683,201.0,Sep 2023,Pratapgarh
2130,Magraura,0.572181,840.0,Sep 2023,Pratapgarh
2131,Vihar,0.687267,655.0,Sep 2023,Pratapgarh
2132,Pratapgarh (Urban),0.50193,869.0,Sep 2023,Pratapgarh
2133,Kalakankar,0.702952,606.0,Sep 2023,Pratapgarh
2135,Bankati,0.655107,747.0,Sep 2023,Basti
2136,Dubaulia,0.727613,505.0,Sep 2023,Basti
2137,Bahadurpur,0.686879,658.0,Sep 2023,Basti
2138,Rudhauli,0.761127,321.0,Sep 2023,Basti
2139,Paras Rampur,0.785505,164.0,Sep 2023,Basti
2140,Gaur,0.714288,560.0,Sep 2023,Basti
2142,Saltaua Gopal Pur,0.768056,279.0,Sep 2023,Basti
2144,Basti,0.568775,843.0,Sep 2023,Basti
2145,Gajraula,0.76983,257.0,Sep 2023,Amroha
2147,Amroha (Urban),0.496729,871.0,Sep 2023,Amroha
