calc_type,date,district,district_id,div_map_id,division,domain,indicator,indicator_id,map_id,perc_point,type,year
p,2018-04-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,delivery_care,% of live babies weighted at birth,indicator_6,172,97.0299418534514,delivery_care,2019
p,2017-04-01,Hardoi,MTIkUw5q5pX,155,Lucknow Division,ANC,% ANC registered in First trimester,indicator_1,155,43.587154444628375,ANC,2018
p,2018-04-01,Hardoi,MTIkUw5q5pX,155,Lucknow Division,ANC,% ANC registered in First trimester,indicator_1,155,46.99736503462222,ANC,2019
p,2017-04-01,Hardoi,MTIkUw5q5pX,155,Lucknow Division,ANC,% of severe anaemic PW treated,indicator_4,155,25.0,ANC,2018
p,2018-04-01,Hardoi,MTIkUw5q5pX,155,Lucknow Division,ANC,% of severe anaemic PW treated,indicator_4,155,24.011591802939357,ANC,2019
p,2017-04-01,Hardoi,MTIkUw5q5pX,155,Lucknow Division,PNC,% of new born breastfed within one hour of birth,indicator_5,155,88.49553630326751,PNC,2018
p,2018-04-01,Hardoi,MTIkUw5q5pX,155,Lucknow Division,PNC,% of new born breastfed within one hour of birth,indicator_5,155,88.68945705257109,PNC,2019
p,2017-04-01,Hardoi,MTIkUw5q5pX,155,Lucknow Division,delivery_care,% of live babies weighted at birth,indicator_6,155,90.21285016931265,delivery_care,2018
p,2018-04-01,Hardoi,MTIkUw5q5pX,155,Lucknow Division,delivery_care,% of live babies weighted at birth,indicator_6,155,89.94771617351336,delivery_care,2019
p,2017-04-01,Gautam Buddha Nagar,bNmwkrQeP3e,140,Meerut Division,ANC,% ANC registered in First trimester,indicator_1,141,64.97925311203319,ANC,2018
p,2018-04-01,Gautam Buddha Nagar,bNmwkrQeP3e,140,Meerut Division,ANC,% ANC registered in First trimester,indicator_1,141,67.85563743659064,ANC,2019
p,2017-04-01,Gautam Buddha Nagar,bNmwkrQeP3e,140,Meerut Division,ANC,% of severe anaemic PW treated,indicator_4,141,23.757371524852573,ANC,2018
p,2018-04-01,Gautam Buddha Nagar,bNmwkrQeP3e,140,Meerut Division,ANC,% of severe anaemic PW treated,indicator_4,141,50.51753881541116,ANC,2019
p,2017-04-01,Gautam Buddha Nagar,bNmwkrQeP3e,140,Meerut Division,PNC,% of new born breastfed within one hour of birth,indicator_5,141,93.65789473684212,PNC,2018
p,2018-04-01,Gautam Buddha Nagar,bNmwkrQeP3e,140,Meerut Division,PNC,% of new born breastfed within one hour of birth,indicator_5,141,67.11807525051995,PNC,2019
p,2017-04-01,Gautam Buddha Nagar,bNmwkrQeP3e,140,Meerut Division,delivery_care,% of live babies weighted at birth,indicator_6,141,97.59649122807016,delivery_care,2018
p,2018-04-01,Gautam Buddha Nagar,bNmwkrQeP3e,140,Meerut Division,delivery_care,% of live babies weighted at birth,indicator_6,141,100.0,delivery_care,2019
p,2017-04-01,Ballia,oNDvGBE5fLq,193,Azamgarh Division,ANC,% ANC registered in First trimester,indicator_1,193,39.99886059363072,ANC,2018
p,2018-04-01,Ballia,oNDvGBE5fLq,193,Azamgarh Division,ANC,% ANC registered in First trimester,indicator_1,193,44.9383048112161,ANC,2019
p,2017-04-01,Ballia,oNDvGBE5fLq,193,Azamgarh Division,ANC,% of severe anaemic PW treated,indicator_4,193,26.912181303116146,ANC,2018
p,2018-04-01,Ballia,oNDvGBE5fLq,193,Azamgarh Division,ANC,% of severe anaemic PW treated,indicator_4,193,30.135557872784148,ANC,2019
p,2017-04-01,Ballia,oNDvGBE5fLq,193,Azamgarh Division,PNC,% of new born breastfed within one hour of birth,indicator_5,193,91.1388964392498,PNC,2018
p,2018-04-01,Ballia,oNDvGBE5fLq,193,Azamgarh Division,PNC,% of new born breastfed within one hour of birth,indicator_5,193,97.04475433760338,PNC,2019
p,2017-04-01,Ballia,oNDvGBE5fLq,193,Azamgarh Division,delivery_care,% of live babies weighted at birth,indicator_6,193,95.6005125616433,delivery_care,2018
p,2018-04-01,Ballia,oNDvGBE5fLq,193,Azamgarh Division,delivery_care,% of live babies weighted at birth,indicator_6,193,96.8116588292525,delivery_care,2019
p,2017-04-01,Firozabad,eJTsuE56XDF,146,Agra Division,ANC,% ANC registered in First trimester,indicator_1,147,45.85515693301304,ANC,2018
p,2018-04-01,Firozabad,eJTsuE56XDF,146,Agra Division,ANC,% ANC registered in First trimester,indicator_1,147,47.94852418207682,ANC,2019
p,2017-04-01,Firozabad,eJTsuE56XDF,146,Agra Division,ANC,% of severe anaemic PW treated,indicator_4,147,25.293217746047937,ANC,2018
p,2018-04-01,Firozabad,eJTsuE56XDF,146,Agra Division,ANC,% of severe anaemic PW treated,indicator_4,147,16.3330078125,ANC,2019
p,2017-04-01,Firozabad,eJTsuE56XDF,146,Agra Division,PNC,% of new born breastfed within one hour of birth,indicator_5,147,67.40518629574102,PNC,2018
p,2018-04-01,Firozabad,eJTsuE56XDF,146,Agra Division,PNC,% of new born breastfed within one hour of birth,indicator_5,147,77.14189718893493,PNC,2019
p,2017-04-01,Firozabad,eJTsuE56XDF,146,Agra Division,delivery_care,% of live babies weighted at birth,indicator_6,147,65.56721639180411,delivery_care,2018
p,2018-04-01,Firozabad,eJTsuE56XDF,146,Agra Division,delivery_care,% of live babies weighted at birth,indicator_6,147,80.1545525814761,delivery_care,2019
p,2017-04-01,Lucknow,MfHac5N78aK,155,Lucknow Division,ANC,% ANC registered in First trimester,indicator_1,157,55.27889285012492,ANC,2018
p,2018-04-01,Lucknow,MfHac5N78aK,155,Lucknow Division,ANC,% ANC registered in First trimester,indicator_1,157,52.014372114196526,ANC,2019
p,2017-04-01,Lucknow,MfHac5N78aK,155,Lucknow Division,ANC,% of severe anaemic PW treated,indicator_4,157,51.96324143692564,ANC,2018
p,2018-04-01,Lucknow,MfHac5N78aK,155,Lucknow Division,ANC,% of severe anaemic PW treated,indicator_4,157,49.2630551488531,ANC,2019
p,2017-04-01,Lucknow,MfHac5N78aK,155,Lucknow Division,PNC,% of new born breastfed within one hour of birth,indicator_5,157,87.33636301973817,PNC,2018
p,2018-04-01,Lucknow,MfHac5N78aK,155,Lucknow Division,PNC,% of new born breastfed within one hour of birth,indicator_5,157,84.39682633901188,PNC,2019
p,2017-04-01,Lucknow,MfHac5N78aK,155,Lucknow Division,delivery_care,% of live babies weighted at birth,indicator_6,157,97.72095231635352,delivery_care,2018
p,2018-04-01,Lucknow,MfHac5N78aK,155,Lucknow Division,delivery_care,% of live babies weighted at birth,indicator_6,157,99.0621475633644,delivery_care,2019
p,2017-04-01,Balrampur,uS0pNSxN3sS,182,Gonda Division,ANC,% ANC registered in First trimester,indicator_1,182,30.697391127804284,ANC,2018
p,2018-04-01,Balrampur,uS0pNSxN3sS,182,Gonda Division,ANC,% ANC registered in First trimester,indicator_1,182,53.911509297029454,ANC,2019
p,2017-04-01,Balrampur,uS0pNSxN3sS,182,Gonda Division,ANC,% of severe anaemic PW treated,indicator_4,182,10.081190798376184,ANC,2018
p,2018-04-01,Balrampur,uS0pNSxN3sS,182,Gonda Division,ANC,% of severe anaemic PW treated,indicator_4,182,71.7488050107137,ANC,2019
p,2017-04-01,Balrampur,uS0pNSxN3sS,182,Gonda Division,PNC,% of new born breastfed within one hour of birth,indicator_5,182,95.44759825327513,PNC,2018
p,2018-04-01,Balrampur,uS0pNSxN3sS,182,Gonda Division,PNC,% of new born breastfed within one hour of birth,indicator_5,182,97.6611363198374,PNC,2019
p,2017-04-01,Balrampur,uS0pNSxN3sS,182,Gonda Division,delivery_care,% of live babies weighted at birth,indicator_6,182,95.99344978165941,delivery_care,2018
p,2018-04-01,Balrampur,uS0pNSxN3sS,182,Gonda Division,delivery_care,% of live babies weighted at birth,indicator_6,182,98.77713344662659,delivery_care,2019
p,2017-04-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,ANC,% ANC registered in First trimester,indicator_1,192,35.52520501688374,ANC,2018
p,2018-04-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,ANC,% ANC registered in First trimester,indicator_1,192,40.329999843006746,ANC,2019
p,2017-04-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,ANC,% of severe anaemic PW treated,indicator_4,192,17.475728155339805,ANC,2018
p,2018-04-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,ANC,% of severe anaemic PW treated,indicator_4,192,18.955042527339003,ANC,2019
p,2017-04-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,PNC,% of new born breastfed within one hour of birth,indicator_5,192,60.366431504685686,PNC,2018
p,2018-04-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,PNC,% of new born breastfed within one hour of birth,indicator_5,192,50.40455840455841,PNC,2019
p,2017-04-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,delivery_care,% of live babies weighted at birth,indicator_6,192,68.11098241549963,delivery_care,2018
