block,block_id,calc_type,date,district,district_id,division,domain,indicator,indicator_id,perc_point,quarter,type,year
Muzaffarnagar Purkaji,kE3pd8aET6C,p,2019-04-01,Muzaffarnagar,MVQs2RrS1Nw,Saharanpur Division,ANC,% ANC registered in First trimester,indicator_1,59.4,1,ANC,2020
Muzaffarnagar Purkaji,kE3pd8aET6C,p,2019-07-01,Muzaffarnagar,MVQs2RrS1Nw,Saharanpur Division,ANC,% ANC registered in First trimester,indicator_1,40.377632534495284,2,ANC,2020
Muzaffarnagar Purkaji,kE3pd8aET6C,p,2019-10-01,Muzaffarnagar,MVQs2RrS1Nw,Saharanpur Division,ANC,% ANC registered in First trimester,indicator_1,38.056013179571664,3,ANC,2020
Bhadaiyan,vXwJYqDZIzf,p,2017-10-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,ANC,% ANC registered in First trimester,indicator_1,42.19948849104859,3,ANC,2018
Bhadaiyan,vXwJYqDZIzf,p,2018-01-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,ANC,% ANC registered in First trimester,indicator_1,45.924225028702644,4,ANC,2018
Bhadaiyan,vXwJYqDZIzf,p,2018-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,ANC,% ANC registered in First trimester,indicator_1,45.614035087719294,1,ANC,2019
Bhadaiyan,vXwJYqDZIzf,p,2018-07-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,ANC,% ANC registered in First trimester,indicator_1,47.49596122778675,2,ANC,2019
Bhadaiyan,vXwJYqDZIzf,p,2018-10-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,ANC,% ANC registered in First trimester,indicator_1,68.07511737089203,3,ANC,2019
Bhadaiyan,vXwJYqDZIzf,p,2019-01-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,ANC,% ANC registered in First trimester,indicator_1,53.82830626450115,4,ANC,2019
Bhadaiyan,vXwJYqDZIzf,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,ANC,% ANC registered in First trimester,indicator_1,43.87464387464387,1,ANC,2020
Bhadaiyan,vXwJYqDZIzf,p,2019-07-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,ANC,% ANC registered in First trimester,indicator_1,50.436953807740316,2,ANC,2020
Bhadaiyan,vXwJYqDZIzf,p,2019-10-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,ANC,% ANC registered in First trimester,indicator_1,60.44142614601019,3,ANC,2020
Kanpur Dehat Ghinjhak,HddGvNsPs8y,p,2017-10-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,28.57142857142857,3,ANC,2018
Kanpur Dehat Ghinjhak,HddGvNsPs8y,p,2018-01-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,35.353535353535364,4,ANC,2018
