calc_type,date,district_name,district_id,div_map_id,division,domain_name,indicator_name,indicator_id,map_id,perc_point,quarter,type_name,year,district_id_num
p,2023-07-01,Lucknow,MfHac5N78aK,155,Lucknow Division,Fund,% of fund utilized against approved budget,35,157,57.3,2,Fund,2024,53
p,2023-07-01,Lucknow,MfHac5N78aK,155,Lucknow Division,TB,Treatment Success Rate  as per total cases notified,37,157,100.0,2,TB,2024,53
p,2023-07-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,JSY,% JSY Incentive,36,187,62.51042535446205,2,JSY,2024,10
p,2023-07-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,Fund,% of fund utilized against approved budget,35,187,65.19999999999999,2,Fund,2024,10
p,2023-07-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,TB,Treatment Success Rate  as per total cases notified,37,187,100.0,2,TB,2024,10
p,2023-07-01,Mathura,KP2BUB1npih,146,Agra Division,JSY,% JSY Incentive,36,145,25.45421008945864,2,JSY,2024,24
p,2023-07-01,Mathura,KP2BUB1npih,146,Agra Division,Fund,% of fund utilized against approved budget,35,145,78.7,2,Fund,2024,24
p,2023-07-01,Mathura,KP2BUB1npih,146,Agra Division,TB,Treatment Success Rate  as per total cases notified,37,145,100.0,2,TB,2024,24
p,2023-07-01,Gorakhpur,vR85cHdsw1w,188,Gorakhpur Division,JSY,% JSY Incentive,36,188,53.38151781104801,2,JSY,2024,45
p,2023-07-01,Gorakhpur,vR85cHdsw1w,188,Gorakhpur Division,Fund,% of fund utilized against approved budget,35,188,73.0,2,Fund,2024,45
p,2023-07-01,Gorakhpur,vR85cHdsw1w,188,Gorakhpur Division,TB,Treatment Success Rate  as per total cases notified,37,188,100.0,2,TB,2024,45
p,2023-07-01,Siddharth Nagar,cP0p8qfm3il,185,Basti Division,JSY,% JSY Incentive,36,184,23.76594364776249,2,JSY,2024,1
p,2023-07-01,Siddharth Nagar,cP0p8qfm3il,185,Basti Division,Fund,% of fund utilized against approved budget,35,184,63.0,2,Fund,2024,1
p,2023-07-01,Siddharth Nagar,cP0p8qfm3il,185,Basti Division,TB,Treatment Success Rate  as per total cases notified,37,184,100.0,2,TB,2024,1
p,2023-07-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,JSY,% JSY Incentive,36,195,23.049219687875148,2,JSY,2024,67
p,2023-07-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,Fund,% of fund utilized against approved budget,35,195,81.5,2,Fund,2024,67
p,2023-07-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,TB,Treatment Success Rate  as per total cases notified,37,195,100.0,2,TB,2024,67
p,2023-07-01,Kanpur Dehat,k3D0AumUCiC,161,Kanpur Nagar Division,JSY,% JSY Incentive,36,163,60.38995027479718,2,JSY,2024,57
p,2023-07-01,Kanpur Dehat,k3D0AumUCiC,161,Kanpur Nagar Division,Fund,% of fund utilized against approved budget,35,163,62.9,2,Fund,2024,57
p,2023-07-01,Kanpur Dehat,k3D0AumUCiC,161,Kanpur Nagar Division,TB,Treatment Success Rate  as per total cases notified,37,163,100.0,2,TB,2024,57
p,2023-07-01,Rae Bareli,lLvTDpBDY8u,155,Lucknow Division,JSY,% JSY Incentive,36,158,68.53053882849768,2,JSY,2024,59
p,2023-07-01,Rae Bareli,lLvTDpBDY8u,155,Lucknow Division,Fund,% of fund utilized against approved budget,35,158,66.3,2,Fund,2024,59
p,2023-07-01,Rae Bareli,lLvTDpBDY8u,155,Lucknow Division,TB,Treatment Success Rate  as per total cases notified,37,158,100.0,2,TB,2024,59
p,2023-07-01,Sitapur,XxaOowFtkiJ,155,Lucknow Division,JSY,% JSY Incentive,36,154,71.50893448047651,2,JSY,2024,60
p,2023-07-01,Sitapur,XxaOowFtkiJ,155,Lucknow Division,Fund,% of fund utilized against approved budget,35,154,55.8,2,Fund,2024,60
p,2023-07-01,Sitapur,XxaOowFtkiJ,155,Lucknow Division,TB,Treatment Success Rate  as per total cases notified,37,154,100.0,2,TB,2024,60
p,2023-07-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,JSY,% JSY Incentive,36,174,35.479306685532364,2,JSY,2024,63
p,2023-07-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,Fund,% of fund utilized against approved budget,35,174,72.6,2,Fund,2024,63
p,2023-07-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,TB,Treatment Success Rate  as per total cases notified,37,174,100.0,2,TB,2024,63
p,2023-07-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,JSY,% JSY Incentive,36,161,49.55095198179858,2,JSY,2024,62
p,2023-07-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,Fund,% of fund utilized against approved budget,35,161,70.9,2,Fund,2024,62
p,2023-07-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,TB,Treatment Success Rate  as per total cases notified,37,161,100.0,2,TB,2024,62
p,2023-07-01,Deoria,Tf9b9qcbghH,188,Gorakhpur Division,JSY,% JSY Incentive,36,190,41.78835301646402,2,JSY,2024,19
p,2023-07-01,Deoria,Tf9b9qcbghH,188,Gorakhpur Division,Fund,% of fund utilized against approved budget,35,190,62.6,2,Fund,2024,19
p,2023-07-01,Deoria,Tf9b9qcbghH,188,Gorakhpur Division,TB,Treatment Success Rate  as per total cases notified,37,190,100.0,2,TB,2024,19
