date,block,block_id,subindicator_id,value,quarter,year,sub_id,calc_type,map_id,district,district_id,indicator_id_var,block_id_num,indicator_id
2023.0,Reusa,W91p7yS5r9P,t03VPkJ5UXd,9487.0,,2024.0,7b,p,251.0,Sitapur,XxaOowFtkiJ,indicator_7,443,7
2023.0,Reusa,W91p7yS5r9P,g69FuEghiM5,9582.0,,2024.0,2d,p,251.0,Sitapur,XxaOowFtkiJ,indicator_2,443,2
2023.0,Khiarabad,ch0hBYu0VuS,TmeumlBaObG,7663.0,,2024.0,10b,p,248.0,Sitapur,XxaOowFtkiJ,indicator_10,329,10
2023.0,Khiarabad,ch0hBYu0VuS,t03VPkJ5UXd,6812.0,,2024.0,7b,p,248.0,Sitapur,XxaOowFtkiJ,indicator_7,329,7
2023.0,Khiarabad,ch0hBYu0VuS,g69FuEghiM5,6880.0,,2024.0,2d,p,248.0,Sitapur,XxaOowFtkiJ,indicator_2,329,2
2023.0,Machrehta,eiVpF4VfZGS,TmeumlBaObG,7125.0,,2024.0,10b,p,243.0,Sitapur,XxaOowFtkiJ,indicator_10,698,10
2023.0,Machrehta,eiVpF4VfZGS,t03VPkJ5UXd,6333.0,,2024.0,7b,p,243.0,Sitapur,XxaOowFtkiJ,indicator_7,698,7
2023.0,Machrehta,eiVpF4VfZGS,g69FuEghiM5,6396.0,,2024.0,2d,p,243.0,Sitapur,XxaOowFtkiJ,indicator_2,698,2
2023.0,Mahmudabad Sitapur,gCv411YjGXv,TmeumlBaObG,8671.0,,2024.0,10b,p,255.0,Sitapur,XxaOowFtkiJ,indicator_10,606,10
2023.0,Mahmudabad Sitapur,gCv411YjGXv,t03VPkJ5UXd,7708.0,,2024.0,7b,p,255.0,Sitapur,XxaOowFtkiJ,indicator_7,606,7
2023.0,Mahmudabad Sitapur,gCv411YjGXv,g69FuEghiM5,7785.0,,2024.0,2d,p,255.0,Sitapur,XxaOowFtkiJ,indicator_2,606,2
2023.0,Biswan,gSwqRR5qMEE,TmeumlBaObG,12679.0,,2024.0,10b,p,253.0,Sitapur,XxaOowFtkiJ,indicator_10,637,10
2023.0,Biswan,gSwqRR5qMEE,t03VPkJ5UXd,11270.0,,2024.0,7b,p,253.0,Sitapur,XxaOowFtkiJ,indicator_7,637,7
2023.0,Biswan,gSwqRR5qMEE,g69FuEghiM5,11383.0,,2024.0,2d,p,253.0,Sitapur,XxaOowFtkiJ,indicator_2,637,2
2023.0,Behta,nKJmMxPaEZ9,TmeumlBaObG,9465.0,,2024.0,10b,p,250.0,Sitapur,XxaOowFtkiJ,indicator_10,657,10
2023.0,Behta,nKJmMxPaEZ9,t03VPkJ5UXd,8414.0,,2024.0,7b,p,250.0,Sitapur,XxaOowFtkiJ,indicator_7,657,7
2023.0,Behta,nKJmMxPaEZ9,g69FuEghiM5,8498.0,,2024.0,2d,p,250.0,Sitapur,XxaOowFtkiJ,indicator_2,657,2
