calc_type,date,district_name,district_id,div_map_id,division,domain_name,indicator_name,indicator_id,map_id,perc_point,quarter,type_name,year,district_id_num
p,2023-01-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,JSY,% JSY Incentive,36,170,66.89386562804285,4,JSY,2023,47
p,2023-01-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,Fund,% of fund utilized against approved budget,35,170,34.7,4,Fund,2023,47
p,2023-01-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,TB,Treatment Success Rate  as per total cases notified,37,170,87.2,4,TB,2023,47
p,2023-01-01,Meerut,v8YGmR7nOdj,140,Meerut Division,JSY,% JSY Incentive,36,138,72.94617563739378,4,JSY,2023,30
p,2023-01-01,Meerut,v8YGmR7nOdj,140,Meerut Division,Fund,% of fund utilized against approved budget,35,138,34.2,4,Fund,2023,30
p,2023-01-01,Meerut,v8YGmR7nOdj,140,Meerut Division,TB,Treatment Success Rate  as per total cases notified,37,138,82.9,4,TB,2023,30
p,2023-01-01,Bagpat,HJIS3IrQ0Nj,140,Meerut Division,JSY,% JSY Incentive,36,139,37.3046875,4,JSY,2023,66
p,2023-01-01,Bagpat,HJIS3IrQ0Nj,140,Meerut Division,Fund,% of fund utilized against approved budget,35,139,29.5,4,Fund,2023,66
p,2023-01-01,Bagpat,HJIS3IrQ0Nj,140,Meerut Division,TB,Treatment Success Rate  as per total cases notified,37,139,86.6,4,TB,2023,66
p,2023-01-01,Jalaun,NL5xiiHZQSC,165,Jhansi Division,JSY,% JSY Incentive,36,165,96.55396618985695,4,JSY,2023,4
p,2023-01-01,Jalaun,NL5xiiHZQSC,165,Jhansi Division,Fund,% of fund utilized against approved budget,35,165,29.1,4,Fund,2023,4
p,2023-01-01,Jalaun,NL5xiiHZQSC,165,Jhansi Division,TB,Treatment Success Rate  as per total cases notified,37,165,88.4,4,TB,2023,4
p,2023-01-01,Firozabad,eJTsuE56XDF,146,Agra Division,JSY,% JSY Incentive,36,147,66.09870740305523,4,JSY,2023,27
p,2023-01-01,Firozabad,eJTsuE56XDF,146,Agra Division,Fund,% of fund utilized against approved budget,35,147,31.4,4,Fund,2023,27
p,2023-01-01,Firozabad,eJTsuE56XDF,146,Agra Division,TB,Treatment Success Rate  as per total cases notified,37,147,82.9,4,TB,2023,27
p,2023-01-01,Lucknow,MfHac5N78aK,155,Lucknow Division,JSY,% JSY Incentive,36,157,16.308524263554858,4,JSY,2023,53
p,2023-01-01,Lucknow,MfHac5N78aK,155,Lucknow Division,Fund,% of fund utilized against approved budget,35,157,27.3,4,Fund,2023,53
p,2023-01-01,Lucknow,MfHac5N78aK,155,Lucknow Division,TB,Treatment Success Rate  as per total cases notified,37,157,87.7,4,TB,2023,53
p,2023-01-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,JSY,% JSY Incentive,36,187,75.5464809031948,4,JSY,2023,10
p,2023-01-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,Fund,% of fund utilized against approved budget,35,187,34.8,4,Fund,2023,10
p,2023-01-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,TB,Treatment Success Rate  as per total cases notified,37,187,89.7,4,TB,2023,10
p,2023-01-01,Mathura,KP2BUB1npih,146,Agra Division,JSY,% JSY Incentive,36,145,37.324393358876115,4,JSY,2023,24
p,2023-01-01,Mathura,KP2BUB1npih,146,Agra Division,Fund,% of fund utilized against approved budget,35,145,34.3,4,Fund,2023,24
p,2023-01-01,Mathura,KP2BUB1npih,146,Agra Division,TB,Treatment Success Rate  as per total cases notified,37,145,86.6,4,TB,2023,24
p,2023-01-01,Gorakhpur,vR85cHdsw1w,188,Gorakhpur Division,JSY,% JSY Incentive,36,188,49.896859958743974,4,JSY,2023,45
p,2023-01-01,Gorakhpur,vR85cHdsw1w,188,Gorakhpur Division,Fund,% of fund utilized against approved budget,35,188,32.2,4,Fund,2023,45
p,2023-01-01,Gorakhpur,vR85cHdsw1w,188,Gorakhpur Division,TB,Treatment Success Rate  as per total cases notified,37,188,89.9,4,TB,2023,45
p,2023-01-01,Siddharth Nagar,cP0p8qfm3il,185,Basti Division,JSY,% JSY Incentive,36,184,10.549921996879878,4,JSY,2023,1
p,2023-01-01,Siddharth Nagar,cP0p8qfm3il,185,Basti Division,Fund,% of fund utilized against approved budget,35,184,28.8,4,Fund,2023,1
p,2023-01-01,Siddharth Nagar,cP0p8qfm3il,185,Basti Division,TB,Treatment Success Rate  as per total cases notified,37,184,83.9,4,TB,2023,1
p,2023-01-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,JSY,% JSY Incentive,36,195,23.48108108108109,4,JSY,2023,67
p,2023-01-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,Fund,% of fund utilized against approved budget,35,195,32.8,4,Fund,2023,67
p,2023-01-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,TB,Treatment Success Rate  as per total cases notified,37,195,83.8,4,TB,2023,67
p,2023-01-01,Kanpur Dehat,k3D0AumUCiC,161,Kanpur Nagar Division,JSY,% JSY Incentive,36,163,71.04265402843602,4,JSY,2023,57
p,2023-01-01,Kanpur Dehat,k3D0AumUCiC,161,Kanpur Nagar Division,Fund,% of fund utilized against approved budget,35,163,32.3,4,Fund,2023,57
p,2023-01-01,Kanpur Dehat,k3D0AumUCiC,161,Kanpur Nagar Division,TB,Treatment Success Rate  as per total cases notified,37,163,86.9,4,TB,2023,57
p,2023-01-01,Rae Bareli,lLvTDpBDY8u,155,Lucknow Division,JSY,% JSY Incentive,36,158,86.5612648221344,4,JSY,2023,59
p,2023-01-01,Rae Bareli,lLvTDpBDY8u,155,Lucknow Division,Fund,% of fund utilized against approved budget,35,158,32.4,4,Fund,2023,59
p,2023-01-01,Rae Bareli,lLvTDpBDY8u,155,Lucknow Division,TB,Treatment Success Rate  as per total cases notified,37,158,87.1,4,TB,2023,59
p,2023-01-01,Sitapur,XxaOowFtkiJ,155,Lucknow Division,JSY,% JSY Incentive,36,154,75.73577501635056,4,JSY,2023,60
p,2023-01-01,Sitapur,XxaOowFtkiJ,155,Lucknow Division,Fund,% of fund utilized against approved budget,35,154,24.9,4,Fund,2023,60
p,2023-01-01,Sitapur,XxaOowFtkiJ,155,Lucknow Division,TB,Treatment Success Rate  as per total cases notified,37,154,84.9,4,TB,2023,60
p,2023-01-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,JSY,% JSY Incentive,36,174,44.83043837882548,4,JSY,2023,63
p,2023-01-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,Fund,% of fund utilized against approved budget,35,174,30.6,4,Fund,2023,63
