block_name,block_id,calc_type,date,district,district_id,division,domain_name,indicator_name,indicator_id,perc_point,quarter,type_name,year,block_id_num,district_id_num
Fatehpur Deomai,Cge552Satby,p,2023-09-01,Fatehpur,ibLiLcaKzw2,,JSY,% JSY Incentive,36,1.0480769230769231,2.0,JSY,2024,423,16
Huzoorpur,CjshmDK5t8E,p,2023-09-01,Bahraich,iE0E3nLioFr,,JSY,% JSY Incentive,36,0.3181818181818182,2.0,JSY,2024,412,23
Unnav Asoha,CpShKssApxk,p,2023-09-01,Unnav,aT03mfdlNiF,,JSY,% JSY Incentive,36,0.9183673469387756,2.0,JSY,2024,107,7
Azamgarh Lalganj,CqNwKYL7iqH,p,2023-09-01,Azamgarh,NjckKfm3g0k,,JSY,% JSY Incentive,36,0.8426966292134831,2.0,JSY,2024,745,14
Barsathi,CqlV6Koe6vJ,p,2023-09-01,Jaunpur,gmw76vAUMqz,,JSY,% JSY Incentive,36,0.8354430379746836,2.0,JSY,2024,31,54
Varanasi Pindara,Cr1PwYBuSs1,p,2023-09-01,Varanasi,LeuBT7KfuuA,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,167,55
Sant Kabir Nagar DHQ,Cv8WrBixKYV,p,2023-09-01,Sant Kabir Nagar,fe1yBApr2sl,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,478,11
Dadroul,CzrcP2SLElb,p,2023-09-01,Shahjahanpur,GaiLSoQq1ue,,JSY,% JSY Incentive,36,0.8928571428571429,2.0,JSY,2024,502,28
Sidhpura,DCamfBCJMSi,p,2023-09-01,Kasganj,hITp09XOBLZ,,JSY,% JSY Incentive,36,0.6872246696035242,2.0,JSY,2024,100,70
Bilaspur,DNtrijn28qb,p,2023-09-01,Rampur,IU006h5U7jj,,JSY,% JSY Incentive,36,0.3603960396039604,2.0,JSY,2024,488,26
Aeliya,DPIQ2VWtvGl,p,2023-09-01,Sitapur,XxaOowFtkiJ,,JSY,% JSY Incentive,36,0.7688442211055276,2.0,JSY,2024,906,60
Etawah Badpura,DQKs9hxWhSr,p,2023-09-01,Etawah,Pm0jLk6EAiE,,JSY,% JSY Incentive,36,1.1530612244897958,2.0,JSY,2024,508,62
Lalitpur Madawara,DQg8KWOYf9m,p,2023-09-01,Lalitpur,fagfcadhxej,,JSY,% JSY Incentive,36,0.9126506024096386,2.0,JSY,2024,530,68
Tandiyanwa,DSmdrNpxWTp,p,2023-09-01,Hardoi,MTIkUw5q5pX,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,790,64
Azamgarh Rani Ki Sarai,DYvPZYv80ET,p,2023-09-01,Azamgarh,NjckKfm3g0k,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,255,14
Dhnipur,DeIlv8osqJa,p,2023-09-01,Aligarh,frD2HOp3wAs,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,711,44
Jamalpur,Dga9ieikVr5,p,2023-09-01,Mirzapur,UAicdMLyuk4,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,39,20
Maunathbhanjan Badraon,DlJoJFtt9AE,p,2023-09-01,Maunathbhanjan,CBSB9v92AwT,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,823,6
Mainpuri Bewar,Dn4n2S6qEWw,p,2023-09-01,Mainpuri,XBLhrSWGytu,,JSY,% JSY Incentive,36,0.5762081784386617,2.0,JSY,2024,271,43
Kanpur Dehat Derapur,Dt0dgcTvEpm,p,2023-09-01,Kanpur Dehat,k3D0AumUCiC,,JSY,% JSY Incentive,36,0.5846994535519126,2.0,JSY,2024,862,57
Sambhal DHQ,E3NqDNq6JJg,p,2023-09-01,Sambhal,YzHpzrN0eLv,,JSY,% JSY Incentive,36,,2.0,JSY,2024,611,13
Deoria Barhaz,E5A2kSTc3PM,p,2023-09-01,Deoria,Tf9b9qcbghH,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,301,19
Rae Bareli Setawan,E6hdzl0I5tt,p,2023-09-01,Rae Bareli,lLvTDpBDY8u,,JSY,% JSY Incentive,36,0.8823529411764706,2.0,JSY,2024,72,59
Kasmanda,E8Ds6nIiHXM,p,2023-09-01,Sitapur,XxaOowFtkiJ,,JSY,% JSY Incentive,36,0.3867684478371501,2.0,JSY,2024,560,60
Siddharth Nagar DHQ,EE0yO6YSNwL,p,2023-09-01,Siddharth Nagar,cP0p8qfm3il,,JSY,% JSY Incentive,36,0.5644171779141104,2.0,JSY,2024,422,1
Badoukher Khurd,EFUeXhmIy8J,p,2023-09-01,Banda,DggJGxqbWHn,,JSY,% JSY Incentive,36,0.4293785310734463,2.0,JSY,2024,293,47
Panwari,ESC202G5t07,p,2023-09-01,Mahoba,sUQMxIc3yXj,,JSY,% JSY Incentive,36,0.4108108108108108,2.0,JSY,2024,571,42
