date,district,district_id,sub_indicator_id,value,quarter,year,sub_id,calc_type,division,div_map_id,map_id,indicator_id_var,district_id_num,division_id,division_id_num,indicator_id,sub_indicator_type
2023-09-01,Auraiya,Bd6E8zkVvVt,B2A7x36qEry.Ti9FJqkSK6J,1972.0,2.0,2024,10a,p,Kanpur Nagar Division,161,162,indicator_10,26,qTT8nTiU0SH,17,10,Numerator
2023-09-01,Auraiya,Bd6E8zkVvVt,GXgfTS67qxe.Ti9FJqkSK6J,225.0,2.0,2024,10b,p,Kanpur Nagar Division,161,162,indicator_10,26,qTT8nTiU0SH,17,10,Denominator
2023-09-01,Gautam Buddha Nagar,bNmwkrQeP3e,ixBYYYjxXPP,1002.0,2.0,2024,36a,p,Meerut Division,140,141,indicator_36,38,UizVoYdewpy,13,36,Numerator
2023-09-01,Gautam Buddha Nagar,bNmwkrQeP3e,aRueVYr35yM.Ti9FJqkSK6J,5554.0,2.0,2024,36b,p,Meerut Division,140,141,indicator_36,38,UizVoYdewpy,13,36,Denominator
2023-09-01,Gautam Buddha Nagar,bNmwkrQeP3e,dwGorjVGkD9,18.7,2.0,2024,35a,p,Meerut Division,140,141,indicator_35,38,UizVoYdewpy,13,35,Numerator
2023-09-01,Gautam Buddha Nagar,bNmwkrQeP3e,m7ggqyMXhyL,88.4,2.0,2024,37a,p,Meerut Division,140,141,indicator_37,38,UizVoYdewpy,13,37,Numerator
2023-09-01,Gautam Buddha Nagar,bNmwkrQeP3e,indicator_2a,2086.0,2.0,2024,2a,p,Meerut Division,140,141,indicator_2,38,UizVoYdewpy,13,2,Numerator
2023-09-01,Gautam Buddha Nagar,bNmwkrQeP3e,GJKYhq2wR9L,5610.0,2.0,2024,7a,p,Meerut Division,140,141,indicator_7,38,UizVoYdewpy,13,7,Numerator
2023-09-01,Gautam Buddha Nagar,bNmwkrQeP3e,B2A7x36qEry.Ti9FJqkSK6J,7781.0,2.0,2024,10a,p,Meerut Division,140,141,indicator_10,38,UizVoYdewpy,13,10,Numerator
2023-09-01,Gautam Buddha Nagar,bNmwkrQeP3e,GXgfTS67qxe.Ti9FJqkSK6J,750.0,2.0,2024,10b,p,Meerut Division,140,141,indicator_10,38,UizVoYdewpy,13,10,Denominator
