block_name,block_id,calc_type,date,district,district_id,division,domain_name,indicator_name,indicator_id,perc_point,quarter,type_name,year,block_id_num,district_id_num
Sohartgarh,fhrJdvxaNc3,p,2023-07-01,Siddharth Nagar,cP0p8qfm3il,,JSY,% JSY Incentive,36,0.8085808580858086,2,JSY,2024,445,1
Jawan,nYlhMfttxtb,p,2023-07-01,Aligarh,frD2HOp3wAs,,JSY,% JSY Incentive,36,0.8135338345864662,2,JSY,2024,350,44
Mainpuri Barnahal,EeFlmvJs36p,p,2023-07-01,Mainpuri,XBLhrSWGytu,,JSY,% JSY Incentive,36,0.9842381786339754,2,JSY,2024,306,43
Sahjanwa,NEdgkoHIHTS,p,2023-07-01,Gorakhpur,vR85cHdsw1w,,JSY,% JSY Incentive,36,0.9941747572815534,2,JSY,2024,384,45
Kudreha,gwFahuoicRH,p,2023-07-01,Basti,J1P16zQEOUT,,JSY,% JSY Incentive,36,0.458955223880597,2,JSY,2024,237,71
Badani,fvt1qfVGM3G,p,2023-07-01,Siddharth Nagar,cP0p8qfm3il,,JSY,% JSY Incentive,36,0.2844364937388193,2,JSY,2024,163,1
Muzaffarnagar Morna,RAawnADvz9B,p,2023-07-01,Muzaffarnagar,MVQs2RrS1Nw,,JSY,% JSY Incentive,36,0.6923076923076923,2,JSY,2024,440,17
Campierganj,noXyISQsTiJ,p,2023-07-01,Gorakhpur,vR85cHdsw1w,,JSY,% JSY Incentive,36,0.8503054989816701,2,JSY,2024,81,45
Varanasi DHQ,cFRa7gJ9JI1,p,2023-07-01,Varanasi,LeuBT7KfuuA,,JSY,% JSY Incentive,36,0.03980857080704808,2,JSY,2024,260,55
Gunnour,WtDIWivefft,p,2023-07-01,Sambhal,YzHpzrN0eLv,,JSY,% JSY Incentive,36,0.6302665520206363,2,JSY,2024,729,13
Mudia Nawi Bux,pzDsoCMcPwD,p,2023-07-01,Bareilly,vVqY3DPcpHf,,JSY,% JSY Incentive,36,0.0,2,JSY,2024,539,56
Hamirpur Dhagwa,X8nyWuBobaz,p,2023-07-01,Hamirpur,VSI7HobT5qL,,JSY,% JSY Incentive,36,0.3887240356083086,2,JSY,2024,333,36
Ballia Bairiya,WZYAC5DYYJk,p,2023-07-01,Ballia,oNDvGBE5fLq,,JSY,% JSY Incentive,36,0.0,2,JSY,2024,832,5
Dhanupur,ooMZMhdhlnd,p,2023-07-01,Prayagraj,tXgaew1Pd2Y,,JSY,% JSY Incentive,36,0.0,2,JSY,2024,809,34
Sidhauli,NAhNn2JVtnF,p,2023-07-01,Sitapur,XxaOowFtkiJ,,JSY,% JSY Incentive,36,0.9354330708661416,2,JSY,2024,865,60
Kushinagar Seavrahi,p7wG9B3Zqol,p,2023-07-01,Kushinagar,xUeHwd9FQkg,,JSY,% JSY Incentive,36,0.036056338028169016,2,JSY,2024,406,9
Binauli,h3yrIIH1cGT,p,2023-07-01,Bagpat,HJIS3IrQ0Nj,,JSY,% JSY Incentive,36,0.7032258064516129,2,JSY,2024,475,66
Chjlate,MIhBWjsHb4j,p,2023-07-01,Moradabad,YQNQoPjAIpV,,JSY,% JSY Incentive,36,0.9730941704035876,2,JSY,2024,749,51
Agra Khaundali,NWLheaE7Ac4,p,2023-07-01,Agra,N5WWbRtsjWp,,JSY,% JSY Incentive,36,0.957422324510932,2,JSY,2024,601,12
Dumaria,nH12F0E43cT,p,2023-07-01,Siddharth Nagar,cP0p8qfm3il,,JSY,% JSY Incentive,36,0.0,2,JSY,2024,118,1
Maunathbhanjan Ranipur,s9bnhPCNlnj,p,2023-07-01,Maunathbhanjan,CBSB9v92AwT,,JSY,% JSY Incentive,36,0.8028571428571428,2,JSY,2024,2,6
Etawah Thakha,vVEYFNLCthf,p,2023-07-01,Etawah,Pm0jLk6EAiE,,JSY,% JSY Incentive,36,0.3475177304964539,2,JSY,2024,130,62
C S M Nagar Bhadar,l02BWTHnGkg,p,2023-07-01,Amethi,StsLkYw1G0m,,JSY,% JSY Incentive,36,0.9084967320261438,2,JSY,2024,424,75
Fatehpur Khaga,uEEKeL3UnB2,p,2023-07-01,Fatehpur,ibLiLcaKzw2,,JSY,% JSY Incentive,36,0.0,2,JSY,2024,218,16
Phardhan,deLO0JKgzP6,p,2023-07-01,Lakhimpur Kheri,d9ZuMopgX29,,JSY,% JSY Incentive,36,0.0,2,JSY,2024,206,22
Banki,zrtAHVhGVAe,p,2023-07-01,Barabanki,tzH6nJu9SwS,,JSY,% JSY Incentive,36,0.05783267827063447,2,JSY,2024,707,41
