block_name,block_id,calc_type,date,district,district_id,division,domain_name,indicator_name,indicator_id,perc_point,type_name,year,block_id_num,district_id_num
Hathras Hasayan,TY8SzPsUCPQ,p,2023-04-01,Hathras,m1IAjmqkoFC,Alligarh Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,91.74083303666784,coverage,2024.0,355,48
Hathras Sadabad,nGMlBiXPa8W,p,2023-04-01,Hathras,m1IAjmqkoFC,Alligarh Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,84.8657105606258,coverage,2024.0,831,48
Hathras Sadabad,nGMlBiXPa8W,p,2023-04-01,Hathras,m1IAjmqkoFC,Alligarh Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,100.0,coverage,2024.0,831,48
Hathras Maho,tisCSlmEcvz,p,2023-04-01,Hathras,m1IAjmqkoFC,Alligarh Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,57.90756132171092,coverage,2024.0,701,48
Hathras Maho,tisCSlmEcvz,p,2023-04-01,Hathras,m1IAjmqkoFC,Alligarh Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,99.38574938574939,coverage,2024.0,701,48
Hathras Sikandra Rao,ws066anR0wR,p,2023-04-01,Hathras,m1IAjmqkoFC,Alligarh Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,66.07594062823611,coverage,2024.0,129,48
Hathras Sikandra Rao,ws066anR0wR,p,2023-04-01,Hathras,m1IAjmqkoFC,Alligarh Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,100.0,coverage,2024.0,129,48
Parsupur,Ae5sVkqEY53,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,47.6045627376426,coverage,2024.0,872,2
Parsupur,Ae5sVkqEY53,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,86.13944557782311,coverage,2024.0,872,2
Nawabganj Gonda,FMAaW4X6ueM,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,49.91825408729564,coverage,2024.0,716,2
Nawabganj Gonda,FMAaW4X6ueM,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,96.10665050749886,coverage,2024.0,716,2
Pandari Kripal,GtDp6Qz9pSx,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,33.22892133772963,coverage,2024.0,493,2
Pandari Kripal,GtDp6Qz9pSx,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,90.05708848715506,coverage,2024.0,493,2
Maskanwa,JLjbfCaudqg,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,42.13104325699745,coverage,2024.0,557,2
Maskanwa,JLjbfCaudqg,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,89.79919678714859,coverage,2024.0,557,2
Belsar,KTP3RqHdGlM,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,53.48867980005881,coverage,2024.0,479,2
Belsar,KTP3RqHdGlM,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,98.44097995545656,coverage,2024.0,479,2
