date,district,district_id,subindicator_id,value,quarter,year,sub_id,calc_type,division,div_map_id,map_id,indicator_id
2023-09-01,Kanpur Nagar,QVMRMhzVrrS,dwGorjVGkD9,19.3,2,2024,35a,p,Kanpur Nagar Division,161,164,indicator_35
2023-09-01,Kanpur Nagar,QVMRMhzVrrS,m7ggqyMXhyL,85.9,2,2024,37a,p,Kanpur Nagar Division,161,164,indicator_37
2023-09-01,Kanpur Nagar,QVMRMhzVrrS,indicator_2a,3524.0,2,2024,2a,p,Kanpur Nagar Division,161,164,indicator_2
2023-09-01,Kanpur Nagar,QVMRMhzVrrS,GJKYhq2wR9L,7798.0,2,2024,7a,p,Kanpur Nagar Division,161,164,indicator_7
2023-09-01,Kanpur Nagar,QVMRMhzVrrS,B2A7x36qEry.Ti9FJqkSK6J,15413.0,2,2024,10a,p,Kanpur Nagar Division,161,164,indicator_10
2023-09-01,Kanpur Nagar,QVMRMhzVrrS,GXgfTS67qxe.Ti9FJqkSK6J,1833.0,2,2024,10b,p,Kanpur Nagar Division,161,164,indicator_10
2023-09-01,Jhansi,Mq751wBMqGF,ixBYYYjxXPP,2230.0,2,2024,36a,p,Jhansi Division,165,166,indicator_36
2023-09-01,Jhansi,Mq751wBMqGF,aRueVYr35yM.Ti9FJqkSK6J,3921.0,2,2024,36b,p,Jhansi Division,165,166,indicator_36
2023-09-01,Jhansi,Mq751wBMqGF,dwGorjVGkD9,25.7,2,2024,35a,p,Jhansi Division,165,166,indicator_35
2023-09-01,Jhansi,Mq751wBMqGF,m7ggqyMXhyL,88.4,2,2024,37a,p,Jhansi Division,165,166,indicator_37
2023-09-01,Jhansi,Mq751wBMqGF,indicator_2a,2375.0,2,2024,2a,p,Jhansi Division,165,166,indicator_2
2023-09-01,Jhansi,Mq751wBMqGF,GJKYhq2wR9L,4578.0,2,2024,7a,p,Jhansi Division,165,166,indicator_7
2023-09-01,Jhansi,Mq751wBMqGF,B2A7x36qEry.Ti9FJqkSK6J,5790.0,2,2024,10a,p,Jhansi Division,165,166,indicator_10
2023-09-01,Jhansi,Mq751wBMqGF,GXgfTS67qxe.Ti9FJqkSK6J,625.0,2,2024,10b,p,Jhansi Division,165,166,indicator_10
2023-09-01,Kushinagar,xUeHwd9FQkg,ixBYYYjxXPP,940.0,2,2024,36a,p,Gorakhpur Division,188,189,indicator_36
2023-09-01,Kushinagar,xUeHwd9FQkg,aRueVYr35yM.Ti9FJqkSK6J,5973.0,2,2024,36b,p,Gorakhpur Division,188,189,indicator_36
2023-09-01,Kushinagar,xUeHwd9FQkg,dwGorjVGkD9,20.9,2,2024,35a,p,Gorakhpur Division,188,189,indicator_35
2023-09-01,Kushinagar,xUeHwd9FQkg,m7ggqyMXhyL,89.0,2,2024,37a,p,Gorakhpur Division,188,189,indicator_37
2023-09-01,Kushinagar,xUeHwd9FQkg,indicator_2a,4737.0,2,2024,2a,p,Gorakhpur Division,188,189,indicator_2
2023-09-01,Kushinagar,xUeHwd9FQkg,GJKYhq2wR9L,9272.0,2,2024,7a,p,Gorakhpur Division,188,189,indicator_7
2023-09-01,Kushinagar,xUeHwd9FQkg,B2A7x36qEry.Ti9FJqkSK6J,3952.0,2,2024,10a,p,Gorakhpur Division,188,189,indicator_10
2023-09-01,Kushinagar,xUeHwd9FQkg,GXgfTS67qxe.Ti9FJqkSK6J,475.0,2,2024,10b,p,Gorakhpur Division,188,189,indicator_10
2023-09-01,Unnav,aT03mfdlNiF,ixBYYYjxXPP,2671.0,2,2024,36a,p,Lucknow Division,155,156,indicator_36
