block,block_id,calc_type,date,district,district_id,division,domain,indicator,indicator_id,perc_point,type,year
Mahmudabad Sitapur,gCv411YjGXv,p,2021-04-01,Sitapur,XxaOowFtkiJ,Lucknow Division,ante_natal,PW treated with severe anemia,indicator_3,26.76056338028169,ante_natal,2022
Pisawan,yubhT8MSy2O,p,2021-04-01,Sitapur,XxaOowFtkiJ,Lucknow Division,ante_natal,PW treated with severe anemia,indicator_3,11.979166666666668,ante_natal,2022
Lalitpur Birdha,ilEX3iUSCkP,p,2021-04-01,Lalitpur,fagfcadhxej,Jhansi Division,ante_natal,PW treated with severe anemia,indicator_3,100.0,ante_natal,2022
Maunathbhanjan Pardha,la9bHITzK55,p,2021-04-01,Maunathbhanjan,CBSB9v92AwT,Azamgarh Division,ante_natal,PW treated with severe anemia,indicator_3,0.0,ante_natal,2022
Naroli,SedCcdeSesp,p,2021-04-01,Sambhal,YzHpzrN0eLv,Moradabad Division,ante_natal,PW treated with severe anemia,indicator_3,91.37931034482759,ante_natal,2022
Dharmapur,K2hjVgS0LFm,p,2021-04-01,Jaunpur,gmw76vAUMqz,Varanasi Division,ante_natal,PW treated with severe anemia,indicator_3,100.0,ante_natal,2022
Firozabad Madanpur,TEd7x916bEz,p,2021-04-01,Firozabad,eJTsuE56XDF,Agra Division,ante_natal,PW treated with severe anemia,indicator_3,78.94736842105263,ante_natal,2022
Pouli,IFHbGZd8LVv,p,2021-04-01,Sant Kabir Nagar,fe1yBApr2sl,Basti Division,ante_natal,PW treated with severe anemia,indicator_3,14.285714285714285,ante_natal,2022
Kannauj DHQ,pxVGfZhiG9T,p,2021-04-01,Kannauj,IhQbDYRiF8w,Kanpur Nagar Division,ante_natal,PW treated with severe anemia,indicator_3,100.0,ante_natal,2022
Deoria Ruderpur,tbaPfFzYkRT,p,2021-04-01,Deoria,Tf9b9qcbghH,Gorakhpur Division,ante_natal,PW treated with severe anemia,indicator_3,0.0,ante_natal,2022
Mau,RMNCveuyYds,p,2021-04-01,Chitrakoot,i2fSZZ3QAJJ,Chitrakoot Division,ante_natal,PW treated with severe anemia,indicator_3,50.0,ante_natal,2022
Tappal,ARlYpTrc811,p,2021-04-01,Aligarh,frD2HOp3wAs,Alligarh Division,ante_natal,PW treated with severe anemia,indicator_3,100.0,ante_natal,2022
Jalaun Konch,vMmgCa5r21L,p,2021-04-01,Jalaun,NL5xiiHZQSC,Jhansi Division,ante_natal,PW treated with severe anemia,indicator_3,15.217391304347828,ante_natal,2022
Dharora,gEphd9O9pPr,p,2021-04-01,Lakhimpur Kheri,d9ZuMopgX29,Lucknow Division,ante_natal,PW treated with severe anemia,indicator_3,27.184466019417474,ante_natal,2022
Muzaffarnagar DHQ,LwbNBvrbL9f,p,2021-04-01,Muzaffarnagar,MVQs2RrS1Nw,Saharanpur Division,ante_natal,PW treated with severe anemia,indicator_3,35.714285714285715,ante_natal,2022
Karnjakala,bU9RuaPWXkH,p,2021-04-01,Jaunpur,gmw76vAUMqz,Varanasi Division,ante_natal,PW treated with severe anemia,indicator_3,21.875,ante_natal,2022
Bulandshahar B.B.Nagar,cp2Je1Z1Zo6,p,2021-04-01,Bulandshahar,ogBt4gWCiem,Meerut Division,ante_natal,PW treated with severe anemia,indicator_3,24.324324324324326,ante_natal,2022
Shamli DHQ,qVXCL4F9Nfc,p,2021-04-01,Shamli,AdiUcz9BXhx,Saharanpur Division,ante_natal,PW treated with severe anemia,indicator_3,88.06818181818183,ante_natal,2022
Khair,AN2dWDiHkBb,p,2021-04-01,Aligarh,frD2HOp3wAs,Alligarh Division,ante_natal,PW treated with severe anemia,indicator_3,42.5,ante_natal,2022
C S M Nagar Bhetua,J7htJUPglZb,p,2021-04-01,Amethi,StsLkYw1G0m,Ayodhya Division,ante_natal,PW treated with severe anemia,indicator_3,100.0,ante_natal,2022
Unnav Bangarmau,BGRBILNZiPW,p,2021-04-01,Unnav,aT03mfdlNiF,Lucknow Division,ante_natal,PW treated with severe anemia,indicator_3,100.0,ante_natal,2022
Saharanpur Nukkur,Il5dY2TsnrT,p,2021-04-01,Saharanpur,FKYZ3JbWq84,Saharanpur Division,ante_natal,PW treated with severe anemia,indicator_3,100.0,ante_natal,2022
Ballia Rasra,tws6xITzNhV,p,2021-04-01,Ballia,oNDvGBE5fLq,Azamgarh Division,ante_natal,PW treated with severe anemia,indicator_3,100.0,ante_natal,2022
Varanasi Kashi Vidhyapith,tJRXhxV3GJh,p,2021-04-01,Varanasi,LeuBT7KfuuA,Varanasi Division,ante_natal,PW treated with severe anemia,indicator_3,47.368421052631575,ante_natal,2022
Bijnor Najibabad,c6v4wYwFFOK,p,2021-04-01,Bijnor,uCYjHW7FuGG,Moradabad Division,ante_natal,PW treated with severe anemia,indicator_3,18.867924528301888,ante_natal,2022
Maskanwa,JLjbfCaudqg,p,2021-04-01,Gonda,y8WarEkWCul,Gonda Division,ante_natal,PW treated with severe anemia,indicator_3,49.36708860759494,ante_natal,2022
Sardar Nagar,plaloKJOZO2,p,2021-04-01,Gorakhpur,vR85cHdsw1w,Gorakhpur Division,ante_natal,PW treated with severe anemia,indicator_3,16.666666666666664,ante_natal,2022
C S M Nagar Fursatganj,j4mknIwFS2j,p,2021-04-01,Amethi,StsLkYw1G0m,Ayodhya Division,ante_natal,PW treated with severe anemia,indicator_3,100.0,ante_natal,2022
Ambedkar Nagar  DHQ,dgOT0Nq7Zja,p,2021-04-01,Ambedkar Nagar,jM27ji8tyrM,Ayodhya Division,ante_natal,PW treated with severe anemia,indicator_3,100.0,ante_natal,2022
Masaudha,aAl7bU1AYg2,p,2021-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,ante_natal,PW treated with severe anemia,indicator_3,0.0,ante_natal,2022
Barsathi,CqlV6Koe6vJ,p,2021-04-01,Jaunpur,gmw76vAUMqz,Varanasi Division,ante_natal,PW treated with severe anemia,indicator_3,57.57575757575758,ante_natal,2022
Moth,cvjZcBpUtSR,p,2021-04-01,Jhansi,Mq751wBMqGF,Jhansi Division,ante_natal,PW treated with severe anemia,indicator_3,89.47368421052632,ante_natal,2022
Akaberpur,HHlxYUknESU,p,2021-04-01,Ambedkar Nagar,jM27ji8tyrM,Ayodhya Division,ante_natal,PW treated with severe anemia,indicator_3,91.42857142857143,ante_natal,2022
Maunathbhanjan Kopaganj,tGyBIzhjmij,p,2021-04-01,Maunathbhanjan,CBSB9v92AwT,Azamgarh Division,ante_natal,PW treated with severe anemia,indicator_3,0.0,ante_natal,2022
Azamgarh Rani Ki Sarai,DYvPZYv80ET,p,2021-04-01,Azamgarh,NjckKfm3g0k,Azamgarh Division,ante_natal,PW treated with severe anemia,indicator_3,0.0,ante_natal,2022
Ghaziabad Bhojpur,r0L9AlrGA7C,p,2021-04-01,Ghaziabad,M5NHlfAaKYI,Meerut Division,ante_natal,PW treated with severe anemia,indicator_3,61.76470588235294,ante_natal,2022
Bhiti,RiDtZZsck6S,p,2021-04-01,Ambedkar Nagar,jM27ji8tyrM,Ayodhya Division,ante_natal,PW treated with severe anemia,indicator_3,100.0,ante_natal,2022
Madhiyahoo,B9itA8m0ytx,p,2021-04-01,Jaunpur,gmw76vAUMqz,Varanasi Division,ante_natal,PW treated with severe anemia,indicator_3,0.0,ante_natal,2022
Ghazipur Davkali,kcQKXLIXWNj,p,2021-04-01,Ghazipur,dScWdMRN8PL,Varanasi Division,ante_natal,PW treated with severe anemia,indicator_3,100.0,ante_natal,2022
C S M Nagar Jamon,R35oHPkysFc,p,2021-04-01,Amethi,StsLkYw1G0m,Ayodhya Division,ante_natal,PW treated with severe anemia,indicator_3,26.666666666666668,ante_natal,2022
Azamgarh Momadpur,Yj3IUe7pBJn,p,2021-04-01,Azamgarh,NjckKfm3g0k,Azamgarh Division,ante_natal,PW treated with severe anemia,indicator_3,0.0,ante_natal,2022
Jagat,wQ2zvEh08Xs,p,2021-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,ante_natal,PW treated with severe anemia,indicator_3,26.31578947368421,ante_natal,2022
Kone,zBM33fSxbqN,p,2021-04-01,Mirzapur,UAicdMLyuk4,Mirzapur Division,ante_natal,PW treated with severe anemia,indicator_3,20.51282051282051,ante_natal,2022
Vihar,klR8OoJpYaw,p,2021-04-01,Pratapgarh,fz7bJo3egPX,Prayagraj Division,ante_natal,PW treated with severe anemia,indicator_3,3.508771929824561,ante_natal,2022
Azamgarh Harriya,sODyhiqy8iZ,p,2021-04-01,Azamgarh,NjckKfm3g0k,Azamgarh Division,ante_natal,PW treated with severe anemia,indicator_3,0.0,ante_natal,2022
Muzaffarnagar Casthawal,c0nWxLrugon,p,2021-04-01,Muzaffarnagar,MVQs2RrS1Nw,Saharanpur Division,ante_natal,PW treated with severe anemia,indicator_3,0.0,ante_natal,2022
Barabanki DHQ,jqG1GfySEy7,p,2021-04-01,Barabanki,tzH6nJu9SwS,Ayodhya Division,ante_natal,PW treated with severe anemia,indicator_3,25.872093023255815,ante_natal,2022
Bulandshahar Siyana,jJP9OWvYMuH,p,2021-04-01,Bulandshahar,ogBt4gWCiem,Meerut Division,ante_natal,PW treated with severe anemia,indicator_3,38.333333333333336,ante_natal,2022
Agra Fathehabad,vKblzOJTuGM,p,2021-04-01,Agra,N5WWbRtsjWp,Agra Division,ante_natal,PW treated with severe anemia,indicator_3,79.05138339920948,ante_natal,2022
Azamgarh Sathiyaon,hjSHCmJGFAP,p,2021-04-01,Azamgarh,NjckKfm3g0k,Azamgarh Division,ante_natal,PW treated with severe anemia,indicator_3,5.263157894736842,ante_natal,2022
Brahmpur,P39P0iQKIWH,p,2021-04-01,Gorakhpur,vR85cHdsw1w,Gorakhpur Division,ante_natal,PW treated with severe anemia,indicator_3,0.0,ante_natal,2022
Kyara,ukz0TmnwKtW,p,2021-04-01,Bareilly,vVqY3DPcpHf,Bareilly Division,ante_natal,PW treated with severe anemia,indicator_3,0.0,ante_natal,2022
Isanagar,qbwnjNH34Cw,p,2021-04-01,Lakhimpur Kheri,d9ZuMopgX29,Lucknow Division,ante_natal,PW treated with severe anemia,indicator_3,7.428571428571429,ante_natal,2022
Pandari Kripal,GtDp6Qz9pSx,p,2021-04-01,Gonda,y8WarEkWCul,Gonda Division,ante_natal,PW treated with severe anemia,indicator_3,89.74358974358975,ante_natal,2022
Badoukher Khurd,EFUeXhmIy8J,p,2021-04-01,Banda,DggJGxqbWHn,Chitrakoot Division,ante_natal,PW treated with severe anemia,indicator_3,0.0,ante_natal,2022
Etawah Saifai,kxTyOTd53rb,p,2021-04-01,Etawah,Pm0jLk6EAiE,Kanpur Nagar Division,ante_natal,PW treated with severe anemia,indicator_3,20.0,ante_natal,2022
Parasrampur,nE41ZrKaU9G,p,2021-04-01,Basti,J1P16zQEOUT,Basti Division,ante_natal,PW treated with severe anemia,indicator_3,100.0,ante_natal,2022
Mitoli,Owih8es2MY7,p,2021-04-01,Lakhimpur Kheri,d9ZuMopgX29,Lucknow Division,ante_natal,PW treated with severe anemia,indicator_3,88.23529411764706,ante_natal,2022
Fatehpur Khaga,uEEKeL3UnB2,p,2021-04-01,Fatehpur,ibLiLcaKzw2,Prayagraj Division,ante_natal,PW treated with severe anemia,indicator_3,23.684210526315788,ante_natal,2022
Atrauli,O5BIieG3GQR,p,2021-04-01,Aligarh,frD2HOp3wAs,Alligarh Division,ante_natal,PW treated with severe anemia,indicator_3,57.14285714285714,ante_natal,2022
Tulsipur,q6Maei9E55U,p,2021-04-01,Balrampur,uS0pNSxN3sS,Gonda Division,ante_natal,PW treated with severe anemia,indicator_3,100.0,ante_natal,2022
Azamgarh Pawai,lcnwkO2gp49,p,2021-04-01,Azamgarh,NjckKfm3g0k,Azamgarh Division,ante_natal,PW treated with severe anemia,indicator_3,0.0,ante_natal,2022
Unnav Fatehpur -84,uhbQ7To0pN9,p,2021-04-01,Unnav,aT03mfdlNiF,Lucknow Division,ante_natal,PW treated with severe anemia,indicator_3,0.0,ante_natal,2022
Mihipurwa,jo7VYHdzhDi,p,2021-04-01,Bahraich,iE0E3nLioFr,Gonda Division,ante_natal,PW treated with severe anemia,indicator_3,100.0,ante_natal,2022
Dhanpatganj,LNiRZH5vfaY,p,2021-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,ante_natal,PW treated with severe anemia,indicator_3,17.307692307692307,ante_natal,2022
Jungle Kauriya,ewq9OZKKqta,p,2021-04-01,Gorakhpur,vR85cHdsw1w,Gorakhpur Division,ante_natal,PW treated with severe anemia,indicator_3,0.0,ante_natal,2022
Chandauli,QglkJx8TDdn,p,2021-04-01,Chandauli,ClbehnmwSec,Varanasi Division,ante_natal,PW treated with severe anemia,indicator_3,0.0,ante_natal,2022
Mainpuri Mainpuri,covI1BtEX12,p,2021-04-01,Mainpuri,XBLhrSWGytu,Agra Division,ante_natal,PW treated with severe anemia,indicator_3,100.0,ante_natal,2022
Uska Bazar,WvXTe5mm0Jg,p,2021-04-01,Siddharth Nagar,cP0p8qfm3il,Basti Division,ante_natal,PW treated with severe anemia,indicator_3,14.691943127962084,ante_natal,2022
Mathura Mathura,gucZ0cBoa0r,p,2021-04-01,Mathura,KP2BUB1npih,Agra Division,ante_natal,PW treated with severe anemia,indicator_3,27.77777777777778,ante_natal,2022
