block,block_id,calc_type,date,district,district_id,division,domain,indicator,indicator_id,perc_point,quarter,type,year
Deoria Bankata,EmKRIMSIXim,p,2021-08-01,Deoria,Tf9b9qcbghH,Gorakhpur Division,ante_natal,ANC registered within first trimester,indicator_1,39.13713405238829,2,ante_natal,2022
Meja,En85jBKx0aq,p,2021-08-01,Prayagraj,tXgaew1Pd2Y,Prayagraj Division,ante_natal,ANC registered within first trimester,indicator_1,70.37773359840955,2,ante_natal,2022
Pilibhit DHQ,Ez4mS8TGHyp,p,2021-08-01,Pilibhit,c96jwckSd6j,Bareilly Division,ante_natal,ANC registered within first trimester,indicator_1,43.50877192982456,2,ante_natal,2022
Dhanapur,F1Ddi7jawvX,p,2021-08-01,Chandauli,ClbehnmwSec,Varanasi Division,ante_natal,ANC registered within first trimester,indicator_1,54.558823529411754,2,ante_natal,2022
Nawabganj Bahraich,F2HjseXcv3G,p,2021-08-01,Bahraich,iE0E3nLioFr,Gonda Division,ante_natal,ANC registered within first trimester,indicator_1,96.23430962343096,2,ante_natal,2022
Mainpuri Kuchela,F3H22yde6Oa,p,2021-08-01,Mainpuri,XBLhrSWGytu,Agra Division,ante_natal,ANC registered within first trimester,indicator_1,72.72727272727273,2,ante_natal,2022
Gajraula,F4PpXNqeUpP,p,2021-08-01,Amroha,hgquAmZaNBu,Moradabad Division,ante_natal,ANC registered within first trimester,indicator_1,79.04360056258791,2,ante_natal,2022
Hamirpur Nauranga,F4fL0v4ObFM,p,2021-08-01,Hamirpur,VSI7HobT5qL,Chitrakoot Division,ante_natal,ANC registered within first trimester,indicator_1,75.74850299401199,2,ante_natal,2022
Ballia Pandah,F6ojCWU9pCH,p,2021-08-01,Ballia,oNDvGBE5fLq,Azamgarh Division,ante_natal,ANC registered within first trimester,indicator_1,78.15126050420169,2,ante_natal,2022
Mahrajganj,FBVobg8QhyC,p,2021-08-01,Jaunpur,gmw76vAUMqz,Varanasi Division,ante_natal,ANC registered within first trimester,indicator_1,64.69344608879493,2,ante_natal,2022
Bilsi,FBjTmOT2uLU,p,2021-08-01,Budaun,eA37kyBRRuZ,Bareilly Division,ante_natal,ANC registered within first trimester,indicator_1,47.99270072992701,2,ante_natal,2022
Gautam Buddha Nagar Dankaur,FGqvmr1orP5,p,2021-08-01,Gautam Buddha Nagar,bNmwkrQeP3e,Meerut Division,ante_natal,ANC registered within first trimester,indicator_1,70.89397089397089,2,ante_natal,2022
Bhawalkheda,FHp906GIA29,p,2021-08-01,Shahjahanpur,GaiLSoQq1ue,Bareilly Division,ante_natal,ANC registered within first trimester,indicator_1,56.08628659476117,2,ante_natal,2022
Puwaya,FJZd1VoPnSp,p,2021-08-01,Shahjahanpur,GaiLSoQq1ue,Bareilly Division,ante_natal,ANC registered within first trimester,indicator_1,56.67276051188301,2,ante_natal,2022
Nawabganj Gonda,FMAaW4X6ueM,p,2021-08-01,Gonda,y8WarEkWCul,Gonda Division,ante_natal,ANC registered within first trimester,indicator_1,95.03205128205127,2,ante_natal,2022
Mundapanday,FPqrFlrWiLm,p,2021-08-01,Moradabad,YQNQoPjAIpV,Moradabad Division,ante_natal,ANC registered within first trimester,indicator_1,62.46458923512748,2,ante_natal,2022
Meerut MEERUT,FX5OPO64IaR,p,2021-08-01,Meerut,v8YGmR7nOdj,Meerut Division,ante_natal,ANC registered within first trimester,indicator_1,68.09815950920245,2,ante_natal,2022
Pilana,FXgVpTS1KKY,p,2021-08-01,Bagpat,HJIS3IrQ0Nj,Meerut Division,ante_natal,ANC registered within first trimester,indicator_1,82.18793828892007,2,ante_natal,2022
Bulandshahar Gulaothi,FXjd8I3tis1,p,2021-08-01,Bulandshahar,ogBt4gWCiem,Meerut Division,ante_natal,ANC registered within first trimester,indicator_1,31.42857142857143,2,ante_natal,2022
Kemasin,FhvPjqLG12y,p,2021-08-01,Banda,DggJGxqbWHn,Chitrakoot Division,ante_natal,ANC registered within first trimester,indicator_1,63.80697050938338,2,ante_natal,2022
Shargarh,FjccMEGL0Hr,p,2021-08-01,Bareilly,vVqY3DPcpHf,Bareilly Division,ante_natal,ANC registered within first trimester,indicator_1,46.43916913946588,2,ante_natal,2022
Unnav Sumerpur,Fy5oqtT0JAR,p,2021-08-01,Unnav,aT03mfdlNiF,Lucknow Division,ante_natal,ANC registered within first trimester,indicator_1,96.37681159420288,2,ante_natal,2022
Niyamtabad,FyHWyWYiq51,p,2021-08-01,Chandauli,ClbehnmwSec,Varanasi Division,ante_natal,ANC registered within first trimester,indicator_1,65.89658965896591,2,ante_natal,2022
Ballia Bansdih,G4HRu37srJN,p,2021-08-01,Ballia,oNDvGBE5fLq,Azamgarh Division,ante_natal,ANC registered within first trimester,indicator_1,29.642857142857146,2,ante_natal,2022
Dalelnagar,G7D5lGOMxxz,p,2021-08-01,Bareilly,vVqY3DPcpHf,Bareilly Division,ante_natal,ANC registered within first trimester,indicator_1,65.311004784689,2,ante_natal,2022
Balrampur DHQ,G7snWO0Hmy7,p,2021-08-01,Balrampur,uS0pNSxN3sS,Gonda Division,ante_natal,ANC registered within first trimester,indicator_1,55.22041763341068,2,ante_natal,2022
Jalaun Madhougarh,GGmtoqpI9Je,p,2021-08-01,Jalaun,NL5xiiHZQSC,Jhansi Division,ante_natal,ANC registered within first trimester,indicator_1,86.7924528301887,2,ante_natal,2022
Bilsanda,GHjV9QTEXyn,p,2021-08-01,Pilibhit,c96jwckSd6j,Bareilly Division,ante_natal,ANC registered within first trimester,indicator_1,85.12396694214875,2,ante_natal,2022
Shrawasti DHQ,GK26msJSJoZ,p,2021-08-01,Shrawasti,oyTwneTbWDx,Gonda Division,ante_natal,ANC registered within first trimester,indicator_1,0.0,2,ante_natal,2022
Shivgarh Pratapgarh,GMBAMYjK1nv,p,2021-08-01,Pratapgarh,fz7bJo3egPX,Prayagraj Division,ante_natal,ANC registered within first trimester,indicator_1,92.34234234234236,2,ante_natal,2022
Khekra,Ga0Whh9BsGr,p,2021-08-01,Bagpat,HJIS3IrQ0Nj,Meerut Division,ante_natal,ANC registered within first trimester,indicator_1,94.4933920704846,2,ante_natal,2022
Myoerpur,Gbo5ncDmsIv,p,2021-08-01,Sonbhadra,NNk3JP90QZ5,Mirzapur Division,ante_natal,ANC registered within first trimester,indicator_1,86.62538699690403,2,ante_natal,2022
Firozabad Narkhi,GcLGdTGiU8M,p,2021-08-01,Firozabad,eJTsuE56XDF,Agra Division,ante_natal,ANC registered within first trimester,indicator_1,33.88804841149773,2,ante_natal,2022
Mainpuri Ghiror,GdimZzDSdCV,p,2021-08-01,Mainpuri,XBLhrSWGytu,Agra Division,ante_natal,ANC registered within first trimester,indicator_1,85.00948766603416,2,ante_natal,2022
Kabari,GfFQEUX1ZYy,p,2021-08-01,Mahoba,sUQMxIc3yXj,Chitrakoot Division,ante_natal,ANC registered within first trimester,indicator_1,40.560747663551396,2,ante_natal,2022
Mishirikh,Gfmfuy8CQrI,p,2021-08-01,Sitapur,XxaOowFtkiJ,Lucknow Division,ante_natal,ANC registered within first trimester,indicator_1,85.54033485540334,2,ante_natal,2022
Mirzapur Shahjahanpur,Gj3mY1laAQs,p,2021-08-01,Shahjahanpur,GaiLSoQq1ue,Bareilly Division,ante_natal,ANC registered within first trimester,indicator_1,68.6695278969957,2,ante_natal,2022
Khlilabad,Go3zUv1lOWw,p,2021-08-01,Sant Kabir Nagar,fe1yBApr2sl,Basti Division,ante_natal,ANC registered within first trimester,indicator_1,44.1860465116279,2,ante_natal,2022
Rae Bareli Salon,Gr3MErPlauk,p,2021-08-01,Rae Bareli,lLvTDpBDY8u,Lucknow Division,ante_natal,ANC registered within first trimester,indicator_1,85.63380281690141,2,ante_natal,2022
Soraon,Gs9FnVq3FME,p,2021-08-01,Prayagraj,tXgaew1Pd2Y,Prayagraj Division,ante_natal,ANC registered within first trimester,indicator_1,97.03557312252964,2,ante_natal,2022
Pandari Kripal,GtDp6Qz9pSx,p,2021-08-01,Gonda,y8WarEkWCul,Gonda Division,ante_natal,ANC registered within first trimester,indicator_1,91.61147902869757,2,ante_natal,2022
Rae Bareli Sarani,H1W08wOkXWC,p,2021-08-01,Rae Bareli,lLvTDpBDY8u,Lucknow Division,ante_natal,ANC registered within first trimester,indicator_1,88.78205128205126,2,ante_natal,2022
Heryasethghrwa,H1Z5zG9mjfG,p,2021-08-01,Balrampur,uS0pNSxN3sS,Gonda Division,ante_natal,ANC registered within first trimester,indicator_1,93.68520263901979,2,ante_natal,2022
Gautam Buddha Nagar DHQ,H3RUhD0AAjW,p,2021-08-01,Gautam Buddha Nagar,bNmwkrQeP3e,Meerut Division,ante_natal,ANC registered within first trimester,indicator_1,58.6073500967118,2,ante_natal,2022
Skiit,H5UJopTvZPy,p,2021-08-01,Etah,ZLcx4iOVyN5,Alligarh Division,ante_natal,ANC registered within first trimester,indicator_1,62.720848056537115,2,ante_natal,2022
