block_id,perc_point,indicator_id,district_id,district,block,division,type,domain,indicator,calc_type,year,quarter,date
PDw9OZ2oKqK,,indicator_5,d9ZuMopgX29,Lakhimpur Kheri,Lakhimpur DHQ,Lucknow Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
DSmdrNpxWTp,,indicator_5,MTIkUw5q5pX,Hardoi,Tandiyanwa,Lucknow Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
MoUVR7OhsJp,,indicator_5,ZLcx4iOVyN5,Etah,Etah DHQ,Alligarh Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
K2r1bjs4mb5,,indicator_5,KP2BUB1npih,Mathura,Mathura DHQ,Agra Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
rFyFe7T2XXz,,indicator_5,tzH6nJu9SwS,Barabanki,Haidergarh,Ayodhya Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
nwSfqFHkPxa,,indicator_5,IU006h5U7jj,Rampur,Swar,Moradabad Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
iobObmzVNqo,,indicator_5,fz7bJo3egPX,Pratapgarh,Aaspurdavsra,Prayagraj Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
Vqeqm6XaBle,,indicator_5,v8YGmR7nOdj,Meerut,Meerut Rajpura,Meerut Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
zrtAHVhGVAe,,indicator_5,tzH6nJu9SwS,Barabanki,Banki,Ayodhya Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
A8jhC64rvlS,,indicator_5,eA37kyBRRuZ,Budaun,Asafpur,Bareilly Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
J4lOM1HGEln,,indicator_5,FKYZ3JbWq84,Saharanpur,Saharanpur Sarsawa,Saharanpur Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
lNpqSHtjFu3,,indicator_5,i2fSZZ3QAJJ,Chitrakoot,Manikpur,Chitrakoot Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
pzDsoCMcPwD,,indicator_5,vVqY3DPcpHf,Bareilly,Mudia Nawi Bux,Bareilly Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
f4VnN0yydmT,,indicator_5,YQNQoPjAIpV,Moradabad,Bhagtepurtanda,Moradabad Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
WtDIWivefft,,indicator_5,YzHpzrN0eLv,Sambhal,Gunnour,Moradabad Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
qeUdKRqslg0,,indicator_5,v8YGmR7nOdj,Meerut,Meerut Machra,Meerut Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
