calc_type,category,date,district,district_id,div_map_id,division,domain,indicator,indicator_id,map_id,perc_point,type,weight,year
p,Outcome Indicator ,2019-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,Ayushman Bharat ,Golden Card percentile ,indicator_23,180,0.0,Ayushman Bharat ,5.0,2020
p,Process Indicator ,2019-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,BMW Management ,CHC with BMW management ,indicator_26,180,0.0,BMW Management ,1.5,2020
p,Outcome Indicator ,2019-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,HWC ,Activated HWC ,indicator_15,180,69.89247311827957,HWC ,5.0,2020
p,Outcome Indicator ,2019-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,LaQshya ,LaQshya certified CHC's ,indicator_21,180,0.0,LaQshya ,5.0,2020
p,Process Indicator ,2017-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,ante_natal,ANC registered within first trimester,indicator_1,171,33.696654649115445,ante_natal,3.0,2018
p,Process Indicator ,2018-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,ante_natal,ANC registered within first trimester,indicator_1,171,60.9742037757602,ante_natal,3.0,2019
p,Process Indicator ,2019-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,ante_natal,ANC registered within first trimester,indicator_1,171,80.23789239137558,ante_natal,3.0,2020
p,Outcome Indicator ,2017-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,ante_natal,PW received 4 or more ANC,indicator_2,171,50.638248936251784,ante_natal,4.0,2018
p,Outcome Indicator ,2018-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,ante_natal,PW received 4 or more ANC,indicator_2,171,59.82427862583357,ante_natal,4.0,2019
p,Outcome Indicator ,2019-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,ante_natal,PW received 4 or more ANC,indicator_2,171,97.99810896286394,ante_natal,4.0,2020
p,Process Indicator ,2017-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,ante_natal,PW treated with severe anemia,indicator_3,171,5.399792315680166,ante_natal,3.0,2018
p,Process Indicator ,2018-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,ante_natal,PW treated with severe anemia,indicator_3,171,41.46341463414634,ante_natal,3.0,2019
p,Process Indicator ,2019-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,ante_natal,PW treated with severe anemia,indicator_3,171,97.64252036005144,ante_natal,3.0,2020
p,Process Indicator ,2017-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,new_born_care,HBNC visits,indicator_5,171,21.62788248920712,new_born_care,3.0,2018
p,Process Indicator ,2018-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,new_born_care,HBNC visits,indicator_5,171,39.769808338273066,new_born_care,3.0,2019
p,Process Indicator ,2019-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,new_born_care,HBNC visits,indicator_5,171,52.90494665373424,new_born_care,3.0,2020
p,Outcome Indicator ,2017-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,Immunization,Full immunization,indicator_6,171,47.50630623473096,Immunization,5.0,2018
p,Outcome Indicator ,2018-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,Immunization,Full immunization,indicator_6,171,79.92351816443595,Immunization,5.0,2019
p,Outcome Indicator ,2019-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,Immunization,Full immunization,indicator_6,171,99.3688362919132,Immunization,5.0,2020
p,Outcome Indicator ,2017-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,communicable_diseases,Communicable disease,indicator_7,171,100.0,communicable_diseases,5.0,2018
p,Outcome Indicator ,2018-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,communicable_diseases,Communicable disease,indicator_7,171,25.20863282489778,communicable_diseases,5.0,2019
p,Outcome Indicator ,2019-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,communicable_diseases,Communicable disease,indicator_7,171,100.0,communicable_diseases,5.0,2020
p,Process Indicator ,2017-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,CDR,Child Death Reported (U5) ,indicator_10,171,0.0,CDR,3.0,2018
p,Process Indicator ,2018-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,CDR,Child Death Reported (U5) ,indicator_10,171,0.0,CDR,3.0,2019
p,Process Indicator ,2019-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,CDR,Child Death Reported (U5) ,indicator_10,171,0.17572171418325264,CDR,3.0,2020
p,Process Indicator ,2017-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,RCH Portal ,Mother Registeration RCH ,indicator_17,171,0.0,RCH Portal ,3.0,2018
p,Process Indicator ,2018-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,RCH Portal ,Mother Registeration RCH ,indicator_17,171,0.0,RCH Portal ,3.0,2019
p,Process Indicator ,2019-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,RCH Portal ,Mother Registeration RCH ,indicator_17,171,51.609011770075966,RCH Portal ,3.0,2020
p,Outcome Indicator ,2017-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,Birth Registration ,Birth registeration CRS ,indicator_19,171,0.0,Birth Registration ,5.0,2018
p,Outcome Indicator ,2018-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,Birth Registration ,Birth registeration CRS ,indicator_19,171,0.0,Birth Registration ,5.0,2019
p,Outcome Indicator ,2019-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,Birth Registration ,Birth registeration CRS ,indicator_19,171,0.0,Birth Registration ,5.0,2020
p,Outcome Indicator ,2019-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,Institutional delivery ,Institutional delivery (private) ,indicator_4,171,100.0,Institutional delivery ,2.0,2020
p,Outcome Indicator ,2019-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,communicable_diseases,Success rate of positive tuberculosis cases,indicator_8,171,100.0,communicable_diseases,5.0,2020
p,Process Indicator ,2019-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,communicable_diseases,% of positive malaria cases identified against total tested in the district up to the month,indicator_9,171,0.5818619582664527,communicable_diseases,3.0,2020
p,Outcome Indicator ,2019-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,Institutional delivery ,Institutional delivery (public + private) ,indicator_11,171,30.72696146281052,Institutional delivery ,5.0,2020
