calc_type,category,date,district,district_id,div_map_id,division,domain,indicator,indicator_id,map_id,perc_point,quarter,type,weight,year
p,Process Indicator ,2020-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,RCH Portal ,Mother Registeration RCH ,indicator_17,191,0.0,4,RCH Portal ,3.0,2020
p,Outcome Indicator ,2017-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Birth Registration ,Birth registeration CRS ,indicator_19,191,0.0,3,Birth Registration ,5.0,2018
p,Outcome Indicator ,2018-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Birth Registration ,Birth registeration CRS ,indicator_19,191,0.0,4,Birth Registration ,5.0,2018
p,Outcome Indicator ,2018-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Birth Registration ,Birth registeration CRS ,indicator_19,191,0.0,1,Birth Registration ,5.0,2019
p,Outcome Indicator ,2018-07-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Birth Registration ,Birth registeration CRS ,indicator_19,191,0.0,2,Birth Registration ,5.0,2019
p,Outcome Indicator ,2018-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Birth Registration ,Birth registeration CRS ,indicator_19,191,0.0,3,Birth Registration ,5.0,2019
p,Outcome Indicator ,2019-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Birth Registration ,Birth registeration CRS ,indicator_19,191,0.0,4,Birth Registration ,5.0,2019
p,Outcome Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Birth Registration ,Birth registeration CRS ,indicator_19,191,0.0,1,Birth Registration ,5.0,2020
p,Outcome Indicator ,2019-07-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Birth Registration ,Birth registeration CRS ,indicator_19,191,0.0,2,Birth Registration ,5.0,2020
p,Outcome Indicator ,2019-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Birth Registration ,Birth registeration CRS ,indicator_19,191,0.0,3,Birth Registration ,5.0,2020
p,Outcome Indicator ,2020-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Birth Registration ,Birth registeration CRS ,indicator_19,191,0.0,4,Birth Registration ,5.0,2020
p,Outcome Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Institutional delivery ,Institutional delivery (private) ,indicator_4,191,0.0,1,Institutional delivery ,2.0,2020
p,Outcome Indicator ,2019-07-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Institutional delivery ,Institutional delivery (private) ,indicator_4,191,0.0,2,Institutional delivery ,2.0,2020
p,Outcome Indicator ,2019-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Institutional delivery ,Institutional delivery (private) ,indicator_4,191,32.88618448347393,3,Institutional delivery ,2.0,2020
p,Outcome Indicator ,2020-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Institutional delivery ,Institutional delivery (private) ,indicator_4,191,100.0,4,Institutional delivery ,2.0,2020
p,Outcome Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Institutional delivery ,Institutional delivery (public + private) ,indicator_11,191,0.0,1,Institutional delivery ,5.0,2020
p,Outcome Indicator ,2019-07-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Institutional delivery ,Institutional delivery (public + private) ,indicator_11,191,0.0,2,Institutional delivery ,5.0,2020
p,Outcome Indicator ,2019-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Institutional delivery ,Institutional delivery (public + private) ,indicator_11,191,45.23067728445306,3,Institutional delivery ,5.0,2020
p,Outcome Indicator ,2020-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Institutional delivery ,Institutional delivery (public + private) ,indicator_11,191,71.8638028552659,4,Institutional delivery ,5.0,2020
p,Outcome Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Family Planning,Couple Accepted Modern FP ,indicator_13,191,0.0,1,Family Planning,5.0,2020
p,Outcome Indicator ,2019-07-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Family Planning,Couple Accepted Modern FP ,indicator_13,191,0.0,2,Family Planning,5.0,2020
p,Outcome Indicator ,2019-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Family Planning,Couple Accepted Modern FP ,indicator_13,191,36.29951399939787,3,Family Planning,5.0,2020
p,Outcome Indicator ,2020-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Family Planning,Couple Accepted Modern FP ,indicator_13,191,100.0,4,Family Planning,5.0,2020
p,Outcome Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,LaQshya ,LaQshya certified CHC's ,indicator_21,191,0.0,1,LaQshya ,5.0,2020
p,Outcome Indicator ,2019-07-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,LaQshya ,LaQshya certified CHC's ,indicator_21,191,0.0,2,LaQshya ,5.0,2020
p,Outcome Indicator ,2019-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,LaQshya ,LaQshya certified CHC's ,indicator_21,191,0.0,3,LaQshya ,5.0,2020
p,Outcome Indicator ,2020-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,LaQshya ,LaQshya certified CHC's ,indicator_21,191,0.0,4,LaQshya ,5.0,2020
p,Process Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,BMW Management ,CHC with BMW management ,indicator_26,191,0.0,1,BMW Management ,1.5,2020
p,Process Indicator ,2019-07-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,BMW Management ,CHC with BMW management ,indicator_26,191,0.0,2,BMW Management ,1.5,2020
p,Process Indicator ,2019-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,BMW Management ,CHC with BMW management ,indicator_26,191,0.0,3,BMW Management ,1.5,2020
p,Process Indicator ,2020-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,BMW Management ,CHC with BMW management ,indicator_26,191,0.0,4,BMW Management ,1.5,2020
p,Outcome Indicator ,2019-07-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,communicable_diseases,Success rate of positive tuberculosis cases,indicator_8,191,100.0,2,communicable_diseases,5.0,2020
p,Outcome Indicator ,2019-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,communicable_diseases,Success rate of positive tuberculosis cases,indicator_8,191,100.0,3,communicable_diseases,5.0,2020
p,Outcome Indicator ,2020-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,communicable_diseases,Success rate of positive tuberculosis cases,indicator_8,191,100.0,4,communicable_diseases,5.0,2020
p,Process Indicator ,2019-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,communicable_diseases,% of positive malaria cases identified against total tested in the district up to the month,indicator_9,191,0.0,3,communicable_diseases,3.0,2020
p,Process Indicator ,2020-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,communicable_diseases,% of positive malaria cases identified against total tested in the district up to the month,indicator_9,191,0.0,4,communicable_diseases,3.0,2020
p,Process Indicator ,2019-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Asha Incentive,Asha Incentive percentile ,indicator_14,191,0.0,3,Asha Incentive,4.0,2020
p,Process Indicator ,2020-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Asha Incentive,Asha Incentive percentile ,indicator_14,191,-6.368030575539567,4,Asha Incentive,4.0,2020
p,Outcome Indicator ,2019-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,HWC ,Activated HWC ,indicator_15,191,0.0,3,HWC ,5.0,2020
p,Outcome Indicator ,2020-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,HWC ,Activated HWC ,indicator_15,191,74.50980392156862,4,HWC ,5.0,2020
p,Process Indicator ,2019-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,MDR ,Maternal Death audited ,indicator_18,191,0.0,3,MDR ,3.0,2020
p,Process Indicator ,2020-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,MDR ,Maternal Death audited ,indicator_18,191,0.0,4,MDR ,3.0,2020
p,Process Indicator ,2019-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,IDSP ,RU Reporting ,indicator_20,191,0.0,3,IDSP ,3.0,2020
p,Process Indicator ,2020-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,IDSP ,RU Reporting ,indicator_20,191,100.0,4,IDSP ,3.0,2020
p,Outcome Indicator ,2019-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Ayushman Bharat ,Golden Card percentile ,indicator_23,191,0.0,3,Ayushman Bharat ,5.0,2020
p,Outcome Indicator ,2020-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Ayushman Bharat ,Golden Card percentile ,indicator_23,191,0.0,4,Ayushman Bharat ,5.0,2020
p,Process Indicator ,2017-10-01,Bahraich,iE0E3nLioFr,182,Gonda Division,ante_natal,ANC registered within first trimester,indicator_1,180,26.654974489795922,3,ante_natal,3.0,2018
p,Process Indicator ,2018-01-01,Bahraich,iE0E3nLioFr,182,Gonda Division,ante_natal,ANC registered within first trimester,indicator_1,180,29.394705783173162,4,ante_natal,3.0,2018
p,Process Indicator ,2018-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,ante_natal,ANC registered within first trimester,indicator_1,180,37.452836660492565,1,ante_natal,3.0,2019
p,Process Indicator ,2018-07-01,Bahraich,iE0E3nLioFr,182,Gonda Division,ante_natal,ANC registered within first trimester,indicator_1,180,38.18721727305526,2,ante_natal,3.0,2019
p,Process Indicator ,2018-10-01,Bahraich,iE0E3nLioFr,182,Gonda Division,ante_natal,ANC registered within first trimester,indicator_1,180,58.605593545352576,3,ante_natal,3.0,2019
