Unnamed: 5,calc_type,composite_index,composite_rank,date,district_name,district_id,div_map_id,division,domain_name,domain_index,domain_rank,indicator_name,indicator_id,indicator_ids,indicator_index,indicator_rank,map_id,perc_point,quarter,type_name,type_index,type_rank,value,year,district_id_num
,p,0.6420852572319772,45.0,2025-03-01,Chandauli,ClbehnmwSec,195,Varanasi Division,finance,0.5277193360647688,55.0,Per ASHA expenditure of ASHA incentive fund,12,indicator_12,0.5277193360647688,55.0,196,5821.9552157291055,4,coverage,5.592298434055903,20.0,5821.9552157291055,2025,61
,p,0.6423900425369947,44.0,2025-03-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,ante_natal,1.0,1.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,1,indicator_1,1.0,1.0,170,100.0,4,coverage,4.6138453424251304,65.0,100.0,2025,47
,p,0.6423900425369947,44.0,2025-03-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,delivery_care,0.3621009923456977,72.0,% of pregnant women delivered in institution against estimated delivery,2,indicator_2,0.16185897383055814,70.0,170,55.348266299570405,4,coverage,4.6138453424251304,65.0,55.348266299570405,2025,47
,n,0.6423900425369947,44.0,2025-03-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,delivery_care,0.3621009923456977,72.0,Still birth ratio,4,indicator_4,0.6038806837110373,74.0,170,16.048502139800288,4,quality,2.3864998421924595,55.0,16.048502139800288,2025,47
,p,0.6423900425369947,44.0,2025-03-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,delivery_care,0.3621009923456977,72.0,% of C-section delivery against reported delivery (70% weightage to CHC),31,indicator_31,0.16028165974774874,51.0,170,0.5388760585065435,4,quality,2.3864998421924595,55.0,7.56571164351049,2025,47
,p,0.6423900425369947,44.0,2025-03-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,delivery_care,0.3621009923456977,72.0,% of C-section delivery against reported delivery (30% to DH),32,indicator_32,0.16028165974774874,51.0,170,23.961661341853038,4,quality,2.3864998421924595,55.0,7.56571164351049,2025,47
,p,0.6423900425369947,44.0,2025-03-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,post_natal_care,0.8225244948379009,19.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),5,indicator_5,0.8225244948379009,19.0,170,88.0527817403709,4,coverage,4.6138453424251304,65.0,88.0527817403709,2025,47
,p,0.6423900425369947,44.0,2025-03-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,immunization,0.7630034444707523,14.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,indicator_7,0.6784665287942079,15.0,170,94.70302410311527,4,coverage,4.6138453424251304,65.0,94.70302410311527,2025,47
,p,0.6423900425369947,44.0,2025-03-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,immunization,0.7630034444707523,14.0,Ratio of Pentavalent 3 to BCG,6,indicator_6,0.8475403601472967,4.0,170,1.5058898439987265,4,quality,2.3864998421924595,55.0,1.5058898439987265,2025,47
,p,0.6423900425369947,44.0,2025-03-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,communicable_diseases,0.8873985692931883,10.0,% of PW screened for HIV against estimated pregnancy,11,indicator_11,1.0,1.0,170,100.0,4,coverage,4.6138453424251304,65.0,100.0,2025,47
,p,0.6423900425369947,44.0,2025-03-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,communicable_diseases,0.8873985692931883,10.0,Total case notification rate of TB against expected TB cases,10,indicator_10,0.7747971385863767,8.0,170,97.08520179372198,4,quality,2.3864998421924595,55.0,97.08520179372198,2025,47
,p,0.6423900425369947,44.0,2025-03-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,family_planning,0.19148754063365594,37.0,Permanent Method accepted per 1000 EC,8,indicator_8,0.2626952259719847,25.0,170,0.9821268670482104,4,coverage,4.6138453424251304,65.0,0.9821268670482104,2025,47
,p,0.6423900425369947,44.0,2025-03-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,family_planning,0.19148754063365594,37.0,Reversible Method accepted per 1000 EC,9,indicator_9,0.1202798552953272,53.0,170,6.582714126810586,4,coverage,4.6138453424251304,65.0,6.582714126810586,2025,47
,p,0.6423900425369947,44.0,2025-03-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,finance,0.5680202636951521,45.0,Per ASHA expenditure of ASHA incentive fund,12,indicator_12,0.5680202636951521,45.0,170,6154.324828873677,4,coverage,4.6138453424251304,65.0,6154.324828873677,2025,47
