block_name,block_id,calc_type,composite_index,composite_rank,count,date,district,district_id,div_map_id,division,domain_name,domain_index,domain_rank,indicator_name,indicator_id,indicator_ids,indicator_index,indicator_rank,map_id,perc_point,type_name,type_index,type_rank,year,block_id_num
Dhanapur,F1Ddi7jawvX,n,0.7506046148056111,529.0,45,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,0.9131078909002948,165.0,Still birth ratio,4,indicator_4,0.9703079628645044,183.0,765.0,1.717721156598912,quality,0.7195152482714371,310.0,2025,203
Dhanapur,F1Ddi7jawvX,n,0.7506046148056111,529.0,45,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,0.9131078909002948,165.0,Est Delivery load as per available Delivery Point,131,indicator_13,0.9709027034959534,383.0,765.0,254.53980555555557,availability,0.7754820823512695,706.0,2025,203
Dhanapur,F1Ddi7jawvX,n,0.7506046148056111,529.0,45,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,0.9131078909002948,165.0,Est Delivery load as per available SBA trained staff Nurse / ANM,141,indicator_14,0.9703700382515672,836.0,765.0,298.80759782608686,availability,0.7754820823512695,706.0,2025,203
Dhanapur,F1Ddi7jawvX,p,0.7506046148056111,529.0,45,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,post_natal_care,1.0,1.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),5,indicator_5,1.0,1.0,765.0,100.0,coverage,0.6462442305317191,382.0,2025,203
Dhanapur,F1Ddi7jawvX,p,0.7506046148056111,529.0,45,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,immunization,0.5456332756346648,700.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,indicator_7,0.9030287693195228,427.0,765.0,90.60141543615377,coverage,0.6462442305317191,382.0,2025,203
Dhanapur,F1Ddi7jawvX,p,0.7506046148056111,529.0,45,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,immunization,0.5456332756346648,700.0,Ratio of Pentavalent 3 to BCG,6,indicator_6,0.1882377819498067,664.0,765.0,0.9498814229249012,quality,0.7195152482714371,310.0,2025,203
Dhanapur,F1Ddi7jawvX,p,0.7506046148056111,529.0,45,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,communicable_diseases,0.9904380715109132,20.0,% of PW screened for HIV against estimated pregnancy,11,indicator_10,0.9904380715109132,20.0,765.0,99.1888326424053,coverage,0.6462442305317191,382.0,2025,203
Dhanapur,F1Ddi7jawvX,p,0.7506046148056111,529.0,45,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,family_planning,0.07761525774999015,628.0,Permanent Method accepted per 1000 EC,8,indicator_8,0.028979230409631736,598.0,765.0,5.354186202541661,coverage,0.6462442305317191,382.0,2025,203
Dhanapur,F1Ddi7jawvX,p,0.7506046148056111,529.0,45,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,family_planning,0.07761525774999015,628.0,Reversible Method accepted per 1000 EC,9,indicator_9,0.12625128509034855,565.0,765.0,64.47969955346599,coverage,0.6462442305317191,382.0,2025,203
Dhanapur,F1Ddi7jawvX,p,0.7506046148056111,529.0,45,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,finance,0.3804056289341828,58.0,Per ASHA expenditure of ASHA incentive fund,12,indicator_11,0.3804056289341828,58.0,765.0,4802.931003094847,coverage,0.6462442305317191,382.0,2025,203
Naugarh,UuA1Z7kFP5w,p,0.783154767993026,107.0,17,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,ante_natal,1.0,1.0,% of pregnant women received 4 or more ANC against estimated PW,1,indicator_1,1.0,1.0,772.0,100.0,coverage,0.7123913941779789,88.0,2025,690
Naugarh,UuA1Z7kFP5w,p,0.783154767993026,107.0,17,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,ante_natal,1.0,1.0,% of pregnant women tested for Hb for 4 or more times against estimated PW,22,indicator_2,1.0,1.0,772.0,100.0,quality,0.6818910554800423,633.0,2025,690
Naugarh,UuA1Z7kFP5w,p,0.783154767993026,107.0,17,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,0.9050305002082664,197.0,% of pregnant women delivered in institution against estimated delivery,2,indicator_3,0.7934013071738977,98.0,772.0,81.22689085735415,coverage,0.7123913941779789,88.0,2025,690
Naugarh,UuA1Z7kFP5w,n,0.783154767993026,107.0,17,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,0.9050305002082664,197.0,Still birth ratio,4,indicator_4,0.8460381723539618,631.0,772.0,8.906882591093117,quality,0.6818910554800423,633.0,2025,690
Naugarh,UuA1Z7kFP5w,n,0.783154767993026,107.0,17,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,0.9050305002082664,197.0,Est Delivery load as per available Delivery Point,131,indicator_13,0.98887090729922,28.0,772.0,115.45050677272728,availability,0.8241919255763164,139.0,2025,690
Naugarh,UuA1Z7kFP5w,n,0.783154767993026,107.0,17,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,0.9050305002082664,197.0,Est Delivery load as per available SBA trained staff Nurse / ANM,141,indicator_14,0.9918116140059854,508.0,772.0,84.66370496666667,availability,0.8241919255763164,139.0,2025,690
