block_name,block_id,calc_type,composite_index,composite_rank,count,date,district,district_id,div_map_id,division,domain_name,domain_index,domain_rank,indicator_name,indicator_id,indicator_ids,indicator_index,indicator_rank,map_id,perc_point,quarter,type_name,type_index,type_rank,year,block_id_num
Ujhani,EjPcZNiYzP2,p,0.7604177555880902,638.0,40,2025-03-01,Budaun,eA37kyBRRuZ,150,Bareilly Division,communicable_diseases,1.0,1.0,% of PW screened for HIV against estimated pregnancy,11,indicator_10,1.0,1.0,182.0,100.0,4,coverage,0.6012078140395614,755.0,2025,719
Ujhani,EjPcZNiYzP2,p,0.7604177555880902,638.0,40,2025-03-01,Budaun,eA37kyBRRuZ,150,Bareilly Division,family_planning,0.12658564097691982,366.0,Permanent Method accepted per 1000 EC,8,indicator_8,0.026277683804603897,670.0,182.0,0.2507711636343156,4,coverage,0.6012078140395614,755.0,2025,719
Ujhani,EjPcZNiYzP2,p,0.7604177555880902,638.0,40,2025-03-01,Budaun,eA37kyBRRuZ,150,Bareilly Division,family_planning,0.12658564097691982,366.0,Reversible Method accepted per 1000 EC,9,indicator_9,0.2268935981492357,156.0,182.0,11.758381228186801,4,coverage,0.6012078140395614,755.0,2025,719
Ujhani,EjPcZNiYzP2,p,0.7604177555880902,638.0,40,2025-03-01,Budaun,eA37kyBRRuZ,150,Bareilly Division,finance,0.4930035833372087,62.0,Per ASHA expenditure of ASHA incentive fund,12,indicator_11,0.4930035833372087,62.0,182.0,5535.647629712578,4,coverage,0.6012078140395614,755.0,2025,719
Ambiapur,FBjTmOT2uLU,p,0.7711828355195428,491.0,38,2025-03-01,Budaun,eA37kyBRRuZ,150,Bareilly Division,ante_natal,1.0,1.0,% of pregnant women received 4 or more ANC against estimated PW,1,indicator_1,1.0,1.0,178.0,100.0,4,coverage,0.6451865058515966,554.0,2025,838
Ambiapur,FBjTmOT2uLU,p,0.7711828355195428,491.0,38,2025-03-01,Budaun,eA37kyBRRuZ,150,Bareilly Division,ante_natal,1.0,1.0,% of pregnant women tested for Hb for 4 or more times against estimated PW,22,indicator_2,1.0,1.0,178.0,100.0,4,quality,0.6892201246796482,609.0,2025,838
Ambiapur,FBjTmOT2uLU,p,0.7711828355195428,491.0,38,2025-03-01,Budaun,eA37kyBRRuZ,150,Bareilly Division,delivery_care,0.8949298841662549,372.0,% of pregnant women delivered in institution against estimated delivery,2,indicator_3,0.69202492089861,252.0,178.0,72.00506530968366,4,coverage,0.6451865058515966,554.0,2025,838
Ambiapur,FBjTmOT2uLU,n,0.7711828355195428,491.0,38,2025-03-01,Budaun,eA37kyBRRuZ,150,Bareilly Division,delivery_care,0.8949298841662549,372.0,Still birth ratio,4,indicator_4,0.966779497098646,200.0,178.0,7.978723404255319,4,quality,0.6892201246796482,609.0,2025,838
Ambiapur,FBjTmOT2uLU,n,0.7711828355195428,491.0,38,2025-03-01,Budaun,eA37kyBRRuZ,150,Bareilly Division,delivery_care,0.8949298841662549,372.0,Est Delivery load as per available Delivery Point,131,indicator_13,0.9483647449243704,604.0,178.0,324.8398351250001,4,availability,0.8410314861575022,410.0,2025,838
Ambiapur,FBjTmOT2uLU,n,0.7711828355195428,491.0,38,2025-03-01,Budaun,eA37kyBRRuZ,150,Bareilly Division,delivery_care,0.8949298841662549,372.0,Est Delivery load as per available SBA trained staff Nurse / ANM,141,indicator_14,0.9725503737433928,778.0,178.0,162.41991756250005,4,availability,0.8410314861575022,410.0,2025,838
