calc_type,composite_index,composite_rank,date,district_name,district_id,div_map_id,division,domain_name,domain_index,domain_rank,indicator_name,indicator_id,indicator_ids,indicator_index,indicator_rank,map_id,perc_point,type_name,type_index,type_rank,value,year,district_id_num
p,0.6679052793891329,4.0,2024-04-01,Muzaffarnagar,MVQs2RrS1Nw,132,Saharanpur Division,family_planning,0.19886000403113605,28.0,Permanent Method accepted per 1000 EC,8,indicator_8,0.07172180721624725,46.0,133,7.028818782107053,coverage,5.879978284310867,4.0,7.028818782107053,2025,17
p,0.6679052793891329,4.0,2024-04-01,Muzaffarnagar,MVQs2RrS1Nw,132,Saharanpur Division,family_planning,0.19886000403113605,28.0,Reversible Method accepted per 1000 EC,9,indicator_9,0.3259982008460248,18.0,133,99.7039492439855,coverage,5.879978284310867,4.0,99.7039492439855,2025,17
p,0.6679052793891329,4.0,2024-04-01,Muzaffarnagar,MVQs2RrS1Nw,132,Saharanpur Division,finance,0.8257321674591944,6.0,Per ASHA expenditure of ASHA incentive fund,12,indicator_12,0.8257321674591944,6.0,133,5801.6476552598215,coverage,5.879978284310867,4.0,5801.6476552598215,2025,17
p,0.6273149418284834,7.0,2024-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,ante_natal,1.0,1.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,1,indicator_1,1.0,1.0,197,100.0,coverage,5.690898393221768,7.0,100.0,2025,55
p,0.6273149418284834,7.0,2024-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,delivery_care,1.246689857329212,1.0,% of pregnant women delivered in institution against estimated delivery,2,indicator_2,0.7671768851101552,5.0,197,81.99367184816809,coverage,5.690898393221768,7.0,81.99367184816809,2025,55
n,0.6273149418284834,7.0,2024-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,delivery_care,1.246689857329212,1.0,Still birth ratio,4,indicator_4,0.9728926868774804,4.0,197,0.9106900036178096,quality,2.34789581072406,1.0,0.9106900036178096,2025,55
p,0.6273149418284834,7.0,2024-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,delivery_care,1.246689857329212,1.0,% of C-section delivery against reported delivery (70% weightage to CHC),31,indicator_31,1.0,1.0,197,21.787180296810867,quality,2.34789581072406,1.0,34.72145261767132,2025,55
p,0.6273149418284834,7.0,2024-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,delivery_care,1.246689857329212,1.0,% of C-section delivery against reported delivery (30% to DH),32,indicator_32,1.0,1.0,197,64.90142136634572,quality,2.34789581072406,1.0,34.72145261767132,2025,55
p,0.6273149418284834,7.0,2024-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,post_natal_care,0.8354533243924367,20.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),5,indicator_5,0.8354533243924367,20.0,197,89.95496450804026,coverage,5.690898393221768,7.0,89.95496450804026,2025,55
p,0.6273149418284834,7.0,2024-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,immunization,0.6776732611952376,13.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,indicator_7,1.0,1.0,197,100.0,coverage,5.690898393221768,7.0,100.0,2025,55
p,0.6273149418284834,7.0,2024-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,immunization,0.6776732611952376,13.0,Ratio of Pentavalent 3 to BCG,6,indicator_6,0.3553465223904753,24.0,197,1.0424047577846791,quality,2.34789581072406,1.0,1.0424047577846791,2025,55
p,0.6273149418284834,7.0,2024-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,communicable_diseases,0.5098283007280519,65.0,% of PW screened for HIV against estimated pregnancy,11,indicator_11,1.0,1.0,197,100.0,coverage,5.690898393221768,7.0,100.0,2025,55
p,0.6273149418284834,7.0,2024-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,communicable_diseases,0.5098283007280519,65.0,Total case notification rate of TB against expected TB cases,10,indicator_10,0.019656601456103616,72.0,197,16.286662384928277,quality,2.34789581072406,1.0,16.286662384928277,2025,55
