calc_type,composite_index,composite_rank,date,district_name,district_id,div_map_id,division,domain_name,domain_index,domain_rank,indicator_name,indicator_id,indicator_ids,indicator_index,indicator_rank,map_id,perc_point,quarter,type_name,type_index,type_rank,value,year,district_id_num
p,0.5253538404959708,61.0,2025-01-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,immunization,0.5991791671903337,45.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,indicator_7,0.9445724030407152,14.0,172,98.4176276380624,4,coverage,4.560022067138809,72.0,98.4176276380624,2025,16
p,0.5253538404959708,61.0,2025-01-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,immunization,0.5991791671903337,45.0,Ratio of Pentavalent 3 to BCG,6,indicator_6,0.2537859313399524,41.0,172,1.0123996678660394,4,quality,0.921490486378423,68.0,1.0123996678660394,2025,16
p,0.5253538404959708,61.0,2025-01-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,communicable_diseases,0.5,1.0,% of PW screened for HIV against estimated pregnancy,11,indicator_11,1.0,1.0,172,100.0,4,coverage,4.560022067138809,72.0,100.0,2025,16
p,0.5253538404959708,61.0,2025-01-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,family_planning,0.06767003978797187,72.0,Permanent Method accepted per 1000 EC,8,indicator_8,0.07024839934118436,67.0,172,1.7173819920065638,4,coverage,4.560022067138809,72.0,1.7173819920065638,2025,16
p,0.5253538404959708,61.0,2025-01-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,family_planning,0.06767003978797187,72.0,Reversible Method accepted per 1000 EC,9,indicator_9,0.0650916802347594,67.0,172,13.361057100661752,4,coverage,4.560022067138809,72.0,13.361057100661752,2025,16
p,0.5253538404959708,61.0,2025-01-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,finance,0.5972054240262521,49.0,Per ASHA expenditure of ASHA incentive fund,12,indicator_12,0.5972054240262521,49.0,172,5639.259578131726,4,coverage,4.560022067138809,72.0,5639.259578131726,2025,16
p,0.5871923824685789,20.0,2025-01-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,ante_natal,1.0,1.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,1,indicator_1,1.0,1.0,174,100.0,4,coverage,5.7672541604234215,13.0,100.0,2025,63
p,0.5871923824685789,20.0,2025-01-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,delivery_care,0.4712533702243221,54.0,% of pregnant women delivered in institution against estimated delivery,2,indicator_2,0.4620340779708858,30.0,174,71.71705333894415,4,coverage,5.7672541604234215,13.0,71.71705333894415,2025,63
n,0.5871923824685789,20.0,2025-01-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,delivery_care,0.4712533702243221,54.0,Still birth ratio,4,indicator_4,0.6399204764390508,48.0,174,6.6567399491985615,4,quality,0.986246246249206,63.0,6.6567399491985615,2025,63
p,0.5871923824685789,20.0,2025-01-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,delivery_care,0.4712533702243221,54.0,% of C-section delivery against reported delivery (70% weightage to CHC),31,indicator_31,0.1559027781315148,53.0,174,2.7572815533980584,4,quality,0.986246246249206,63.0,7.257410857130332,2025,63
p,0.5871923824685789,20.0,2025-01-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,delivery_care,0.4712533702243221,54.0,% of C-section delivery against reported delivery (30% to DH),32,indicator_32,0.1559027781315148,53.0,174,17.757712565838975,4,quality,0.986246246249206,63.0,7.257410857130332,2025,63
p,0.5871923824685789,20.0,2025-01-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,post_natal_care,0.9728967116062612,5.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),5,indicator_5,0.9728967116062612,5.0,174,98.55478672155556,4,coverage,5.7672541604234215,13.0,98.55478672155556,2025,63
p,0.5871923824685789,20.0,2025-01-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,immunization,0.5952114958393203,47.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,indicator_7,1.0,1.0,174,100.0,4,coverage,5.7672541604234215,13.0,100.0,2025,63
p,0.5871923824685789,20.0,2025-01-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,immunization,0.5952114958393203,47.0,Ratio of Pentavalent 3 to BCG,6,indicator_6,0.19042299167864055,61.0,174,0.9673621152654409,4,quality,0.986246246249206,63.0,0.9673621152654409,2025,63
p,0.5871923824685789,20.0,2025-01-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,communicable_diseases,0.5,1.0,% of PW screened for HIV against estimated pregnancy,11,indicator_11,1.0,1.0,174,100.0,4,coverage,5.7672541604234215,13.0,100.0,2025,63
p,0.5871923824685789,20.0,2025-01-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,family_planning,0.2819011627072623,22.0,Permanent Method accepted per 1000 EC,8,indicator_8,0.2643785130518269,23.0,174,5.440890718839536,4,coverage,5.7672541604234215,13.0,5.440890718839536,2025,63
p,0.5871923824685789,20.0,2025-01-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,family_planning,0.2819011627072623,22.0,Reversible Method accepted per 1000 EC,9,indicator_9,0.2994238123626976,16.0,174,29.20179504620123,4,coverage,5.7672541604234215,13.0,29.20179504620123,2025,63
p,0.5871923824685789,20.0,2025-01-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,finance,0.7685210454317508,16.0,Per ASHA expenditure of ASHA incentive fund,12,indicator_12,0.7685210454317508,16.0,174,6653.620352250493,4,coverage,5.7672541604234215,13.0,6653.620352250493,2025,63
p,0.517404490349473,65.0,2025-01-01,Pratapgarh,fz7bJo3egPX,172,Prayagraj Division,ante_natal,1.0,1.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,1,indicator_1,1.0,1.0,173,100.0,4,coverage,4.962712300475453,59.0,100.0,2025,3
p,0.517404490349473,65.0,2025-01-01,Pratapgarh,fz7bJo3egPX,172,Prayagraj Division,delivery_care,0.7003639883935385,16.0,% of pregnant women delivered in institution against estimated delivery,2,indicator_2,0.4031559743064251,39.0,173,68.62160398563746,4,coverage,4.962712300475453,59.0,68.62160398563746,2025,3
n,0.517404490349473,65.0,2025-01-01,Pratapgarh,fz7bJo3egPX,172,Prayagraj Division,delivery_care,0.7003639883935385,16.0,Still birth ratio,4,indicator_4,0.7420971805940862,43.0,173,4.831594426160633,4,quality,1.4203386809411418,31.0,4.831594426160633,2025,3
p,0.517404490349473,65.0,2025-01-01,Pratapgarh,fz7bJo3egPX,172,Prayagraj Division,delivery_care,0.7003639883935385,16.0,% of C-section delivery against reported delivery (70% weightage to CHC),31,indicator_31,0.4779194051400522,10.0,173,4.093097913322634,4,quality,1.4203386809411418,31.0,18.722832772902485,2025,3
p,0.517404490349473,65.0,2025-01-01,Pratapgarh,fz7bJo3egPX,172,Prayagraj Division,delivery_care,0.7003639883935385,16.0,% of C-section delivery against reported delivery (30% to DH),32,indicator_32,0.4779194051400522,10.0,173,52.85888077858881,4,quality,1.4203386809411418,31.0,18.722832772902485,2025,3
p,0.517404490349473,65.0,2025-01-01,Pratapgarh,fz7bJo3egPX,172,Prayagraj Division,post_natal_care,1.0,1.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),5,indicator_5,1.0,1.0,173,100.0,4,coverage,4.962712300475453,59.0,100.0,2025,3
p,0.517404490349473,65.0,2025-01-01,Pratapgarh,fz7bJo3egPX,172,Prayagraj Division,immunization,0.512883222349699,61.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,indicator_7,0.8254443494923942,24.0,173,95.01670553774562,4,coverage,4.962712300475453,59.0,95.01670553774562,2025,3
p,0.517404490349473,65.0,2025-01-01,Pratapgarh,fz7bJo3egPX,172,Prayagraj Division,immunization,0.512883222349699,61.0,Ratio of Pentavalent 3 to BCG,6,indicator_6,0.20032209520700364,57.0,173,0.9743982691787614,4,quality,1.4203386809411418,31.0,0.9743982691787614,2025,3
p,0.517404490349473,65.0,2025-01-01,Pratapgarh,fz7bJo3egPX,172,Prayagraj Division,communicable_diseases,0.5,1.0,% of PW screened for HIV against estimated pregnancy,11,indicator_11,1.0,1.0,173,100.0,4,coverage,4.962712300475453,59.0,100.0,2025,3
p,0.517404490349473,65.0,2025-01-01,Pratapgarh,fz7bJo3egPX,172,Prayagraj Division,family_planning,0.08583862015608403,70.0,Permanent Method accepted per 1000 EC,8,indicator_8,0.13330914727234985,45.0,173,2.926917394598956,4,coverage,4.962712300475453,59.0,2.926917394598956,2025,3
p,0.517404490349473,65.0,2025-01-01,Pratapgarh,fz7bJo3egPX,172,Prayagraj Division,family_planning,0.08583862015608403,70.0,Reversible Method accepted per 1000 EC,9,indicator_9,0.03836809303981819,72.0,173,11.554555628261385,4,coverage,4.962712300475453,59.0,11.554555628261385,2025,3
p,0.517404490349473,65.0,2025-01-01,Pratapgarh,fz7bJo3egPX,172,Prayagraj Division,finance,0.5624347363644672,60.0,Per ASHA expenditure of ASHA incentive fund,12,indicator_12,0.5624347363644672,60.0,173,5433.382137628113,4,coverage,4.962712300475453,59.0,5433.382137628113,2025,3
p,0.6911590025607238,2.0,2025-01-01,Prayagraj,tXgaew1Pd2Y,172,Prayagraj Division,ante_natal,1.0,1.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,1,indicator_1,1.0,1.0,175,100.0,4,coverage,5.822926114190582,9.0,100.0,2025,34
p,0.6911590025607238,2.0,2025-01-01,Prayagraj,tXgaew1Pd2Y,172,Prayagraj Division,delivery_care,0.8265584638882233,5.0,% of pregnant women delivered in institution against estimated delivery,2,indicator_2,0.5125154691856383,24.0,175,74.37105508261868,4,coverage,5.822926114190582,9.0,74.37105508261868,2025,34
n,0.6911590025607238,2.0,2025-01-01,Prayagraj,tXgaew1Pd2Y,172,Prayagraj Division,delivery_care,0.8265584638882233,5.0,Still birth ratio,4,indicator_4,0.9948735104672454,3.0,175,0.3163422401248497,4,quality,1.7273466708787304,7.0,0.3163422401248497,2025,34
p,0.6911590025607238,2.0,2025-01-01,Prayagraj,tXgaew1Pd2Y,172,Prayagraj Division,delivery_care,0.8265584638882233,5.0,% of C-section delivery against reported delivery (70% weightage to CHC),31,indicator_31,0.4861432060058932,8.0,175,3.442513368983957,4,quality,1.7273466708787304,7.0,19.01564171122995,2025,34
p,0.6911590025607238,2.0,2025-01-01,Prayagraj,tXgaew1Pd2Y,172,Prayagraj Division,delivery_care,0.8265584638882233,5.0,% of C-section delivery against reported delivery (30% to DH),32,indicator_32,0.4861432060058932,8.0,175,55.352941176470594,4,quality,1.7273466708787304,7.0,19.01564171122995,2025,34
p,0.6911590025607238,2.0,2025-01-01,Prayagraj,tXgaew1Pd2Y,172,Prayagraj Division,post_natal_care,0.9437586721055994,8.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),5,indicator_5,0.9437586721055994,8.0,175,97.00107556361642,4,coverage,5.822926114190582,9.0,97.00107556361642,2025,34
p,0.6911590025607238,2.0,2025-01-01,Prayagraj,tXgaew1Pd2Y,172,Prayagraj Division,immunization,0.6211282771360197,37.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,indicator_7,0.9959265998664476,2.0,175,99.8837107119188,4,coverage,5.822926114190582,9.0,99.8837107119188,2025,34
p,0.6911590025607238,2.0,2025-01-01,Prayagraj,tXgaew1Pd2Y,172,Prayagraj Division,immunization,0.6211282771360197,37.0,Ratio of Pentavalent 3 to BCG,6,indicator_6,0.2463299544055919,46.0,175,1.0071000565291124,4,quality,1.7273466708787304,7.0,1.0071000565291124,2025,34
