block,block_id,calc_type,date,district,district_id,indicator_id,map_id,quarter,sub_id,subindicator_id,value,year
Etawah Mahewa,g6QRDUGvU6j,p,2023-01-01,Etawah,Pm0jLk6EAiE,indicator_36,344.0,4,36a,ixBYYYjxXPP,318.0,2023
Etawah Saifai,kxTyOTd53rb,p,2023-01-01,Etawah,Pm0jLk6EAiE,indicator_36,339.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,12.0,2023
Etawah Saifai,kxTyOTd53rb,p,2023-01-01,Etawah,Pm0jLk6EAiE,indicator_36,339.0,4,36a,ixBYYYjxXPP,0.0,2023
Etawah Thakha,vVEYFNLCthf,p,2023-01-01,Etawah,Pm0jLk6EAiE,indicator_36,342.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,143.0,2023
Etawah Thakha,vVEYFNLCthf,p,2023-01-01,Etawah,Pm0jLk6EAiE,indicator_36,342.0,4,36a,ixBYYYjxXPP,98.0,2023
Etawah Bherthna,xraYmPK0pc5,p,2023-01-01,Etawah,Pm0jLk6EAiE,indicator_36,343.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,194.0,2023
Etawah Bherthna,xraYmPK0pc5,p,2023-01-01,Etawah,Pm0jLk6EAiE,indicator_36,343.0,4,36a,ixBYYYjxXPP,253.0,2023
Lalitpur Madawara,DQg8KWOYf9m,p,2023-01-01,Lalitpur,fagfcadhxej,indicator_36,395.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,252.0,2023
Lalitpur Madawara,DQg8KWOYf9m,p,2023-01-01,Lalitpur,fagfcadhxej,indicator_36,395.0,4,36a,ixBYYYjxXPP,227.0,2023
Lalitpur  DHQ,OlW82qQAtpe,p,2023-01-01,Lalitpur,fagfcadhxej,indicator_36,,4,36b,aRueVYr35yM.Ti9FJqkSK6J,669.0,2023
Lalitpur  DHQ,OlW82qQAtpe,p,2023-01-01,Lalitpur,fagfcadhxej,indicator_36,,4,36a,ixBYYYjxXPP,487.0,2023
Lalitpur Jakhaura,cBlMjL2O6oW,p,2023-01-01,Lalitpur,fagfcadhxej,indicator_36,391.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,169.0,2023
Lalitpur Jakhaura,cBlMjL2O6oW,p,2023-01-01,Lalitpur,fagfcadhxej,indicator_36,391.0,4,36a,ixBYYYjxXPP,188.0,2023
Lalitpur Talbehat,hByPwhy4hFw,p,2023-01-01,Lalitpur,fagfcadhxej,indicator_36,390.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,294.0,2023
Lalitpur Talbehat,hByPwhy4hFw,p,2023-01-01,Lalitpur,fagfcadhxej,indicator_36,390.0,4,36a,ixBYYYjxXPP,0.0,2023
Lalitpur Mahroni,hSxXTcaWSE8,p,2023-01-01,Lalitpur,fagfcadhxej,indicator_36,394.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,222.0,2023
Lalitpur Mahroni,hSxXTcaWSE8,p,2023-01-01,Lalitpur,fagfcadhxej,indicator_36,394.0,4,36a,ixBYYYjxXPP,178.0,2023
Lalitpur Birdha,ilEX3iUSCkP,p,2023-01-01,Lalitpur,fagfcadhxej,indicator_36,393.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,263.0,2023
Lalitpur Birdha,ilEX3iUSCkP,p,2023-01-01,Lalitpur,fagfcadhxej,indicator_36,393.0,4,36a,ixBYYYjxXPP,300.0,2023
Lalitpur Bar,qMddUgnDzYX,p,2023-01-01,Lalitpur,fagfcadhxej,indicator_36,392.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,308.0,2023
Lalitpur Bar,qMddUgnDzYX,p,2023-01-01,Lalitpur,fagfcadhxej,indicator_36,392.0,4,36a,ixBYYYjxXPP,402.0,2023
Tandiyanwa,DSmdrNpxWTp,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,270.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,191.0,2023
Tandiyanwa,DSmdrNpxWTp,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,270.0,4,36a,ixBYYYjxXPP,0.0,2023
Ahirori,JNhW47eyrRv,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,272.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,285.0,2023
Ahirori,JNhW47eyrRv,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,272.0,4,36a,ixBYYYjxXPP,302.0,2023
Malanwan,L7LEJCs3NnM,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,268.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,180.0,2023
Malanwan,L7LEJCs3NnM,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,268.0,4,36a,ixBYYYjxXPP,180.0,2023
Sahabad,NvR1ROHQCYV,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,259.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,261.0,2023
Sahabad,NvR1ROHQCYV,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,259.0,4,36a,ixBYYYjxXPP,0.0,2023
Sandi,OG07uORb7i2,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,265.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,169.0,2023
Sandi,OG07uORb7i2,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,265.0,4,36a,ixBYYYjxXPP,0.0,2023
Harpalpur,TY7glMGf9aG,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,264.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,318.0,2023
Harpalpur,TY7glMGf9aG,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,264.0,4,36a,ixBYYYjxXPP,297.0,2023
Bilgram,TqhQTNCu0rW,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,266.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,296.0,2023
Bilgram,TqhQTNCu0rW,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,266.0,4,36a,ixBYYYjxXPP,0.0,2023
Behander,VoR9CT9z1Rx,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,275.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,196.0,2023
Behander,VoR9CT9z1Rx,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,275.0,4,36a,ixBYYYjxXPP,121.0,2023
Sursa,dBCX7zX8Feb,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,271.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,122.0,2023
Sursa,dBCX7zX8Feb,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,271.0,4,36a,ixBYYYjxXPP,82.0,2023
Madhouganj,iBHysCEYPjb,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,267.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,199.0,2023
Madhouganj,iBHysCEYPjb,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,267.0,4,36a,ixBYYYjxXPP,191.0,2023
Tondarpur,jvwEe3kpMPg,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,260.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,78.0,2023
Tondarpur,jvwEe3kpMPg,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,260.0,4,36a,ixBYYYjxXPP,0.0,2023
Hardoi DHQ,kBVkJI1qaWb,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,,4,36b,aRueVYr35yM.Ti9FJqkSK6J,1116.0,2023
Hardoi DHQ,kBVkJI1qaWb,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,,4,36a,ixBYYYjxXPP,0.0,2023
Pihani,lr3CfswaZMq,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,261.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,422.0,2023
