calc_type,date,district,district_id,div_map_id,division,indicator_id,map_id,quarter,sub_id,subindicator_id,value,year
p,2023-01-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,indicator_35,170,4,35a,dwGorjVGkD9,34.7,2023
p,2023-01-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,indicator_37,170,4,37a,m7ggqyMXhyL,87.2,2023
p,2023-01-01,Meerut,v8YGmR7nOdj,140,Meerut Division,indicator_36,138,4,36a,ixBYYYjxXPP,1545.0,2023
p,2023-01-01,Meerut,v8YGmR7nOdj,140,Meerut Division,indicator_36,138,4,36b,aRueVYr35yM.Ti9FJqkSK6J,2118.0,2023
p,2023-01-01,Meerut,v8YGmR7nOdj,140,Meerut Division,indicator_35,138,4,35a,dwGorjVGkD9,34.2,2023
p,2023-01-01,Meerut,v8YGmR7nOdj,140,Meerut Division,indicator_37,138,4,37a,m7ggqyMXhyL,82.9,2023
p,2023-01-01,Bagpat,HJIS3IrQ0Nj,140,Meerut Division,indicator_36,139,4,36a,ixBYYYjxXPP,955.0,2023
p,2023-01-01,Bagpat,HJIS3IrQ0Nj,140,Meerut Division,indicator_36,139,4,36b,aRueVYr35yM.Ti9FJqkSK6J,2560.0,2023
p,2023-01-01,Bagpat,HJIS3IrQ0Nj,140,Meerut Division,indicator_35,139,4,35a,dwGorjVGkD9,29.5,2023
p,2023-01-01,Bagpat,HJIS3IrQ0Nj,140,Meerut Division,indicator_37,139,4,37a,m7ggqyMXhyL,86.6,2023
p,2023-01-01,Jalaun,NL5xiiHZQSC,165,Jhansi Division,indicator_36,165,4,36a,ixBYYYjxXPP,1485.0,2023
p,2023-01-01,Jalaun,NL5xiiHZQSC,165,Jhansi Division,indicator_36,165,4,36b,aRueVYr35yM.Ti9FJqkSK6J,1538.0,2023
p,2023-01-01,Jalaun,NL5xiiHZQSC,165,Jhansi Division,indicator_35,165,4,35a,dwGorjVGkD9,29.1,2023
p,2023-01-01,Jalaun,NL5xiiHZQSC,165,Jhansi Division,indicator_37,165,4,37a,m7ggqyMXhyL,88.4,2023
p,2023-01-01,Firozabad,eJTsuE56XDF,146,Agra Division,indicator_36,147,4,36a,ixBYYYjxXPP,2250.0,2023
p,2023-01-01,Firozabad,eJTsuE56XDF,146,Agra Division,indicator_36,147,4,36b,aRueVYr35yM.Ti9FJqkSK6J,3404.0,2023
p,2023-01-01,Firozabad,eJTsuE56XDF,146,Agra Division,indicator_35,147,4,35a,dwGorjVGkD9,31.4,2023
p,2023-01-01,Firozabad,eJTsuE56XDF,146,Agra Division,indicator_37,147,4,37a,m7ggqyMXhyL,82.9,2023
p,2023-01-01,Lucknow,MfHac5N78aK,155,Lucknow Division,indicator_36,157,4,36a,ixBYYYjxXPP,1146.0,2023
p,2023-01-01,Lucknow,MfHac5N78aK,155,Lucknow Division,indicator_36,157,4,36b,aRueVYr35yM.Ti9FJqkSK6J,7027.0,2023
p,2023-01-01,Lucknow,MfHac5N78aK,155,Lucknow Division,indicator_35,157,4,35a,dwGorjVGkD9,27.3,2023
p,2023-01-01,Lucknow,MfHac5N78aK,155,Lucknow Division,indicator_37,157,4,37a,m7ggqyMXhyL,87.7,2023
p,2023-01-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,indicator_36,187,4,36a,ixBYYYjxXPP,3145.0,2023
p,2023-01-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,indicator_36,187,4,36b,aRueVYr35yM.Ti9FJqkSK6J,4163.0,2023
p,2023-01-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,indicator_35,187,4,35a,dwGorjVGkD9,34.8,2023
p,2023-01-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,indicator_37,187,4,37a,m7ggqyMXhyL,89.7,2023
p,2023-01-01,Mathura,KP2BUB1npih,146,Agra Division,indicator_36,145,4,36a,ixBYYYjxXPP,1169.0,2023
p,2023-01-01,Mathura,KP2BUB1npih,146,Agra Division,indicator_36,145,4,36b,aRueVYr35yM.Ti9FJqkSK6J,3132.0,2023
p,2023-01-01,Mathura,KP2BUB1npih,146,Agra Division,indicator_35,145,4,35a,dwGorjVGkD9,34.3,2023
p,2023-01-01,Mathura,KP2BUB1npih,146,Agra Division,indicator_37,145,4,37a,m7ggqyMXhyL,86.6,2023
